,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.94825,0.14769829140271407,0.014336354299300087,0.024739128069905376,0.1634726384726385,0.145646123691504,0.7747323179190378,0.04124060869418649,0.9492359902580478,0.0009859902580478322,0.040113524460079104,0.1391153335571289,0.10153508186340332,BBQ,KITTI,AdaBoost,2,9090,1000,8000
1,0.928625,0.16832688524721695,0.02392605384481992,0.024035417050117757,0.2684475186649099,0.3271984123701684,0.6393083213942186,0.045114546479867026,0.932361135714646,0.0037361357146458093,0.044908623376376126,0.13587641716003418,0.10089349746704102,BBQ,KITTI,AdaBoost,2,9090,1000,8000
2,0.95025,0.14956379412130935,0.01849607208465072,0.030594901650460783,0.23960009935419768,0.1968956431037552,0.7542381159171148,0.04478064133134676,0.9452205418417642,0.005029458158235828,0.04060192101663578,0.13729023933410645,0.10174083709716797,BBQ,KITTI,AdaBoost,2,9090,1000,8000
3,0.94825,0.1527262619943636,0.026836237373737384,0.038123511904761896,0.11919689856309579,0.11116597063316605,0.7994999844820867,0.049815324091260986,0.9423867431274098,0.005863256872590275,0.04126454044179036,0.13926339149475098,0.10174274444580078,BBQ,KITTI,AdaBoost,2,9090,1000,8000
4,0.9495,0.15119312410283964,0.023937815656565668,0.025361904761904752,0.23118849438591926,0.13186140020491782,0.7969245459191676,0.04736702410697913,0.9447697001793413,0.004730299820658729,0.041280072501734044,0.12918925285339355,0.10231900215148926,BBQ,KITTI,AdaBoost,2,9090,1000,8000
5,0.946,0.1875136212575265,0.014530955547591928,0.02002296576149557,0.07436385127874501,0.1678081896074799,0.7612432524142497,0.040504192941180905,0.9487901691080124,0.002790169108012386,0.04132341888971113,0.1315174102783203,0.10245013236999512,BBQ,KITTI,AdaBoost,2,9090,1000,8000
6,0.949,0.14436592000126086,0.014405453850282498,0.02912035222350095,0.09113375130616508,0.11713471919985605,0.7938143065592664,0.04001715495800856,0.9515082495793724,0.0025082495793725054,0.03964051396289887,0.12790417671203613,0.10199642181396484,BBQ,KITTI,AdaBoost,2,9090,1000,8000
7,0.941625,0.1605704561148583,0.023416836333883573,0.019079817967035815,0.20387176853278544,0.18936251659235173,0.7450023932544998,0.043728203496718486,0.9439389450886339,0.002313945088633848,0.04358054918259917,0.12924575805664062,0.10179638862609863,BBQ,KITTI,AdaBoost,2,9090,1000,8000
8,0.947875,0.14804114760684614,0.019982123800989286,0.033264466788339914,0.22712121212121206,0.1188825250238555,0.7860982244332192,0.04140809746921991,0.9496006695599447,0.0017256695599447078,0.0397950614502332,0.12804555892944336,0.1019752025604248,BBQ,KITTI,AdaBoost,2,9090,1000,8000
9,0.934875,0.17921572696826013,0.010196319533452729,0.01712837909605348,0.03856012959786548,0.3256434112217176,0.6535680227338577,0.0427535863356772,0.9374693584549764,0.002594358454976256,0.044262485205324394,0.12943482398986816,0.10167312622070312,BBQ,KITTI,AdaBoost,2,9090,1000,8000
