,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,ECE_15bins,ECE_15bins,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference,brier_score,brier_score,cal_time,cal_time,fit_time,fit_time
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncal,KITTI,AdaBoost,2,9090,1000,8000,0.9463000000000001,0.0005596377796793661,0.6672816238185761,0.00011078463027990009,0.430114821969697,0.0005462703561181701,0.4106812202380953,0.0005549046720390033,0.47812513161038633,0.00040550027575027807,0.0040196167837212035,7.895753614147662e-05,0.5036082957207005,6.371872183123968e-05,0.4857031822463968,6.22602999740431e-05,0.5137228439256003,6.077352385787075e-05,0.43257715607439967,0.0005466143726340274,0.23710419083018813,5.466176554536728e-05,5.245208740234375e-07,1.5078914929239175e-07,6.496906280517578e-05,6.399662748083857e-06
Uncal,KITTI,XGBoost,2,9090,1000,8000,0.9673999999999999,0.0006230525214173194,0.11802882813892294,0.00138128020605907,0.043403047979798,0.0006977428015881122,0.05360976190476189,0.00067241220130351,0.47225252525252515,0.028152932430556096,0.14644655173497584,0.0016249931481916464,0.7249756736681949,0.003796761673059443,0.06434311309853581,0.0004027824891905674,0.9287891147606075,0.0004456450069217524,0.038610885239392524,0.0005483793048839923,0.028892080878929693,0.000456485745478817,5.006790161132813e-07,1.7592067417445704e-07,6.632804870605468e-05,1.3598825794395773e-05
Uncal,KITTI,mondrian_forest,2,9031,1000,8000,0.9535875,0.00031759731666932626,0.17526173869846473,0.0025043100519058343,0.054636462121212134,0.0005679902971826219,0.06621702882543593,0.0005694575054077641,0.37463480963480966,0.0412445246866167,0.23016253919848814,0.0010363667757116136,0.6861637988242367,0.0018321038180746678,0.08436701956686372,0.00036447551526534527,0.9049826600533185,0.00032032917524154144,0.04860483994668137,0.0004105988913156933,0.04069225622733296,0.00023824553602562647,5.245208740234375e-07,2.190915545160011e-07,6.666183471679688e-05,8.497429034611335e-06
Uncal,KITTI,random_forest,2,9090,1000,8000,0.9638625000000001,0.0006832571095698748,0.16014277213418215,0.0011707263812688867,0.07677290656565658,0.0005879321695249505,0.08397074404761903,0.0007152258067606242,0.9752020202020202,0.0,0.21745381827370677,0.0015289233679498786,0.6722665895016248,0.0031614077842513546,0.10128170505132457,0.0004777232243867411,0.8905357202384758,0.0005040232107151292,0.07332677976152416,0.000728803752645006,0.038023997919963096,0.0004370308982920013,5.7220458984375e-07,2.3033423020346064e-07,6.041526794433594e-05,4.626112364345608e-06
Uncal,KITTI,1layer_NN,2,9090,1000,8000,0.961975,0.0005614960175974359,0.12210534266095316,0.0016926349929871716,0.015310704761934699,0.0010343002600675724,0.025980795613044748,0.0006320574110141903,0.448969696969697,0.031133333049308654,0.11691157231821218,0.0022903096894641975,0.7952167082591329,0.004310812056085174,0.03313141239369151,0.0003399137314653319,0.9603417149071902,0.0004333616280823557,0.0016332850928100298,0.0006059457503669563,0.03133058028742048,0.00045608893168688254,5.245208740234375e-07,1.5078914929239172e-07,6.356239318847657e-05,4.271176406221356e-06
GPcalib,KITTI,AdaBoost,2,9090,1000,8000,0.946275,0.0005945352993912167,0.1450456212732198,0.0014918997328051845,0.01973406060606062,0.0015757531026706168,0.02653041666666666,0.0018025897050048113,0.4078112214582802,0.06490751250525273,0.1548472194014646,0.007797942679801776,0.7568680783548679,0.010389461984513657,0.04472814060054099,0.003250389484533003,0.9446122450101907,0.0036055538915246267,0.0034858973474491324,0.001753586908818526,0.04035627862098303,0.0004292361542670027,0.16004338264465331,0.018585790018746735,1.8139550685882568,0.213440469188524
GPcalib,KITTI,XGBoost,2,9090,1000,8000,0.96745,0.0006826215805424044,0.09992219699513312,0.0013862313162478336,0.01822555681818182,0.0018316931767160198,0.027248452380952387,0.0024447387072290203,0.6000303030303031,0.041265584476353444,0.08416036116850269,0.008049398179427803,0.8029372761596403,0.01274499029367977,0.030177244373434754,0.004038317808424277,0.9643943248066197,0.004216583434067485,0.004754915442005304,0.00287464587498024,0.0262759159611248,0.0004837114201634825,0.16475746631622315,0.01954825010794884,0.8800365209579468,0.08635176892616828
GPcalib,KITTI,mondrian_forest,2,9031,1000,8000,0.9535375,0.0005239075936333148,0.15064503488875824,0.002320661467331962,0.01983023945451444,0.0017757812417369618,0.028158995310912892,0.0026948578401698163,0.5012900432900433,0.10012487074942744,0.12362674784196019,0.006125850399808791,0.7738052244857511,0.006135411295581829,0.039564669990426765,0.002094052941645554,0.9517630692266671,0.0021521448304582832,0.0023989468474298428,0.0016817005775675484,0.03549902537737891,0.00021519263168618574,0.16328320503234864,0.023016212777132145,0.9443366527557373,0.239655181841338
