,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.94825,0.1422807423128408,0.016208648989898992,0.024922023809523772,0.38194083694083697,0.14654713105041114,0.7697590711069702,0.036107347252807426,0.9538462398973111,0.005596239897311034,0.039208284222377335,Platt,KITTI,AdaBoost,2,9090,1000,8000
1,0.949125,0.14011433809876855,0.01704366876746467,0.025494231083976394,0.33439393939393935,0.15701610839690794,0.7597739356265089,0.040824099050309766,0.9490313259638733,9.367403612661751e-05,0.0388420837694581,Platt,KITTI,AdaBoost,2,9090,1000,8000
2,0.949375,0.14151601494293306,0.017467159090909085,0.023462797619047626,0.4831818181818181,0.15116348566575546,0.7688786202576522,0.0390275314109685,0.9512477175172555,0.0018727175172554497,0.03904728223774257,Platt,KITTI,AdaBoost,2,9090,1000,8000
3,0.949875,0.1398137510187114,0.022178067521448516,0.02972707033187518,0.32944444444444443,0.1696634947056009,0.746773319899523,0.04860018490484752,0.9411429120234716,0.008732087976528469,0.03880582504805166,Platt,KITTI,AdaBoost,2,9090,1000,8000
4,0.94975,0.13823277372736753,0.01956588925243506,0.02797814127610831,0.4641414141414142,0.162638001895087,0.7499654574703787,0.04444626548977652,0.9452229235889713,0.004527076411028709,0.038285661084965866,Platt,KITTI,AdaBoost,2,9090,1000,8000
5,0.951375,0.13780514948146122,0.017299294613028957,0.02597619632816838,0.3155555555555556,0.15916968059817832,0.7595931121023582,0.04309275070195994,0.9473128493769001,0.004062150623099947,0.03796822751699204,Platt,KITTI,AdaBoost,2,9090,1000,8000
6,0.94925,0.14138605171934734,0.017821342973179746,0.024628565483440633,0.4455050505050505,0.15113561175240908,0.7678123432778851,0.03949090994296598,0.9507297301579922,0.0014797301579921804,0.03905530732056835,Platt,KITTI,AdaBoost,2,9090,1000,8000
7,0.950625,0.13812112855548672,0.01748384942764163,0.027463371914106256,0.4868181818181818,0.16111289196189202,0.7558070894129454,0.043613180967813914,0.9464831948822362,0.004141805117763964,0.038193295562690875,Platt,KITTI,AdaBoost,2,9090,1000,8000
8,0.95,0.1394982599204712,0.019711206687822842,0.026267920353141565,0.3718686868686869,0.1565147920902468,0.7609241207945439,0.042089490557719066,0.9480611900098941,0.0019388099901058858,0.038571003796469924,Platt,KITTI,AdaBoost,2,9090,1000,8000
9,0.950875,0.1402895770068917,0.017029046205136976,0.023209298573369584,0.38194083694083697,0.14643824692716156,0.775026337759668,0.038897468795600645,0.9519615382014269,0.001086538201426901,0.03848027788100384,Platt,KITTI,AdaBoost,2,9090,1000,8000
