,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.945625,0.6672251853692146,0.4293952146464647,0.40996249999999995,0.47829851947517166,0.004087017245734002,0.5036665270115946,0.4856521640895847,0.5137670397390419,0.43185796026095813,0.23707663310468152,Uncal,KITTI,AdaBoost,2,9090,1000,8000
1,0.946,0.6671207180242856,0.42972752525252533,0.4103026785714286,0.47771100264388855,0.004124573162144318,0.5036226626748368,0.48560310560252706,0.5138150858844506,0.4321849141155493,0.23702477188183277,Uncal,KITTI,AdaBoost,2,9090,1000,8000
2,0.946625,0.6673655562638131,0.4304843055555555,0.4110398809523809,0.4782870030321863,0.003975695311397061,0.5037068335712084,0.4857515857563541,0.5136857573752546,0.4329392426247455,0.23714569696024893,Uncal,KITTI,AdaBoost,2,9090,1000,8000
3,0.945625,0.6673539899871016,0.4294805934343435,0.41003601190476185,0.4782996632996632,0.0039902035120756565,0.5034885199357969,0.48573849650523904,0.5136757225137424,0.4319492774862578,0.23714003596158825,Uncal,KITTI,AdaBoost,2,9090,1000,8000
4,0.94725,0.6670704126300799,0.43095401515151516,0.4115565476190476,0.4777080209548138,0.004137578907259294,0.5036132142131398,0.4855996921544303,0.5138312886564589,0.433418711343541,0.23699977634579403,Uncal,KITTI,AdaBoost,2,9090,1000,8000
5,0.946375,0.667350780494936,0.43022564393939394,0.41081696428571435,0.4777095127095127,0.003927886713337907,0.5035552756617877,0.4857506487698145,0.5136758814278302,0.4326991185721698,0.2371379138526933,Uncal,KITTI,AdaBoost,2,9090,1000,8000
6,0.945625,0.6674054995756059,0.4295059595959596,0.4100553571428571,0.4782996632996632,0.003935564262739779,0.5036302373242477,0.4857610951828381,0.5136620585222347,0.43196294147776537,0.23716532364966764,Uncal,KITTI,AdaBoost,2,9090,1000,8000
7,0.94675,0.6673280309409131,0.4305907449494949,0.4111764880952381,0.47770503197108694,0.00396184593819473,0.5035981819477482,0.48574089662187986,0.5136914093119528,0.43305859068804714,0.23712683617364552,Uncal,KITTI,AdaBoost,2,9090,1000,8000
8,0.9465,0.6672691231498058,0.4303159974747474,0.4108375,0.47892074592074585,0.004077331635630076,0.5035490098135091,0.4857004302178358,0.5137244148238412,0.4327755851761589,0.23709849016153467,Uncal,KITTI,AdaBoost,2,9090,1000,8000
9,0.946625,0.6673269417500056,0.43046821969696963,0.4110282738095238,0.47831215279713124,0.003978471148699208,0.5036524950531374,0.48573370756346446,0.5136997810011966,0.4329252189988034,0.23712643021019436,Uncal,KITTI,AdaBoost,2,9090,1000,8000
