,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.6565555555555556,1.1042164686109595,0.14003518518518512,0.13810502645502648,0.2536083052749719,0.15324279883754985,0.42429648918302143,0.4321898969196755,0.5185211496851507,0.13803440587040483,BBQ,MNIST,AdaBoost,10,10000,1000,9000
1,0.6497777777777778,1.0479875367278129,0.12694108866442197,0.12538624338624338,0.3732828282828283,0.1593129440042275,0.42622658220229787,0.42327793568502176,0.5240152021350707,0.12576257564270715,BBQ,MNIST,AdaBoost,10,10000,1000,9000
2,0.6476666666666666,1.0878523830782847,0.13831764309764302,0.13251507936507934,0.8320707070707071,0.13739336695771387,0.43001941421309436,0.43642990949828225,0.5165157355560261,0.13115093111064052,BBQ,MNIST,AdaBoost,10,10000,1000,9000
3,0.6501111111111111,1.0741787778543532,0.13583041526374856,0.13478042328042325,0.24136363636363634,0.13020441646524145,0.43071471864859945,0.43950485434700287,0.515086416248903,0.1350246948622082,BBQ,MNIST,AdaBoost,10,10000,1000,9000
4,0.6554444444444445,1.1143357316659885,0.15225317620650947,0.1501005291005291,0.3794444444444445,0.14527806540649546,0.4257079154520571,0.4535717441878119,0.5048333918725473,0.15061105257189708,BBQ,MNIST,AdaBoost,10,10000,1000,9000
5,0.6622222222222223,1.0587108095197124,0.14398902356902352,0.14359788359788359,0.3718813131313131,0.14971468509307714,0.4208485529629477,0.4318486583942257,0.5183957329975306,0.1438264892246916,BBQ,MNIST,AdaBoost,10,10000,1000,9000
6,0.6492222222222223,1.0997638229884112,0.11733136924803587,0.1143095238095238,0.5653418803418804,0.164488100273363,0.4439854635435922,0.415972733647529,0.5349037139671787,0.1143185082550435,BBQ,MNIST,AdaBoost,10,10000,1000,9000
7,0.6477777777777778,1.0815073449180463,0.13505932659932654,0.12804417989417988,0.28666409861325115,0.14713268978441227,0.4204569868242578,0.4256769015178738,0.5201280347092992,0.12764974306847857,BBQ,MNIST,AdaBoost,10,10000,1000,9000
8,0.6646666666666666,1.0549280953697813,0.14632090909090906,0.14398862433862436,0.26478215893878543,0.14877504684682055,0.4298073558085245,0.4331784681726441,0.520876111469041,0.1437905551976255,BBQ,MNIST,AdaBoost,10,10000,1000,9000
9,0.6562222222222223,1.0804846446739065,0.14823590347923676,0.147531746031746,0.45378787878787874,0.14518245221835663,0.42448682380473807,0.4480159993723879,0.5081533045065041,0.14806891771571817,BBQ,MNIST,AdaBoost,10,10000,1000,9000
0,0.925,0.4069097336039312,0.01757585208709875,0.025891130274771513,0.39328282828282823,0.10633873313662667,0.6396347190801331,0.05339263024297269,0.9235844209562604,0.0014155790437397758,BBQ,MNIST,XGBoost,10,10000,1000,9000
1,0.9297777777777778,0.3499117580136597,0.02176297419969632,0.03147915832222096,0.3387373737373738,0.10249157918916106,0.6293303639386899,0.05498776115268946,0.9228443560759497,0.006933421701828181,BBQ,MNIST,XGBoost,10,10000,1000,9000
2,0.9265555555555556,0.35481484056138346,0.024081972931402122,0.03501946058277286,0.39666278166278174,0.10456725318237123,0.6317101842914958,0.054648914462918724,0.9223159037900444,0.004239651765511179,BBQ,MNIST,XGBoost,10,10000,1000,9000
3,0.9287777777777778,0.34089258167417424,0.022062919390897957,0.03060788570704688,0.7511616161616161,0.10123945065128416,0.6424564096715591,0.05489917520787098,0.9235458170040973,0.005231960773680475,BBQ,MNIST,XGBoost,10,10000,1000,9000
4,0.925,0.42453714862802977,0.020389966252682003,0.03071632963243651,0.6972222222222222,0.10260234317405718,0.6346094125328409,0.046171666991079746,0.9298869139732144,0.004886913973214273,BBQ,MNIST,XGBoost,10,10000,1000,9000
5,0.9274444444444444,0.35006025134328794,0.02010573092736406,0.033248675995450144,0.7421717171717171,0.0965588676552768,0.6498310825337407,0.05541713630131078,0.9231969844652769,0.0042474599791675755,BBQ,MNIST,XGBoost,10,10000,1000,9000
6,0.924,0.33933596016646617,0.022838350508778887,0.03212223921021251,0.6792424242424242,0.09652957734072312,0.6426968681617093,0.04994442300707289,0.9266963151217545,0.002696315121754528,BBQ,MNIST,XGBoost,10,10000,1000,9000
7,0.9301111111111111,0.38195398017161003,0.019227333256046218,0.029047520181714644,0.3638888888888888,0.12038495200753752,0.6059380253520483,0.05249542904497657,0.9236328646012154,0.006478246509895605,BBQ,MNIST,XGBoost,10,10000,1000,9000
8,0.9286666666666666,0.3806249781923938,0.020736401138631774,0.033495759208264544,0.7781313131313131,0.10621483191228298,0.6259270864798734,0.05227041254452711,0.92477434238588,0.0038923242807865285,BBQ,MNIST,XGBoost,10,10000,1000,9000
9,0.9291111111111111,0.4048687146880407,0.018395265341745553,0.029595376765022302,0.35671717171717177,0.08892573930648387,0.6601103267891943,0.0506977159622495,0.9288017875127973,0.00030932359831380846,BBQ,MNIST,XGBoost,10,10000,1000,9000
0,0.7626666666666667,0.7955616362975131,0.08936812716703443,0.09129102682537575,0.895,0.29766520538519725,0.5066821701398133,0.1579827000156087,0.7624310958346114,0.00023557083205524854,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
1,0.7593333333333333,0.6337748479870655,0.1013093601460268,0.0978544576990121,0.895,0.2831786564839707,0.5098712611522292,0.1627630447275376,0.7584509448875263,0.000882388445807028,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
2,0.7685555555555555,0.764580008448935,0.08740276705478978,0.08892089324004981,0.895,0.2931886568376578,0.513166804036453,0.15490074197425796,0.7682753356191099,0.00028021993644564147,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
3,0.7723333333333333,0.7069105918286225,0.08913815817288306,0.0881716820701557,0.895,0.29516671457440524,0.527868447338746,0.15316392696867717,0.7742177769153129,0.0018844435819795335,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
4,0.7537777777777778,0.7506304039104407,0.09383601776998937,0.09231304919867322,0.895,0.29405230552814154,0.5045424922706737,0.1588989408007863,0.7582328609421422,0.004455083164364312,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
5,0.7577777777777778,0.7683818073521851,0.0848925607825023,0.08424190878774987,0.895,0.2965672633607082,0.5218569439467007,0.14873767310615912,0.7714730230244224,0.013695245246644686,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
6,0.7285555555555555,0.7208731968512605,0.08173996006672353,0.08338646664627807,0.34385178313749754,0.2910289241803134,0.46832749106603494,0.13637413893821693,0.7563243146284929,0.027768759072937257,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
7,0.7332222222222222,0.7556737402763973,0.07670812244912291,0.07604890008990547,0.39267676767676774,0.29237266133357004,0.4824716890956876,0.12012823547545333,0.7738542555129144,0.04063203329069218,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
8,0.7553333333333333,0.6715064414353806,0.09216047572611366,0.08705162670464899,0.895,0.28996319454133923,0.5124872906196118,0.15342541071399848,0.764834563545625,0.009501230212291531,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
9,0.7491111111111111,0.8360439402259257,0.07503927224699476,0.07172010830839244,0.38368686868686874,0.29898862042692304,0.48630689945092154,0.14545173538796022,0.7621605976638393,0.01304948655272814,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
0,0.10055555555555555,1.7647520767302172,0.17084270482603817,0.15100052910052914,0.6354040404040404,0.16059071438630199,0.22720373527346935,0.6068072334291307,0.2438948545317079,0.14333929897615236,BBQ,MNIST,random_forest,10,10000,1000,9000
1,0.06222222222222222,1.753002650218172,0.18672013468013468,0.19056560846560844,0.7792424242424243,0.16819388205084226,0.22430706004565512,0.4262125441451238,0.24605250689600663,0.18383028467378443,BBQ,MNIST,random_forest,10,10000,1000,9000
