,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.6777777777777778,1.341702910783406,0.13244109988776648,0.2850065167807103,0.17666536819577794,0.44471531149724186,0.4047322186930777,0.5467564299238031,0.13102134785397473,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
1,0.6786666666666666,1.1061292730232692,0.12419115600448928,0.8230808080808081,0.18044592018615813,0.4508874590619257,0.3954428967684072,0.5551779242384065,0.12348874242826022,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
2,0.6813333333333333,1.216912648482252,0.13533694725028056,0.8140909090909091,0.1693286710807326,0.4457729569215236,0.4062215566116259,0.5466140283676044,0.13471930496572895,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
3,0.6798888888888889,1.1263933848369518,0.1375186756453423,0.3516666666666667,0.15512919710877213,0.44602109992572786,0.4121621643593034,0.5424407227968272,0.13744816609206176,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
4,0.6791111111111111,1.1556259776444093,0.1456089674523007,0.8230808080808081,0.1714659253754374,0.43809512153312496,0.4191545162037053,0.5350384786611798,0.1440726324499313,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
5,0.6785555555555556,1.2369354872691651,0.12939896745230076,0.2606565656565656,0.17474887354411214,0.4473408983971255,0.40257425498489774,0.5491818048744571,0.12937375068109852,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
6,0.6748888888888889,1.2630868969791549,0.10943138047138043,0.3140909090909091,0.19190240094787592,0.4750541670776404,0.38636034309393374,0.5685839743240693,0.10630491456481972,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
7,0.6677777777777778,1.2540695139465536,0.12361402918069583,0.2766340621403912,0.1742586422935816,0.4378275197384226,0.39383073639671456,0.5502423953637364,0.11753538241404121,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
8,0.686,1.291755946430959,0.13738919191919186,0.24055555555555552,0.1807515205549128,0.4501059719205429,0.40531390971207354,0.5492879331205681,0.13671206687943205,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
9,0.6832222222222222,1.2609065038670677,0.14391698092031416,0.2871212121212121,0.164752867129964,0.442483581111377,0.41555010400230297,0.5394781222487083,0.1437440999735139,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
0,0.9291111111111111,0.5047560568242834,0.01842395061728393,0.6702525252525252,0.08743178223184017,0.6655392606051275,0.044308041434975215,0.9351233561985343,0.006012245087423179,Isotonic,MNIST,XGBoost,10,10000,1000,9000
