,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.6682222222222223,1.1222964385540928,0.23311013468013467,0.3343049135422017,0.10479005381925562,0.3585661249063274,0.5270339914397584,0.43501066938350963,0.23321155283871262,Platt,MNIST,AdaBoost,10,10000,1000,9000
1,0.6475555555555556,1.1332866580339975,0.20804241301907966,0.32686098270844033,0.10989950430355275,0.3597433733993069,0.5172951083996621,0.4393677876299301,0.20818776792562546,Platt,MNIST,AdaBoost,10,10000,1000,9000
2,0.6583333333333333,1.126192002582278,0.2285980471380471,0.3425638740344623,0.09841382528227872,0.35226151775060544,0.5298856038660974,0.4298479960196094,0.22848533731372392,Platt,MNIST,AdaBoost,10,10000,1000,9000
3,0.6754444444444444,1.1208582822935431,0.24631179573512899,0.3405340288127173,0.09840909135751025,0.35286229166418404,0.5340731537331345,0.4292311169341508,0.24621332751029357,Platt,MNIST,AdaBoost,10,10000,1000,9000
4,0.6624444444444444,1.137849802576294,0.2376487878787877,0.34425872902250854,0.09633584577393484,0.3495458984295468,0.5369838236910904,0.424713653620298,0.23773079082414642,Platt,MNIST,AdaBoost,10,10000,1000,9000
5,0.6518888888888889,1.120778242774851,0.2175969584736251,0.8500505050505051,0.09563905671943444,0.3545685288411927,0.523182000733622,0.43426160028392186,0.217627288604967,Platt,MNIST,AdaBoost,10,10000,1000,9000
6,0.6545555555555556,1.1361467660934634,0.21198520763187426,0.2904564513055079,0.11121927097357034,0.37215526178783137,0.5203560138824794,0.44251260345740906,0.21204295209814653,Platt,MNIST,AdaBoost,10,10000,1000,9000
7,0.649,1.1238956643017828,0.21000579124579122,0.8410606060606061,0.10427008897601289,0.3582865482601431,0.5162026145344011,0.4397430816064839,0.2092569183935161,Platt,MNIST,AdaBoost,10,10000,1000,9000
8,0.6728888888888889,1.1186595418243173,0.23943286195286195,0.32962981462981467,0.10526550546422288,0.35523752226391436,0.5281192990236115,0.43372542118421914,0.23916346770466973,Platt,MNIST,AdaBoost,10,10000,1000,9000
9,0.6602222222222223,1.1362375260394768,0.23420900112233442,0.34270431588613404,0.10121559776523299,0.35066851821932404,0.5352124660643447,0.4260124283733729,0.23420979384884927,Platt,MNIST,AdaBoost,10,10000,1000,9000
0,0.9343333333333333,0.24844411898335106,0.044879517396184024,0.6972222222222222,0.04707437498385516,0.7354213136099691,0.05923164107875541,0.9272839029458042,0.007049430387529185,Platt,MNIST,XGBoost,10,10000,1000,9000
1,0.9333333333333333,0.2511762285072556,0.044688282828282806,0.6972222222222222,0.046916211383727306,0.7358293172143213,0.05622996914107777,0.9299073166159487,0.00342601671738451,Platt,MNIST,XGBoost,10,10000,1000,9000
2,0.9311111111111111,0.2540139495872981,0.046099438832772156,0.7421717171717171,0.046447301926815926,0.7422061433270414,0.053940470501943075,0.932016296228498,0.000905185117386971,Platt,MNIST,XGBoost,10,10000,1000,9000
3,0.9332222222222222,0.2506973888341926,0.047675533108866366,0.6702525252525252,0.04635511040724583,0.7347651238690073,0.058323948053842355,0.927858999971228,0.005363222250994247,Platt,MNIST,XGBoost,10,10000,1000,9000
4,0.9318888888888889,0.257798524787151,0.03949878787878788,0.7152020202020202,0.04549527506420753,0.756930614444978,0.04541600936957766,0.9411215995635692,0.00923271067468042,Platt,MNIST,XGBoost,10,10000,1000,9000
5,0.9332222222222222,0.2515805250701073,0.04618618406285069,0.7241919191919192,0.04646144147142018,0.7416574511430256,0.05760201857482642,0.9289929749029989,0.004229247319223153,Platt,MNIST,XGBoost,10,10000,1000,9000
6,0.9322222222222222,0.25682637425159704,0.04454051627384957,0.7331818181818182,0.045222504677081846,0.7465856189109603,0.05402713750702769,0.9324588382057469,0.00023661598352487517,Platt,MNIST,XGBoost,10,10000,1000,9000
7,0.9322222222222222,0.25301634917698657,0.044599057239057285,0.7511616161616161,0.04414841333730013,0.7572279245262106,0.0491855836515354,0.9376935541249561,0.005471331902734085,Platt,MNIST,XGBoost,10,10000,1000,9000
8,0.9346666666666666,0.24935035460852642,0.04550884399551061,0.6342929292929292,0.04483965881243241,0.7425312393241128,0.05690523772611567,0.9299912787744992,0.004675387892167392,Platt,MNIST,XGBoost,10,10000,1000,9000
9,0.9338888888888889,0.24983570393201085,0.045714736251402883,0.7601515151515151,0.0466132416679201,0.7349821571081209,0.05912813641428975,0.9272602663241364,0.0066286225647525995,Platt,MNIST,XGBoost,10,10000,1000,9000
0,0.9122222222222223,0.3017573574940441,0.026278518518518493,0.3387373737373738,0.09192669538972897,0.6694503834136749,0.07689513241251959,0.9008396406433352,0.011382581578886997,Platt,MNIST,mondrian_forest,10,10000,1000,9000
1,0.9132222222222223,0.3005784825427645,0.03880613916947248,0.7691414141414141,0.09679812658248729,0.6410109463674054,0.0891513956517665,0.8874326920278972,0.025789530194325054,Platt,MNIST,mondrian_forest,10,10000,1000,9000
2,0.917,0.2973077291314709,0.03281999999999997,0.7601515151515151,0.09590097551668746,0.658576190438456,0.08628503828297632,0.8925384437009025,0.024461556299097464,Platt,MNIST,mondrian_forest,10,10000,1000,9000
3,0.9144444444444444,0.29634769957877105,0.03446235690235687,0.7601515151515151,0.0963527944773802,0.6522575563469466,0.08687678680989502,0.8908047069935237,0.023639737450920753,Platt,MNIST,mondrian_forest,10,10000,1000,9000
4,0.9141111111111111,0.30441604722003257,0.03847117845117843,0.7781313131313131,0.09331327032464816,0.6531680726876884,0.08983210244702847,0.8880944681506534,0.026016642960457775,Platt,MNIST,mondrian_forest,10,10000,1000,9000
5,0.915,0.29754198067304233,0.0368833894500561,0.7421717171717171,0.09669985602373378,0.6481212762559502,0.08907400112598306,0.8885875974514813,0.026412402548518753,Platt,MNIST,mondrian_forest,10,10000,1000,9000
6,0.9165555555555556,0.29684631203110945,0.043050089786756424,0.7601515151515151,0.09834105603084732,0.636294312723527,0.09349844473753283,0.8839542620239401,0.03260129353161551,Platt,MNIST,mondrian_forest,10,10000,1000,9000
7,0.913,0.3097779443808925,0.030697676767676745,0.7691414141414141,0.09053818780209995,0.6743642161884471,0.0783143808960512,0.9001686570503001,0.01283134294969987,Platt,MNIST,mondrian_forest,10,10000,1000,9000
8,0.9137777777777778,0.30198554484016854,0.03585628507295172,0.3818686868686868,0.09633632419246388,0.654399897308467,0.08780558468373714,0.8899667990969241,0.02381097868085378,Platt,MNIST,mondrian_forest,10,10000,1000,9000
9,0.9145555555555556,0.30403897991044004,0.040031537598204235,0.6972222222222222,0.09514624733076353,0.639617256870719,0.09310034408942677,0.8840618598148346,0.030493695740720993,Platt,MNIST,mondrian_forest,10,10000,1000,9000
0,0.9458888888888889,0.19953326084997638,0.023975308641975297,0.6612626262626262,0.05745503013156921,0.6913354352024202,0.050795354544639154,0.9352510559672297,0.01063783292165938,Platt,MNIST,random_forest,10,10000,1000,9000
1,0.9457777777777778,0.20156603720923247,0.023139629629629645,0.7331818181818182,0.05310250777006294,0.7111208876592502,0.043575577675788534,0.9431235195557113,0.002654258222066476,Platt,MNIST,random_forest,10,10000,1000,9000
2,0.9462222222222222,0.19577234956791056,0.030044523007856316,0.7421717171717171,0.05769547615037131,0.6824094041034311,0.05577300610736168,0.930147025730641,0.01607519649158124,Platt,MNIST,random_forest,10,10000,1000,9000
3,0.9461111111111111,0.1971597943261584,0.025014792368125705,0.7871212121212121,0.05632932485401678,0.7053174932048649,0.04773791024083106,0.9389545198337425,0.0071565912773685625,Platt,MNIST,random_forest,10,10000,1000,9000
4,0.9485555555555556,0.1987856046080151,0.029842525252525225,0.7152020202020202,0.05677465740073403,0.6953709033090548,0.056918147754615456,0.9303385000945489,0.018217055461006673,Platt,MNIST,random_forest,10,10000,1000,9000
