,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7303333333333333,1.0247066624630836,0.14672833376920905,0.30906417112299467,0.26164237437824445,0.5378879358926711,0.3140653722160587,0.6460113698705955,0.08432196346273782,Temp,MNIST,AdaBoost,10,10000,1000,9000
1,0.7305555555555555,1.018774152233331,0.17231643306567226,0.31459595959595954,0.26393435019434114,0.5119556754128287,0.34795407385767735,0.6142993863624313,0.11625616919312429,Temp,MNIST,AdaBoost,10,10000,1000,9000
2,0.7306666666666667,1.0197223430377529,0.15622838117486934,0.4121212121212121,0.2622340612842179,0.5280241325951068,0.3271834270523237,0.6338191423460509,0.09684752432061577,Temp,MNIST,AdaBoost,10,10000,1000,9000
3,0.732,1.0292939402519348,0.14116009856872053,0.3941414141414141,0.25920342792475326,0.5487889214658779,0.3057327424316643,0.655279063492877,0.076720936507123,Temp,MNIST,AdaBoost,10,10000,1000,9000
4,0.7327777777777778,1.0186224544863518,0.1709744362694617,0.39351592851592854,0.26385226760251496,0.5166721335256615,0.3426513884403014,0.6197567304850476,0.11302104729273019,Temp,MNIST,AdaBoost,10,10000,1000,9000
5,0.7311111111111112,1.0261753339325603,0.15247298445672658,0.3781313131313131,0.2615737427577002,0.5352096881919487,0.32016017212074166,0.6409503903188927,0.09016072079221829,Temp,MNIST,AdaBoost,10,10000,1000,9000
6,0.7296666666666667,1.0234674500396044,0.16159631055523524,0.32358585858585853,0.2624337396619426,0.5216067098788386,0.33468454208677106,0.626466193027932,0.10320047363873461,Temp,MNIST,AdaBoost,10,10000,1000,9000
7,0.7311111111111112,1.0193296390664002,0.15663527609072142,0.3495598845598845,0.26285689038294086,0.5299770216507119,0.327167431648297,0.6344202991276587,0.09669081198345242,Temp,MNIST,AdaBoost,10,10000,1000,9000
8,0.7316666666666667,1.0309787843555285,0.13857997768832692,0.35204545454545455,0.2585035161933842,0.5516559557798723,0.3022063826085592,0.6585800115256699,0.07308665514099677,Temp,MNIST,AdaBoost,10,10000,1000,9000
9,0.7312222222222222,1.0209199314765853,0.1698937450149719,0.3021717171717172,0.2634708309797972,0.5180344236890768,0.34281969866126355,0.6197809815571224,0.11144124066509986,Temp,MNIST,AdaBoost,10,10000,1000,9000
0,0.9337777777777778,0.23931516349841347,0.018916644219977553,0.8500505050505051,0.0933351033296052,0.6547388329310669,0.04208831475992734,0.9378349052427208,0.004057127464942925,Temp,MNIST,XGBoost,10,10000,1000,9000
1,0.9335555555555556,0.23889158863091467,0.021679708193041537,0.8500505050505051,0.08990568358489262,0.6632143368598422,0.03928038803905005,0.9409520392375652,0.007396483682009659,Temp,MNIST,XGBoost,10,10000,1000,9000
2,0.9331111111111111,0.24236110249343493,0.023205465768799106,0.8410606060606061,0.08616020680906868,0.6801135282360857,0.03703378585372588,0.9440465122665038,0.010935401155392627,Temp,MNIST,XGBoost,10,10000,1000,9000
3,0.9338888888888889,0.23872435637118788,0.02329437710437709,0.8500505050505051,0.08746250650164045,0.6725770034068445,0.037734722044320594,0.9431136642493954,0.009224775360506435,Temp,MNIST,XGBoost,10,10000,1000,9000
4,0.9327777777777778,0.24435751077295384,0.023433030303030337,0.8410606060606061,0.08323566287127895,0.6841312817034675,0.033905183867852254,0.9471406007622198,0.01436282298444199,Temp,MNIST,XGBoost,10,10000,1000,9000
5,0.9327777777777778,0.2406389846470818,0.021823827160493813,0.8500505050505051,0.09062233118446054,0.6635162706442684,0.03960631657380518,0.9404369240114098,0.0076591462336319666,Temp,MNIST,XGBoost,10,10000,1000,9000
6,0.9332222222222222,0.24097379219103524,0.02219323232323231,0.8410606060606061,0.08830394366201115,0.6696332621449405,0.037486985207788204,0.9429551557543219,0.0097329335320996,Temp,MNIST,XGBoost,10,10000,1000,9000
7,0.9324444444444444,0.2434623989749263,0.02429712682379352,0.8410606060606061,0.08272383980714788,0.68519951850382,0.03355169484675038,0.9474483871218216,0.01500394267737707,Temp,MNIST,XGBoost,10,10000,1000,9000
8,0.9343333333333333,0.2389021600075,0.021283692480359176,0.8410606060606061,0.08468248585296474,0.6776087836637043,0.0358895769001534,0.9452968154435398,0.01096348211020657,Temp,MNIST,XGBoost,10,10000,1000,9000
9,0.9331111111111111,0.23845681349303813,0.021919371492704853,0.8500505050505051,0.0876185302288985,0.6671886490078465,0.03776604209349599,0.9424987050223937,0.009387593911282695,Temp,MNIST,XGBoost,10,10000,1000,9000
0,0.9144444444444444,0.27994173820452695,0.022031964085297406,0.46520202020202017,0.12398464883683499,0.6315392477485505,0.05353984421985698,0.9195169225374399,0.0050724780929957,Temp,MNIST,mondrian_forest,10,10000,1000,9000
1,0.9161111111111111,0.2722799319048405,0.02080133557800224,0.7961111111111111,0.1407995233254034,0.5951076803962075,0.06290197432257946,0.9084088356010521,0.00770227551005899,Temp,MNIST,mondrian_forest,10,10000,1000,9000
2,0.9156666666666666,0.27497049750279834,0.020025106621773293,0.7871212121212121,0.122046520725788,0.6331987024679234,0.05186866984006588,0.9215720118912412,0.0059053452245745805,Temp,MNIST,mondrian_forest,10,10000,1000,9000
3,0.9144444444444444,0.27558493631998865,0.019565970819304165,0.7961111111111111,0.1253041344292952,0.6286780091042649,0.05338055259797328,0.9194177910143292,0.004973346569884907,Temp,MNIST,mondrian_forest,10,10000,1000,9000
4,0.9164444444444444,0.27187358273403345,0.016523928170594813,0.7961111111111111,0.13038690269524847,0.6137181169603027,0.057105107321905386,0.915390344307008,0.0010541001374364117,Temp,MNIST,mondrian_forest,10,10000,1000,9000
5,0.9148888888888889,0.2779623287619675,0.020186778900112223,0.7871212121212121,0.11873024866553135,0.6413781989752109,0.049407677272865005,0.9242747650833602,0.009385876194471253,Temp,MNIST,mondrian_forest,10,10000,1000,9000
6,0.9157777777777778,0.27389136367698064,0.017794085297418622,0.7961111111111111,0.135564775252872,0.6077686707587134,0.059048499657219373,0.9128901020289225,0.0028876757488552757,Temp,MNIST,mondrian_forest,10,10000,1000,9000
7,0.9136666666666666,0.2805275469268969,0.02248645342312008,0.7871212121212121,0.11450881289409684,0.6501103502394942,0.047005087398656525,0.926845878717437,0.013179212050770509,Temp,MNIST,mondrian_forest,10,10000,1000,9000
8,0.9144444444444444,0.2760160276216932,0.018226105499438837,0.7961111111111111,0.13154612301168084,0.6187515861872436,0.05731619956374741,0.9149695998838373,0.0005251554393929658,Temp,MNIST,mondrian_forest,10,10000,1000,9000
9,0.9156666666666666,0.2752853356837272,0.01989407407407406,0.7871212121212121,0.12245933284304607,0.6337171056847575,0.05206211984209723,0.921438594844001,0.0057719281773342054,Temp,MNIST,mondrian_forest,10,10000,1000,9000
0,0.9652222222222222,0.11546787291957315,0.012760426487093142,0.7511616161616161,0.050346112441669776,0.6662479256645957,0.018063119284367622,0.9709579203899684,0.005735698167746335,Temp,MNIST,random_forest,10,10000,1000,9000
1,0.9655555555555555,0.11834704702866364,0.012573355780022475,0.7062121212121212,0.04590488992552419,0.6876429249301266,0.016589109626958767,0.9732233271188965,0.007667771563340878,Temp,MNIST,random_forest,10,10000,1000,9000
