,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,ECE_15bins,ECE_15bins,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference,cal_time,cal_time,fit_time,fit_time
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,,,,,,,
Uncal,MNIST,AdaBoost,10,10000,1000,9000,0.731111111111111,0.0008873443370896856,2.153510164913226,0.0002779435913654036,0.6120523075196409,0.0008842250168215317,0.5965694444444445,0.0008925001463667851,0.769141414141414,0.0,0.0008888696114013224,5.574898522214517e-06,0.1176731805274325,0.00010758831005800637,0.8816175512004394,4.596095710104369e-05,0.118191664179646,3.5760051939901195e-05,0.6129194469314652,0.0008816755847673248,1.4066696166992188e-06,3.067693561811254e-07,0.00016028881072998046,7.685514928915189e-05
Uncal,MNIST,XGBoost,10,10000,1000,9000,0.9333,0.0005833774233778625,0.2593382015607624,0.0015042076503012862,0.07397637822671152,0.0005430682566031043,0.07747727513227513,0.0006170190720436302,0.832070707070707,0.0,0.14647645914899787,0.0008704857700260829,0.5191456188544847,0.0017645787381050649,0.11370882736270134,0.0005818624333801837,0.8618024463615483,0.0006093595919363708,0.07149755363845163,0.0006097724112737468,1.3828277587890625e-06,2.930814252628609e-07,0.00013425350189208985,2.3044786114895284e-05
Uncal,MNIST,mondrian_forest,10,10000,1000,9000,0.9151555555555555,0.000899931410280732,0.48556160118854585,0.0018061333049180324,0.2188189943883277,0.0007136651915883665,0.2220199735449735,0.0007366365709707102,0.4462356020738471,0.010535206573105211,0.2307363071566332,0.0009059767075329739,0.38490333860721904,0.00092511492669542,0.274037232039439,0.0005552446149042625,0.6970262577802803,0.0005863922986978025,0.2181292977752753,0.0007828663871047997,1.2636184692382812e-06,1.6092027609599902e-07,0.0001320362091064453,2.234779075740794e-05
Uncal,MNIST,random_forest,10,10000,1000,9000,0.965777777777778,0.0007388865682688745,0.25424864726916974,0.001263072220089064,0.14411903030303025,0.0007270698923278056,0.15037309523809525,0.0008412209789329136,0.4568922205245734,0.026979861952891305,0.17869291319946995,0.0009552624100842641,0.4035153492939454,0.002224291183975155,0.16196175998210088,0.0006058118017078138,0.8231673333333334,0.0005558893318328418,0.14261044444444443,0.0008240806824537327,1.4543533325195312e-06,3.067693561811254e-07,0.00016782283782958984,5.2193215978848e-05
Uncal,MNIST,1layer_NN,10,10000,1000,9000,0.9759222222222222,0.0005569119244839162,0.1249350022648259,0.0032523089020153823,0.017613723241994658,0.0005825814650105534,0.011700346198140654,0.0007290023809792181,0.753171717171717,0.0028428556742927814,0.01138677616985924,0.0004025086440004031,0.8470636283063488,0.0033747831556974715,0.004293771664508972,0.0001491340000048008,0.992127769887848,0.00021738838594010236,0.01620554766562567,0.0004181579619058449,1.3113021850585938e-06,2.575214981400116e-07,0.00013294219970703126,2.1580123013886746e-05
Temp,MNIST,AdaBoost,10,10000,1000,9000,0.731111111111111,0.0008873443370896856,1.023199069134104,0.0044926398329936034,0.1566585976653915,0.01217016516795284,0.15290591973866757,0.012419826209272561,0.3528932913491737,0.03989934858312691,0.2619705201374825,0.0018457230048960212,0.5299812597975561,0.013466491135273994,0.32646252312598356,0.01588722280696669,0.6349363567985937,0.015242199452656594,0.09617475431251744,0.015123104776596162,0.002654576301574707,4.657970002882687e-05,0.017205643653869628,0.0003139975814589281
Temp,MNIST,XGBoost,10,10000,1000,9000,0.9333,0.0005833774233778625,0.24060838710838106,0.002137435024542852,0.022204647586980923,0.0014995467344913267,0.028894126984126974,0.0004897333747149339,0.8455555555555556,0.0047380927904879695,0.08740502937882297,0.003348067305330377,0.6717921467224341,0.009969085313038308,0.037434301015454065,0.0025833762786504383,0.9431723709150294,0.0029947006423026268,0.009872370915029465,0.0032375747888676704,0.0025788545608520508,4.87633512371963e-05,0.009204268455505371,0.0007349444440812249
Temp,MNIST,mondrian_forest,10,10000,1000,9000,0.9151555555555555,0.000899931410280732,0.27583332894108714,0.0029186117623422447,0.019753580246913576,0.0018462332674206753,0.025886719576719574,0.0014247984164048454,0.7594242424242424,0.10347562044655725,0.1265331023724992,0.007995012997945253,0.6253967666545721,0.016510905711817077,0.05436357326645043,0.004748814484808004,0.9184724845165257,0.005561567947250167,0.00564573920728422,0.0038114693779742023,0.0026593446731567384,0.00013010415669812577,0.014996552467346191,0.009921906681090081
Temp,MNIST,random_forest,10,10000,1000,9000,0.965777777777778,0.0007388865682688745,0.11595311708532292,0.003220847177255644,0.012969709315375975,0.0008074569790454696,0.028247142857142853,0.0013508604619859833,0.6082222222222222,0.16104637529387383,0.052089590127493736,0.006846779006954893,0.6635196072513606,0.026430707427088005,0.01940638808711652,0.00327423928954707,0.9697508137606246,0.003913550461877529,0.0046046511404416735,0.0036367230028827987,0.002613997459411621,0.00017379046205844936,0.01797049045562744,0.02573709062171187
Temp,MNIST,1layer_NN,10,10000,1000,9000,0.9759222222222222,0.0005569119244839162,0.13375311231469045,0.003452960175995698,0.016513189674523022,0.004134797087299565,0.022114391534391514,0.0010841505769164721,0.844868686868687,0.04485950588035734,0.006143567332016138,0.00044477236740361883,0.8965646991349925,0.011098579909270578,0.017383477462566823,0.003919937509556117,0.9805474302635018,0.004041648548047238,0.005255905660076668,0.003730045876846957,0.0025949716567993165,0.00016846099790260652,0.009190917015075684,0.0003397284190639009
