,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7303333333333333,2.1533075295026185,0.6112451627384962,0.7691414141414141,0.0008935938725258742,0.11765935031640605,0.8815639756059516,0.11822658128444409,0.6121067520488891,Uncal,MNIST,AdaBoost,10,10000,1000,9000
1,0.7305555555555555,2.1532895430195067,0.6114913580246912,0.7691414141414141,0.0008894636710444861,0.11753749885514841,0.8815493769436342,0.11820458681326007,0.6123509687422956,Uncal,MNIST,AdaBoost,10,10000,1000,9000
2,0.7306666666666667,2.1532906533639906,0.6115924803591469,0.7691414141414141,0.0008925660637323359,0.11767529555902653,0.8815827941684656,0.11821738466480565,0.6124492820018611,Uncal,MNIST,AdaBoost,10,10000,1000,9000
3,0.732,2.153601108227038,0.6129328058361391,0.7691414141414141,0.000891808043828749,0.11783483274597585,0.8816701091483732,0.1181972152793123,0.6138027847206876,Uncal,MNIST,AdaBoost,10,10000,1000,9000
4,0.7327777777777778,2.153483811710678,0.6137465432098765,0.7691414141414141,0.0008759723150172031,0.11766072172014545,0.8816413978903035,0.11817211296115529,0.6146056648166224,Uncal,MNIST,AdaBoost,10,10000,1000,9000
5,0.7311111111111112,2.1536867532235404,0.6120668911335577,0.7691414141414141,0.0008914229442356718,0.1176949240228154,0.8816439739107368,0.11817826308917398,0.6129328480219373,Uncal,MNIST,AdaBoost,10,10000,1000,9000
6,0.7296666666666667,2.1541516351792613,0.6106723905723905,0.7691414141414141,0.0008884592715255959,0.11749240892403694,0.8816557328296857,0.11811398149107075,0.611552685175596,Uncal,MNIST,AdaBoost,10,10000,1000,9000
7,0.7311111111111112,2.1532089764548594,0.6120049607182941,0.7691414141414141,0.0008930225184346514,0.11766432355153805,0.8815680116007547,0.11822557185130624,0.6128855392598049,Uncal,MNIST,AdaBoost,10,10000,1000,9000
8,0.7316666666666667,2.153459804604353,0.6125914814814815,0.7691414141414141,0.000890076363017349,0.11783452861152427,0.8816393589339938,0.11821946755738698,0.6134471991092798,Uncal,MNIST,AdaBoost,10,10000,1000,9000
9,0.7312222222222222,2.153621833846417,0.6121790011223345,0.7691414141414141,0.000882311050651305,0.1176779209677079,0.8816607809724946,0.11816147680454439,0.613060745417678,Uncal,MNIST,AdaBoost,10,10000,1000,9000
0,0.9337777777777778,0.25945306501837007,0.07513824915824914,0.8320707070707071,0.14734432345273826,0.5177727065880426,0.11432727874531058,0.8613095647278759,0.07246821304990188,Uncal,MNIST,XGBoost,10,10000,1000,9000
1,0.9335555555555556,0.25900571099077085,0.07398315375982038,0.8320707070707071,0.146440808886883,0.5171360820781028,0.11368269270245616,0.8617872658885187,0.07176828966703681,Uncal,MNIST,XGBoost,10,10000,1000,9000
2,0.9331111111111111,0.2602489872668536,0.07452840628507292,0.8320707070707071,0.14687366009223793,0.5225781950344675,0.11475309821133614,0.8609883949591054,0.07212271615200572,Uncal,MNIST,XGBoost,10,10000,1000,9000
3,0.9338888888888889,0.2570708943071102,0.07414019079685742,0.8320707070707071,0.14558333669942514,0.5210535893420212,0.11351145763329137,0.8623292315834098,0.07155965730547904,Uncal,MNIST,XGBoost,10,10000,1000,9000
4,0.9327777777777778,0.2620765921958187,0.07322108866442195,0.8320707070707071,0.14723833764373515,0.5192658590137466,0.1137373854639702,0.8615922770814763,0.0711855006963015,Uncal,MNIST,XGBoost,10,10000,1000,9000
5,0.9327777777777778,0.2594236298152831,0.07392409652076314,0.8320707070707071,0.14727241837983976,0.517908001019935,0.11407426378427339,0.8611867662386762,0.07159101153910163,Uncal,MNIST,XGBoost,10,10000,1000,9000
6,0.9332222222222222,0.260156053834352,0.07388134680134677,0.8320707070707071,0.1470233063729534,0.5175794115826214,0.11389534432826433,0.8614953588164515,0.07172686340577071,Uncal,MNIST,XGBoost,10,10000,1000,9000
7,0.9324444444444444,0.260346083289904,0.0734508978675645,0.8320707070707071,0.14664614519291597,0.5192826698338123,0.11309513843860708,0.8620699401646853,0.07037450427975916,Uncal,MNIST,XGBoost,10,10000,1000,9000
8,0.9343333333333333,0.25821882359533077,0.07367662177328842,0.8320707070707071,0.14488809197439254,0.5205548423548843,0.1129950949653517,0.8629413509186771,0.07139198241465622,Uncal,MNIST,XGBoost,10,10000,1000,9000
9,0.9331111111111111,0.2573821815960231,0.07381973063973059,0.8320707070707071,0.14545417804928043,0.5183248105536268,0.1130165287492445,0.8623243030574587,0.07078680805365245,Uncal,MNIST,XGBoost,10,10000,1000,9000
0,0.9125555555555556,0.4921562948127543,0.21682737373737368,0.4523384328724134,0.23448424095272474,0.3852080435632068,0.27387867887573336,0.6963103489642051,0.2162452065913505,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
1,0.9137777777777778,0.48716136068576776,0.21719955106621772,0.4394341372912801,0.23190005606661207,0.3831154323653801,0.27321448524679204,0.6971535165384353,0.21662426123934256,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
2,0.9145555555555556,0.4882201532266384,0.21728410774410772,0.4394341372912801,0.23160104089565753,0.38673751043171367,0.2730997774512734,0.697835208591173,0.21672034696438264,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
3,0.9121111111111111,0.48786722126311016,0.21469682379349045,0.42264111705288165,0.23285421790466482,0.38469525133874305,0.2718291460227462,0.6979831649009135,0.21412794621019754,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
4,0.914,0.48679380118427645,0.21646484848484845,0.4272966507177033,0.23215024824586233,0.3850518063803634,0.27242692784389194,0.6981162432993941,0.215883756700606,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
5,0.9132222222222223,0.488332703061149,0.21624943883277212,0.42377233877233866,0.23234985302397226,0.3852981023407418,0.2727779925121332,0.6975506108300996,0.21567161139212265,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
6,0.9134444444444444,0.4848489109029319,0.21561062850729515,0.46041201488569905,0.23324760272466774,0.3818989870488025,0.2715953417352366,0.6984126673895152,0.21503177705492915,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
7,0.9122222222222223,0.4905533845739724,0.215376936026936,0.42795454545454537,0.23436922094823867,0.38514021815568394,0.2725763938099432,0.6973787310181507,0.2148434912040715,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
8,0.9127777777777778,0.4885596859684293,0.21655515151515148,0.4717676767676767,0.23302341264993728,0.38695265281938085,0.27361387470347176,0.696779983530466,0.21599779424731186,Uncal,MNIST,mondrian_forest,10,10000,1000,9000
