Method,Dataset,Model,n_classes,size,calib_size,test_size,logits,accuracy_mean,accuracy_std,log-loss_mean,log-loss_std,ECE_mean,ECE_std,ECE_15bins_mean,ECE_15bins_std,MCE_mean,MCE_std,sharpness_mean,sharpness_std,overconfidence_mean,overconfidence_std,underconfidence_mean,underconfidence_std,avg_confidence_mean,avg_confidence_std,weighted_abs_conf_difference_mean,weighted_abs_conf_difference_std,cal_time_mean,cal_time_std,fit_time_mean,fit_time_std
Uncal,CIFAR-100,alexnet,100,10000,1000,9000,False,0.43904444444444446,0.001920362334352267,3.096586255730738,0.014695398259872072,0.2751022906468938,0.001646380076067612,0.2676243180782502,0.0016608062669451421,0.5300548022225093,0.009439181003163299,0.25936198950709405,0.00045706086428895986,0.6097017754059387,0.0009871675841986486,0.14929185898940855,0.0012176145008597039,0.715515211126444,0.0007130375923189067,0.27647076668199977,0.0016178837174922424,2.3365020751953127e-06,4.175162485937658e-07,0.001763772964477539,4.95108644688231e-05
Uncal,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False,0.8260444444444446,0.0013670630761038799,0.704412060139005,0.005233510927551822,0.04952232966597465,0.0007780829617943877,0.02448975292548343,0.0010658617771650079,0.2661215447825159,0.033608083651861055,0.21970184883480673,0.0014777211752256424,0.5714665868953873,0.0021303665783915134,0.07089537698279433,0.0003804667491380216,0.86689050504259,0.0007881557193511017,0.0408460605981457,0.0010240378888668946,2.5033950805664062e-06,2.809789900726269e-07,0.0017934799194335937,0.00011963124302322098
Uncal,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False,0.8267666666666665,0.001224408818464022,0.6909938315855275,0.006268567902026922,0.0527074222097826,0.0010509185096722674,0.028177025090480846,0.0010030964948944084,0.28822193039150407,0.012603035915348365,0.21955504998002687,0.000892051930125771,0.5741581591696504,0.0019516969001828139,0.07062397787284677,0.00037999862969243816,0.867841454793948,0.0005986594693065585,0.04107478812728129,0.0010592356652569755,2.360343933105469e-06,3.2670982346684876e-07,0.0017857551574707031,6.722633582218013e-05
Uncal,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False,0.8274333333333332,0.0009833315895918192,0.7553003012816636,0.0066458054698337165,0.07171463584824216,0.0005725045362831807,0.04865942673817812,0.0007028297863189171,0.38241694544976784,0.02533396856071681,0.1438748365680777,0.0010437587700692181,0.6725567601799193,0.002069908056058506,0.053080289261874594,0.00037134229450937173,0.8995743253041916,0.0004912136112124244,0.07214099197085833,0.0006954325251193379,2.288818359375e-06,5.96840647237097e-07,0.0019024133682250977,0.00041205338956321324
Uncal,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False,0.8183222222222224,0.0013612811685148254,0.7573357741707794,0.006112672450868414,0.06644718231583,0.000921723646696845,0.04453343104229081,0.0011093916195774609,0.34080599966258773,0.020224463471980612,0.1862023230844852,0.0011835309787059526,0.6285090564719344,0.001953604669110552,0.06535174918365054,0.0004402105243068202,0.879029466360655,0.0007120324354927854,0.06070724413843289,0.001059394927026828,2.5510787963867186e-06,2.984203236185485e-07,0.0018079757690429687,6.689045111391382e-05
GPcalib,CIFAR-100,alexnet,100,10000,1000,9000,False,0.4374444444444444,0.0022945034817382875,2.448597861404381,0.022026783140639564,0.05767850906236368,0.013199544696909113,0.04859803785570279,0.014797191233072,0.2127002846396394,0.03783774300805165,0.3235690544529883,0.019184207721494755,0.35033957878146343,0.022658136939669823,0.35196426398305813,0.02003494908753456,0.4805552264802177,0.020910119904240874,0.04311078203577324,0.020141900057184633,2.5315011024475096,0.0557569287266062,37.702142691612245,0.7566542284838883
GPcalib,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False,0.8255222222222223,0.0012472741197374097,0.666145575200075,0.006154145580603172,0.03539954488520804,0.004174518734919953,0.025526233952546756,0.008010512897601003,0.24890294209534636,0.05642764855544505,0.2257420273815947,0.01712597711836807,0.5236162191910628,0.018013164660649998,0.11035449878865977,0.008984885303868819,0.825785769572309,0.009735245646331662,0.00803662346507435,0.0060063193179787045,2.541501832008362,0.0380369800636379,22.757852625846862,10.74217694484149
GPcalib,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False,0.8264666666666667,0.0010407341504997697,0.6526295469632523,0.006664327777700848,0.028600346700842032,0.002232334339928751,0.02328577522629452,0.0050820116942706176,0.23983829666810758,0.04916402509266076,0.21141605881783926,0.017225356574708858,0.5366392360658296,0.02094818716899979,0.1060229519009922,0.006869047746152389,0.83197798826382,0.008597480729324638,0.008960731509970623,0.005768321680285548,2.547490954399109,0.057200563883739244,26.34491527080536,9.261557578498909
GPcalib,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False,0.8272111111111112,0.0009521472376371221,0.6812337505236064,0.010121749451026582,0.034998049868637644,0.0038395272607433016,0.01766747624933736,0.0034677652994640116,0.22372897037602923,0.03313010660478217,0.22539695236015497,0.021333527571194236,0.5391622093421309,0.01739645578865662,0.10823475049684735,0.005072216441262992,0.8308339807705714,0.004776423136509926,0.004387317071011207,0.004253826506637297,2.5576669931411744,0.03775875695489658,17.010356760025026,12.753964029517041
GPcalib,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False,0.8176555555555556,0.0013046818720975383,0.7027350340281864,0.0042206264839251715,0.03713681562708156,0.003280949418463256,0.02478215505150507,0.005534405862597469,0.47771699756182506,0.3133607389268888,0.23687951799772683,0.02910972304730463,0.5241892523257792,0.027547006421904375,0.11938274073388606,0.00786590054805633,0.8156355743877869,0.010212134195740828,0.009953633734959895,0.0036239333128904095,2.5376134395599363,0.04702783229616258,17.914468836784362,6.033094948326328
