,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.32422222222222224,3.6270391097964265,0.04554977553310888,0.034119232804232784,0.2642496392496392,0.19449687635079763,0.2210863547974101,0.5311962828345206,0.30140182850741304,0.022820393714809206,14.48691201210022,9.12330174446106,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
1,0.2926666666666667,3.5593612520259663,0.04492406285072952,0.036601613756613735,0.23811738070358768,0.16739022747355856,0.2108798323236365,0.5428377965566539,0.2829584729380049,0.00970819372866183,15.003536939620972,9.360175848007202,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
2,0.32122222222222224,3.680089433638071,0.05108441077441079,0.0411701058201058,0.2524747474747475,0.17633145986212978,0.2177344121799148,0.546192926987096,0.2935661968986006,0.027656025323621686,14.767300128936768,9.137669801712036,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
3,0.30822222222222223,3.465689674688647,0.041981133557800226,0.029718968253968234,0.18894984326018804,0.19362811606573763,0.20722886605114774,0.5457704908918914,0.28335995314448204,0.024862269077740112,14.480311393737793,9.085016012191772,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
4,0.31277777777777777,3.4887136924046085,0.05196138047138048,0.04001650793650793,0.28863636363636364,0.16210188836670203,0.21757963566150448,0.5536097948720289,0.28914649711129375,0.02363128066648401,14.980870723724365,8.947564601898193,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
5,0.322,3.5828088729312624,0.058089225589225586,0.050152513227513226,0.264508124725516,0.1757838252474892,0.2070767537087048,0.5474336660675414,0.28612439854075356,0.03587560145924648,15.247630596160889,8.891696453094482,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
6,0.31022222222222223,3.5855555520861198,0.04785171717171718,0.031657010582010564,0.255925470925471,0.16195086896665395,0.22017315397358916,0.5489472901749002,0.2917971228555245,0.018425099366697756,15.305988788604736,8.97750735282898,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
7,0.3161111111111111,3.542644597303622,0.03841213243546577,0.029064603174603167,0.19065656565656564,0.20787432693673,0.22339444023183228,0.5084992169154879,0.30814583416692937,0.007965276944181726,15.429001092910767,9.010494709014893,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
8,0.2892222222222222,3.471407561585453,0.052785207631874304,0.04476962962962962,0.34651515151515144,0.14051208704866186,0.19288795602267536,0.588618912168906,0.2560810251445991,0.03314119707762314,15.22020411491394,8.922804117202759,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
9,0.3151111111111111,3.6793677827248783,0.045161099887766565,0.029163809523809505,0.20717171717171723,0.16431108140062073,0.2334521193453429,0.5529978720357452,0.3007440998390356,0.014367011272075542,14.673880100250244,8.940903186798096,BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False
