,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.42533333333333334,2.5273277780564323,0.07972726150392816,0.07813899470899474,0.28089116976213746,0.35621787819726897,0.3642413571646884,0.30657873794368257,0.5042525433785946,0.07891921004526128,0.44173574447631836,0.21412444114685059,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
1,0.4301111111111111,2.403379980549911,0.07737647586980921,0.06975193121693125,0.30792929292929294,0.3569317069510166,0.363164716236958,0.3160901322787417,0.501120769725372,0.07100965861426092,0.45557188987731934,0.2067549228668213,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
2,0.43455555555555553,2.58402297159409,0.08553175084175083,0.0805645502645503,0.4553030303030303,0.3568953781860996,0.37740414219339397,0.30704788850745385,0.5145272652966143,0.07997170974105888,0.45211291313171387,0.21021246910095215,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
3,0.4361111111111111,2.390037447720186,0.07280483726150391,0.061274656084656105,0.2871212121212121,0.3589879160753908,0.35990049259506185,0.32196380127712787,0.49864300887857904,0.06253189776746798,0.45587944984436035,0.20772886276245117,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
4,0.43344444444444447,2.395208355509373,0.07165765432098765,0.0678148941798942,0.29727994227994226,0.3603650942382065,0.36269540186376376,0.3223871758189559,0.49919460902595375,0.06575016458150934,0.45155882835388184,0.27353835105895996,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
5,0.425,2.759354212864808,0.08864962962962962,0.08492444444444447,0.30236008736008735,0.35884822085256407,0.37494749175290754,0.3050270825070183,0.510958297692439,0.08595829769243901,0.44951391220092773,0.21303033828735352,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
6,0.43422222222222223,2.4855984003163796,0.0656525364758698,0.060234523809523835,0.2733838383838384,0.36001368182700916,0.3553411359994788,0.32365700178107154,0.49472727794987986,0.0605050557276576,0.4522683620452881,0.21196651458740234,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
7,0.43044444444444446,2.4725464307370544,0.09102684624017957,0.08797320105820108,0.2549879390924167,0.3641254409227478,0.38229851814108246,0.2985796813654741,0.5196627242645935,0.08921827982014913,0.44954681396484375,0.206085205078125,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
8,0.43344444444444447,2.34878305786312,0.06642772166105498,0.05450079365079367,0.26665775401069514,0.36665808768234626,0.34595439437440767,0.3250277417688338,0.48856535958609815,0.05512091514165374,0.45465707778930664,0.20537114143371582,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
9,0.43066666666666664,2.53139164834966,0.08488741863075194,0.07998261904761907,0.2921717171717172,0.36013475603079037,0.3746350753741854,0.3068369190348477,0.5118144697820285,0.08114780311536182,0.45788049697875977,0.20825886726379395,Beta,CIFAR-100,alexnet,100,10000,1000,9000,False
0,0.8136666666666666,1.212242574557603,0.05264757575757574,0.03392664021164023,0.32772727272727264,0.2083505029949611,0.574998430588667,0.06912590400723634,0.8645625970058003,0.05089593033913365,0.2886643409729004,0.19440293312072754,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
1,0.818,1.061846683730403,0.04607371492704824,0.025431587301587292,0.2431299481299481,0.21943430895773208,0.5584848168778522,0.07236838453445761,0.8604468981225829,0.042446898122582816,0.2881789207458496,0.19698715209960938,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
2,0.8185555555555556,1.209470337338984,0.05414277216610547,0.033622195767195766,0.33189393939393935,0.19572319627621104,0.5842161819508083,0.06947292116317154,0.8676908905462872,0.04913533499073166,0.28904104232788086,0.1936030387878418,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
3,0.8184444444444444,1.10538072885529,0.0512840965207632,0.0306714814814815,0.2954040404040404,0.21443827868287538,0.5698047962474917,0.07160692969556073,0.8632893769923223,0.044844932547877914,0.2872469425201416,0.19228553771972656,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
4,0.8134444444444444,1.1957214453640805,0.05628448933782263,0.0365568518518519,0.36010320597277123,0.20195295064860283,0.5834865053575005,0.06839543670934889,0.8666612055940112,0.05321676114956669,0.28577470779418945,0.2611987590789795,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
5,0.8177777777777778,1.0801365963107443,0.04869745230078561,0.026614814814814803,0.259720374476472,0.21514216208310247,0.5623555165117466,0.07344474521702261,0.860189969142442,0.042412191364664203,0.28531932830810547,0.1989138126373291,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
6,0.8182222222222222,1.1977662006163747,0.03804071829405162,0.020223227513227544,0.2172113022113022,0.23411694271246652,0.5367834562678189,0.08303479217583117,0.8478566138745923,0.029634391652370126,0.2853281497955322,0.20015788078308105,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
7,0.8207777777777778,1.095482739845793,0.050121234567901254,0.028764550264550288,0.254572192513369,0.21332906289699155,0.5701153734076884,0.07430916900456994,0.8619638073188715,0.04118602954109366,0.2834503650665283,0.1933732032775879,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
8,0.8188888888888889,1.1181955429171462,0.043269225589225566,0.022327486772486804,0.29559417706476526,0.22828506447262706,0.5474170083454302,0.08045676129577119,0.8521470436503574,0.03325815476146861,0.2891855239868164,0.19520974159240723,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
9,0.8183333333333334,1.327286251079939,0.05160760942760944,0.03164116402116405,0.271969696969697,0.20866343305041057,0.5759072345576935,0.072558439943931,0.8635794909238641,0.04524615759053078,0.2891044616699219,0.19655680656433105,Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False
0,0.8166666666666667,1.158704794150053,0.051568417508417494,0.03269822751322755,0.336010101010101,0.20039121768558962,0.5765699731049981,0.06922593480650359,0.8658366483106051,0.04916998164393841,0.28682875633239746,0.20102691650390625,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
1,0.8185555555555556,1.2105469472859725,0.05790325476992139,0.03958791005291004,0.2707044125465178,0.18688727388916104,0.5985746726169806,0.06294667774673636,0.8756382517137026,0.05708269615814693,0.2877964973449707,0.19522762298583984,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
2,0.8182222222222222,1.1121836979363209,0.0453485746352413,0.030774523809523783,0.4355050505050505,0.21576003850193856,0.5588276318181091,0.07544049350063532,0.8580775790573052,0.039855356835083136,0.2876904010772705,0.19856882095336914,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
3,0.8251111111111111,1.1195269194594724,0.04508539842873176,0.025997751322751325,0.26722222222222225,0.21400011761834833,0.5662381271840227,0.07932500827244987,0.8586879223062711,0.03357681119515987,0.28794336318969727,0.19462299346923828,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
4,0.818,1.1479748040795308,0.04837248035914703,0.02939272486772485,0.32247474747474747,0.22026333836344655,0.5630532235573511,0.07573711214318378,0.8585227289543136,0.040522728954313594,0.2877650260925293,0.260361909866333,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
5,0.8121111111111111,1.2361308549216627,0.05872435465768801,0.03984238095238099,0.29113275613275613,0.19410649596045076,0.5915480657949411,0.06747251971086303,0.8684612369658387,0.056350125854727505,0.2879002094268799,0.20111513137817383,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
6,0.8194444444444444,1.2161666345630693,0.05981598204264871,0.03752978835978835,0.3042050944224857,0.19660742404204457,0.5984602837434148,0.06644431589288338,0.8730523479303373,0.053607903485892686,0.28936266899108887,0.1998441219329834,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
7,0.8188888888888889,1.2814723922639764,0.0529604152637486,0.03199584656084655,0.2803588516746411,0.20828422994030943,0.5775075766683441,0.07236123595264388,0.8642261156664908,0.04533722677760172,0.2878999710083008,0.2025136947631836,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
8,0.8193333333333334,1.2285973695423704,0.04872763187429854,0.027054576719576718,0.5922727272727273,0.22613466407720334,0.5531296140710514,0.07798688539245774,0.855368162177283,0.03603482884394957,0.2871572971343994,0.19659137725830078,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
9,0.8143333333333334,1.1210683926818554,0.051455331088664416,0.03337865079365079,0.2756060606060606,0.20586041914203193,0.5717560141262842,0.0699494396469923,0.8635272062702462,0.04919387293691269,0.28798675537109375,0.19811654090881348,Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False
0,0.819,1.1950973670456224,0.056895791245791215,0.0398025396825397,0.8959090909090909,0.17062329679037613,0.6252676873273283,0.07080647492108506,0.8741829484458777,0.05518294844587778,0.29178667068481445,0.19484996795654297,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
1,0.8212222222222222,1.0868022909025248,0.0554047138047138,0.03835367724867728,0.2991558441558441,0.16986648651114833,0.6232460185428207,0.07218085944035559,0.8733682346346366,0.05214601241241451,0.29198789596557617,0.1962742805480957,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
2,0.8186666666666667,1.208941336276808,0.051784725028058365,0.03630777777777778,0.33651515151515154,0.17798203604674548,0.6088227063716964,0.07529507319193741,0.8674249508356016,0.048758284168934865,0.29189324378967285,0.19675660133361816,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
3,0.8177777777777778,1.099988574944372,0.05042503928170594,0.03201809523809524,0.2805248133509003,0.1870013044266634,0.5945239183659182,0.07559892293205925,0.8642901281489056,0.04651235037112773,0.29248499870300293,0.19040441513061523,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
4,0.8212222222222222,1.0664754132119858,0.05336157126823791,0.034012671957671985,0.3802525252525253,0.17540182652161726,0.6107046229528001,0.07540337105691544,0.8684797136499326,0.0472574914277104,0.29177069664001465,0.2634866237640381,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
5,0.8175555555555556,1.2988750478347688,0.05382123456790121,0.0378500793650794,0.9058080808080808,0.17577495357919956,0.6140181871318497,0.0733785671627044,0.8695887073430353,0.052033151787479796,0.2925286293029785,0.1979818344116211,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
6,0.8165555555555556,1.1710186305419055,0.054252446689113346,0.035726216931216956,0.4157070707070707,0.18138855664988174,0.6034966887356125,0.07581063762106888,0.865360073025029,0.04880451746947342,0.2916598320007324,0.20182132720947266,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
7,0.8218888888888889,1.1746025940461775,0.05186686868686868,0.03385968253968258,0.3761111111111111,0.18101439696927238,0.6054656318892984,0.07624733234248589,0.8670622100645752,0.04517332117568636,0.2925734519958496,0.19530677795410156,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
8,0.8165555555555556,1.343426805451744,0.0631518630751964,0.046359338624338615,0.29055555555555557,0.16559922404152805,0.6280196420426647,0.06527523693736996,0.8784614125288563,0.06190585697330082,0.29502248764038086,0.1942591667175293,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
9,0.8187777777777778,1.028058161710904,0.052130650953984246,0.03598060846560848,0.9157070707070707,0.17527266149935133,0.6090996529170797,0.07739559892758058,0.8657903739344907,0.04701259615671283,0.29377317428588867,0.19348859786987305,Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False
0,0.812,1.1982301468079126,0.04789193041526372,0.031083439153439182,0.3222776545947278,0.2109106267314152,0.5761747213844649,0.083038644918041,0.8528934679468302,0.040893467946830075,0.2916135787963867,0.19474077224731445,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
1,0.8106666666666666,1.2472094936334632,0.05669254769921438,0.03771074074074076,0.4157070707070707,0.19411366799392668,0.5974769404985073,0.07503599950656187,0.8629597838010645,0.05229311713439791,0.2802703380584717,0.19248247146606445,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
2,0.8083333333333333,1.26877940716806,0.052159663299663296,0.035644365079365074,0.3174708624708624,0.2003730822227144,0.585217156502611,0.07808151821423356,0.857384061106495,0.049050727773161634,0.27970290184020996,0.19234609603881836,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
3,0.8057777777777778,1.0367497341301097,0.05611592592592591,0.04123756613756616,0.29590909090909095,0.1969910675263115,0.5874724582524298,0.07518752008520842,0.8592935512630351,0.05351577348525728,0.2795836925506592,0.18779277801513672,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
4,0.809,1.2032359719753583,0.05406497194163857,0.03456730158730162,0.4157070707070707,0.20488974988654993,0.5821670001364179,0.07958970792054,0.855805823318339,0.04680582331833892,0.28185534477233887,0.26357388496398926,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
5,0.8074444444444444,1.140790173151759,0.0569936475869809,0.04164759259259263,0.299054834054834,0.19377803705072053,0.5950034634630803,0.0767914687988419,0.8600108220467039,0.05256637760225937,0.279254674911499,0.19865083694458008,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
6,0.8088888888888889,1.2053145189803993,0.05762817059483727,0.0411121164021164,0.33929410382898756,0.20134851021484415,0.5923657356145864,0.07457933634160735,0.8617701662989096,0.052881277410020786,0.28040289878845215,0.19393706321716309,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
7,0.8075555555555556,1.1116649772445903,0.050641335578002246,0.03229563492063496,0.2736076986076986,0.22006583915131553,0.566056373035441,0.08236609979619693,0.8499747583087361,0.04241920275318048,0.2794642448425293,0.1977853775024414,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
8,0.8071111111111111,1.1615038351834173,0.05450332210998876,0.0366705291005291,0.30981127060074426,0.21180411419876005,0.5788742974862883,0.07830193605181265,0.8555711685506477,0.04846005743953659,0.28080058097839355,0.1926891803741455,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
9,0.8067777777777778,1.178911039112397,0.05264319865319865,0.034364761904761926,0.39590909090909093,0.21254026234705814,0.5744717164208039,0.08339451374865849,0.8504976389474187,0.043719861169640925,0.28202295303344727,0.19157648086547852,Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False
