,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.43633333333333335,2.2692970153491347,0.035331560044893386,0.02009576719576717,0.28863636363636364,0.27501582896785054,0.2934120011648583,0.4228346312918024,0.41722305386960207,0.01911027946373131,0.33225274085998535,23.66148567199707,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
1,0.4408888888888889,2.256550127532383,0.03721745230078564,0.024508994708994692,0.20247474747474747,0.3006482014782754,0.29309375226264306,0.4143559412055195,0.4220759318535688,0.018812957035320155,0.3292806148529053,30.45370125770569,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
2,0.43877777777777777,2.2627208530462353,0.033528316498316495,0.01678994708994707,0.12342712842712833,0.3033393184576055,0.30058344087743355,0.4039519778662372,0.4302267332531273,0.008551044524650414,0.40543508529663086,28.76318907737732,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
3,0.44,2.256341451501552,0.041274994388327726,0.028428677248677224,0.17114718614718616,0.28779908761889594,0.2866995879113501,0.4262964878726183,0.412981314566404,0.027018685433596007,0.33973073959350586,18.775806427001953,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
4,0.43877777777777777,2.2616753699891397,0.035844107388617194,0.02041946784556952,0.2152020202020202,0.28052553936241176,0.29665349304120964,0.4195538624629552,0.4211753989427712,0.01760237883500665,0.3312873840332031,18.45439910888672,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
5,0.43844444444444447,2.265493247493416,0.03320507295173962,0.018060185185185162,0.20530303030303032,0.289329717212562,0.30177827986424827,0.4118208216975488,0.42734916266837586,0.011095281776068527,0.3297441005706787,25.50500988960266,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
6,0.4411111111111111,2.2610338645806043,0.036881521306252496,0.024847874973252883,0.24101731601731602,0.27787137560925484,0.2933363529699745,0.42513146886472053,0.41752332489400346,0.023587786217107637,0.33686351776123047,36.50520730018616,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
7,0.4361111111111111,2.275519121460491,0.034558080808080816,0.009579391534391543,0.20530303030303032,0.29995099179615875,0.3139173777221944,0.39154309496950046,0.4423693382427608,0.006258227131649696,0.4075489044189453,22.25313091278076,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
8,0.44177777777777777,2.2489995469779966,0.04953025813692481,0.04126833333333331,0.18075757575757578,0.27197265393636644,0.27642979049813976,0.4417096070613299,0.400949541087423,0.04082823669035482,0.33177685737609863,25.329635620117188,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
9,0.43822222222222224,2.2597005522810747,0.03961410774410775,0.024685264550264537,0.20530303030303032,0.28400111426419,0.29127443504298334,0.4227395822038391,0.4165998479294869,0.021622374292735336,0.33975958824157715,37.31775116920471,GPcalib_approx,CIFAR-100,alexnet,100,10000,1000,9000,True
0,0.8235555555555556,0.6384815616846462,0.025799408267712348,0.016966606008279674,0.2323881673881674,0.20304027524126997,0.5448911511979557,0.09975595300516836,0.8375440027142272,0.01398844715867173,0.3368685245513916,10.527791261672974,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
1,0.826,0.6280247350767407,0.022139609841123477,0.013982439993897375,0.21671717171717175,0.2110145772874696,0.5316736236157413,0.10624775869996864,0.8307505618229649,0.004750561822964933,0.33498668670654297,21.873230934143066,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
2,0.8265555555555556,0.633371544744191,0.02728675356974413,0.021644971972962918,0.2084809634809635,0.17925973256558872,0.5659577469864594,0.10049459814194109,0.8416534141631071,0.015097858607551445,0.335111141204834,16.689934492111206,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
3,0.8268888888888889,0.6223178268129563,0.021103628353555278,0.015625282402481705,0.18114718614718614,0.1974826170894992,0.5424858905131933,0.10649919774914426,0.8327362208633804,0.005847331974491499,0.36876845359802246,35.77994680404663,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
4,0.8237777777777778,0.6335291300248055,0.026782872736530367,0.019796018406113506,0.3464141414141414,0.1950941609415892,0.5523165692401725,0.09922949132878217,0.8393651811225913,0.01558740334481358,0.34316563606262207,28.8001229763031,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
