,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.43633333333333335,2.27048283782898,0.03685159371492706,0.01983470899470899,0.29853535353535354,0.3099586491659434,0.29480170207150264,0.406537352452113,0.42511742794769836,0.011215905385634967,2.438000202178955,4.973579168319702,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
1,0.4408888888888889,2.258687997935832,0.03481445566778901,0.02510417989417989,0.29853535353535354,0.31598095895125394,0.29492743573156516,0.40624651087093017,0.4266765223850428,0.014212366503846108,2.4323601722717285,3.4671592712402344,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
2,0.43877777777777777,2.2647275956645716,0.034988810325476995,0.0199686507936508,0.13507575757575752,0.3164254216504056,0.301918597846447,0.39724870162827225,0.43391730166581743,0.004860476111960332,2.454052209854126,3.357889175415039,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
3,0.44,2.2587128547002355,0.039625162738496075,0.027483359788359765,0.2152020202020202,0.3116278352031461,0.28959162374189146,0.4133226006930969,0.42030936499049654,0.01969063500950341,2.483046770095825,3.740417003631592,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
4,0.43877777777777777,2.263352382677221,0.03658499438832773,0.024029206349206328,0.2152020202020202,0.3119082426892028,0.2927187509524234,0.4103483542109343,0.4230063066979679,0.015771471079809862,2.4635822772979736,2.974496603012085,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
5,0.43844444444444447,2.2678319226377055,0.03550171717171716,0.020884391534391516,0.29853535353535354,0.3152453961606457,0.3046434668667585,0.39819818525245404,0.43493089361537934,0.0035135508290650985,2.4445996284484863,3.80865740776062,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
6,0.44122222222222224,2.261113830484786,0.036772951739618406,0.025665185185185187,0.46520202020202017,0.31318962030529235,0.2931874624513149,0.4098193851399175,0.42422744114189453,0.01699478108032776,2.4023873805999756,4.594510078430176,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
7,0.4361111111111111,2.277910738210081,0.03580517396184063,0.018684153439153466,0.20530303030303032,0.32013595302442094,0.3157643607450847,0.38146999686079586,0.44780382145585346,0.01169271034474234,2.4153881072998047,2.5419375896453857,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
8,0.4418888888888889,2.2511990981797863,0.04139904601571269,0.033015899470899446,0.2152020202020202,0.310267933763648,0.2795559519813922,0.4217205090948011,0.4115585646813899,0.030330324207498982,2.5273945331573486,3.4512698650360107,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
9,0.43822222222222224,2.261840706646798,0.033819865319865326,0.022013888888888875,0.46520202020202017,0.31452104527365066,0.2946724103597137,0.4064119489554743,0.4256638866775913,0.012558335544630927,2.4969592094421387,4.978994369506836,GPcalib_lin,CIFAR-100,alexnet,100,10000,1000,9000,True
