,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.1874,14.705921496628987,0.13735946565656565,0.4270707070707071,0.28014824991037174,0.2582217592660783,0.387421664653752,0.32462818162350215,0.1372281816235021,BBQ,ImageNet,alexnet,1000,50000,1000,10000
1,0.1913,14.189604839095397,0.1313505909090909,0.49375324675324667,0.27896797251458455,0.2557640357785251,0.3950988731260202,0.3225539613050856,0.13125396130508554,BBQ,ImageNet,alexnet,1000,50000,1000,10000
2,0.1817,14.487202011205245,0.12775558686868685,0.5962404692082112,0.2433804868584672,0.2515200954802221,0.42965975734501655,0.3094497162218762,0.12774971622187622,BBQ,ImageNet,alexnet,1000,50000,1000,10000
3,0.1906,14.295202918888046,0.13555828080808083,0.4701515151515151,0.29267023867485037,0.2580147710282858,0.3840071794625921,0.32624538726472446,0.13564538726472447,BBQ,ImageNet,alexnet,1000,50000,1000,10000
4,0.182,14.446121401840346,0.14109337979797978,0.5994893117218698,0.2671292310348094,0.2654570396105119,0.41794851696983515,0.32307722831288876,0.14107722831288877,BBQ,ImageNet,alexnet,1000,50000,1000,10000
5,0.1857,14.36511422204714,0.13355925656565656,0.9592857142857143,0.26089650455734076,0.26086115129631016,0.4249872786092159,0.319199097862854,0.13349909786285397,BBQ,ImageNet,alexnet,1000,50000,1000,10000
6,0.1966,14.118933536321551,0.12571797272727273,0.4906161616161616,0.26394398788705614,0.2565490679516001,0.40901544939535234,0.3222990838411892,0.12569908384118925,BBQ,ImageNet,alexnet,1000,50000,1000,10000
7,0.1811,14.320850019302632,0.135066397979798,0.42257720057720055,0.2670335661986159,0.25827181107175795,0.4224032375579253,0.3161015597649223,0.1350015597649223,BBQ,ImageNet,alexnet,1000,50000,1000,10000
8,0.1835,14.071821897219994,0.13149656666666668,0.6270360750360751,0.2689057945703211,0.2547191152690254,0.41660472788260955,0.31503119005070035,0.13153119005070038,BBQ,ImageNet,alexnet,1000,50000,1000,10000
9,0.1857,13.91548188549221,0.10762651212121212,0.3519061583577712,0.2240117608649959,0.2340683889322781,0.44817236842032604,0.2930762802918995,0.10737628029189952,BBQ,ImageNet,alexnet,1000,50000,1000,10000
0,0.267,13.604161720815783,0.15463474242424244,0.49510101010101004,0.38316257223439826,0.3206281099906872,0.29985357831106724,0.42195949921411885,0.15495949921411872,BBQ,ImageNet,vgg19,1000,50000,1000,10000
1,0.2493,14.202658535488489,0.16975235353535356,0.4938067632850241,0.3743090055623823,0.326421903928398,0.3011704863127472,0.41926312104128044,0.1699631210412805,BBQ,ImageNet,vgg19,1000,50000,1000,10000
2,0.2545,14.625813887169885,0.16357034646464647,0.46929797979797977,0.3594476370308836,0.32693053101318187,0.31439539277343653,0.41821308340948754,0.1637130834094875,BBQ,ImageNet,vgg19,1000,50000,1000,10000
3,0.2633,13.833857037723256,0.15643168484848483,0.5659181286549708,0.3324691671440244,0.32624961679000786,0.31871926689223634,0.41972930971647293,0.15642930971647295,BBQ,ImageNet,vgg19,1000,50000,1000,10000
4,0.2551,13.501371494224093,0.1663599191919192,0.745405433646813,0.3736955458100133,0.33007759632999867,0.31216497159454865,0.4213415172524467,0.16624151725244668,BBQ,ImageNet,vgg19,1000,50000,1000,10000
5,0.2634,13.565322972469005,0.1438023353535354,0.45221212121212123,0.3579980375505657,0.3073740879109113,0.312871519854362,0.40740139482553833,0.1440013948255383,BBQ,ImageNet,vgg19,1000,50000,1000,10000
6,0.2526,13.700329622884363,0.16306078282828285,0.6502923941400762,0.36867084652026416,0.32858385994968037,0.3272270857704437,0.41552601506077697,0.16292601506077706,BBQ,ImageNet,vgg19,1000,50000,1000,10000
7,0.2686,13.506724460080665,0.16279647070707073,0.6121428571428571,0.3756800066075976,0.33940835084524384,0.31932531463052766,0.4310724882984517,0.16247248829845165,BBQ,ImageNet,vgg19,1000,50000,1000,10000
8,0.2514,14.785896840078415,0.1843156707070707,0.5416019013666071,0.36979489299533114,0.3459433801109621,0.2960799109386877,0.43593872474108014,0.1845387247410801,BBQ,ImageNet,vgg19,1000,50000,1000,10000
