,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,
Uncal,ImageNet,alexnet,1000,50000,1000,10000,0.56516,0.003953114102971355,1.914124839766129,0.023815780781066498,0.03525377329486149,0.002548207351778606,0.16166487514188826,0.024797758688804607,0.3847724844141821,0.001958985628114472,0.37032428166108355,0.003307151797193746,0.2520048873903631,0.003742937848323231,0.5837673881211597,0.002991217216509005,0.018607388121159647,0.0036784028374926515
Uncal,ImageNet,vgg19,1000,50000,1000,10000,0.7236999999999999,0.002843706501498825,1.1167302772619931,0.018796166628485243,0.037727856246673123,0.0021914279158851196,0.16225360298638203,0.021316447524153834,0.30008278557411766,0.0026594786391209726,0.48568155747446273,0.00294657176171106,0.1529699875590539,0.0024595305139315177,0.747191249045871,0.0020769942458441436,0.023491249045870945,0.0025218847727495886
Uncal,ImageNet,resnet50,1000,50000,1000,10000,0.76143,0.0042132199351828555,0.9612402640409707,0.019709196837035422,0.04405696446918915,0.0025210935958112153,0.4513175791528732,0.28307916248285714,0.24799130058702393,0.0032203564404934162,0.5425954017343946,0.002800311172673829,0.12345715579677925,0.0020841351031898854,0.7968718024280755,0.0030417413283812442,0.03544180242807547,0.0015757173105096646
Uncal,ImageNet,resnet152,1000,50000,1000,10000,0.78279,0.002242245897903841,0.8819009086591295,0.010776255076938742,0.054503270027027505,0.0016487265148932859,0.45719061727094185,0.3367920520960311,0.20745135581736704,0.0023048205825893266,0.5887461869536657,0.004756116410178364,0.09922242835043973,0.0016064143896624996,0.8329951275886749,0.0019766718834029516,0.05020512758867478,0.002038123412085776
Uncal,ImageNet,densenet121,1000,50000,1000,10000,0.7456,0.0032235246409964284,1.022010952354947,0.018300133625248214,0.03804695947456796,0.0015449726680758305,0.23490730327592035,0.0828259779346461,0.26736097555773014,0.0028397102508504308,0.514807281680344,0.0045056705568496365,0.14547036784288062,0.002254656233316266,0.768103508704505,0.0023680676976677697,0.02250350870450498,0.0032557576935052764
Uncal,ImageNet,densenet201,1000,50000,1000,10000,0.76986,0.0035581518298752183,0.9271060092209449,0.016677017252555847,0.04101085581211687,0.0031546675870007756,0.3795145854145854,0.23474490012235638,0.23785415676528077,0.0033420153266969597,0.5473402194360124,0.00524474188752404,0.12382847919817405,0.0013837342362535306,0.8005033571797995,0.0016590824919233815,0.03064335717979938,0.002778050673533434
Uncal,ImageNet,inceptionv4,1000,50000,1000,10000,0.8010999999999999,0.004808095025868125,0.8512343906571589,0.01785187759260961,0.031839516186205216,0.0024523364945004938,0.33194735591206176,0.21903235043838082,0.18529476285405141,0.002520919970447699,0.5712467651883402,0.003374624189929466,0.13460282520397687,0.0014418567666220198,0.8068917250605159,0.001874550377100858,0.005791725060515902,0.0034062411352087977
Uncal,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000,0.7904899999999999,0.00561336698327212,0.8974654505640617,0.028959608154597225,0.044007305579224006,0.0033194400473631896,0.38596982872200264,0.21326160922727327,0.23106578157792965,0.0029675082093250176,0.5618162354345205,0.004454930652208801,0.11439894545802409,0.0019631121096092942,0.8177753232697063,0.0017811256581100308,0.027285323269706358,0.004789569798353929
