,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.3526,16.20226149333398,0.23333161818181816,0.4871787101787102,0.3645834926103088,0.4562712792939981,0.17557123326094334,0.5860836093671258,0.2334836093671257,Beta,ImageNet,alexnet,1000,50000,1000,10000
1,0.3594,15.78090122810897,0.2367932424242424,0.49996850861556746,0.35514100309101954,0.46508333735901214,0.1697113383955245,0.5963381308928317,0.23693813089283167,Beta,ImageNet,alexnet,1000,50000,1000,10000
2,0.3477,15.750040516030937,0.2182198525252525,0.4152828282828283,0.36531782445237115,0.4373394518147011,0.19265182491652613,0.5659914848952534,0.2182914848952534,Beta,ImageNet,alexnet,1000,50000,1000,10000
3,0.357,15.647372710011888,0.22862348787878786,0.4826112740306289,0.36022982247559315,0.45659420271210166,0.18179351197474677,0.5856897885688968,0.22868978856889677,Beta,ImageNet,alexnet,1000,50000,1000,10000
4,0.3465,15.740002749449632,0.2268432646464646,0.4338518518518518,0.3514131468738728,0.4462661816867001,0.18780367323998093,0.573060976954605,0.22656097695460511,Beta,ImageNet,alexnet,1000,50000,1000,10000
5,0.3452,16.145032270228707,0.23749787070707076,0.4399388623072834,0.3594998151718663,0.45764116507857,0.18005224154620705,0.5827094011116969,0.237509401111697,Beta,ImageNet,alexnet,1000,50000,1000,10000
6,0.3568,15.537505222406608,0.23200326161616158,0.47751948051948045,0.36804285928948044,0.4575393938989208,0.1746612656508583,0.5887701985715597,0.2319701985715596,Beta,ImageNet,alexnet,1000,50000,1000,10000
7,0.3473,15.746761234328378,0.22717620101010097,0.4275703185703186,0.35335810308486343,0.4474552720453593,0.18659480264105813,0.5745496811067665,0.22724968110676652,Beta,ImageNet,alexnet,1000,50000,1000,10000
8,0.3544,15.686215924357125,0.23550759797979795,0.42617545316175454,0.34898460050643276,0.4633532458573107,0.17928924433161794,0.5900007473343543,0.23560074733435438,Beta,ImageNet,alexnet,1000,50000,1000,10000
9,0.3612,15.442183027829113,0.21404941919191914,0.4573262353262353,0.36839264046355996,0.441335174255363,0.18764512990356194,0.5753474883931593,0.21414748839315934,Beta,ImageNet,alexnet,1000,50000,1000,10000
0,0.4621,14.39304976186897,0.23462159595959592,0.4718585858585859,0.3616308982548658,0.519036027153922,0.09524389693766715,0.6972772742311987,0.23517727423119872,Beta,ImageNet,vgg19,1000,50000,1000,10000
1,0.4429,14.984598237504215,0.24736512424242418,0.47029675129675125,0.3474592595142674,0.5237752852971391,0.0990743327065011,0.6908151894833269,0.24791518948332686,Beta,ImageNet,vgg19,1000,50000,1000,10000
2,0.4357,15.486103648040121,0.24940933737373736,0.4512121212121212,0.3486220685079336,0.5150974752860473,0.09401786030344071,0.6854059235697074,0.2497059235697074,Beta,ImageNet,vgg19,1000,50000,1000,10000
3,0.4596,14.639145555656992,0.24123643535353537,0.4537569133962577,0.34139899233058324,0.5261747627570148,0.0932501447981597,0.7010870752446565,0.2414870752446566,Beta,ImageNet,vgg19,1000,50000,1000,10000
4,0.471,14.167682042607352,0.21720720505050503,0.4731955727487642,0.3577304564549202,0.5065483757663654,0.10719541423131626,0.6884750506774573,0.21747505067745732,Beta,ImageNet,vgg19,1000,50000,1000,10000
5,0.4719,14.326594120396,0.24278343434343433,0.4958104575163399,0.3435275385070393,0.539394619910388,0.0882983194821049,0.7150863218110706,0.24318632181107058,Beta,ImageNet,vgg19,1000,50000,1000,10000
6,0.4547,14.33655721967399,0.22102282828282827,0.48071717171717177,0.3751160603907793,0.49613503419407246,0.10842287707658775,0.6759425519393032,0.22124255193930326,Beta,ImageNet,vgg19,1000,50000,1000,10000
7,0.4669,14.231821499328673,0.252961198989899,0.5243425559947299,0.3177593054684441,0.5658645181083772,0.10330649887536536,0.7203285702786678,0.25342857027866783,Beta,ImageNet,vgg19,1000,50000,1000,10000
8,0.4327,15.490174585847681,0.27403147474747475,0.5363354598617757,0.31584421665104745,0.5573045782126965,0.09606562449222769,0.7072912915022758,0.27459129150227585,Beta,ImageNet,vgg19,1000,50000,1000,10000
9,0.4568,14.437195630245359,0.23530426464646462,0.5177012987012987,0.3451048274138699,0.5235022888040434,0.10662311759906419,0.6924610031591039,0.23566100315910385,Beta,ImageNet,vgg19,1000,50000,1000,10000
0,0.4714,14.674528438753658,0.245099597979798,0.5215690235690236,0.3550276326811922,0.5301077589904178,0.07305202519457442,0.7171782367256124,0.2457782367256125,Beta,ImageNet,resnet50,1000,50000,1000,10000
