,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.5609,1.9272704637377058,0.03323273530911916,0.20645481845481845,0.38291294034590456,0.3690260758446335,0.2600369839114984,0.5770846056274191,0.016184605627419135,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
1,0.5655,1.9054794679356317,0.03732256133486765,0.16403030303030303,0.3852226779430532,0.3698227579915837,0.25375814405135855,0.5826877578862998,0.017187757886299865,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
2,0.5692,1.88459396197337,0.03528355175167724,0.224020202020202,0.394717132253344,0.32881513018435293,0.2902816263430541,0.5456252563689529,0.023574743631047168,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
3,0.5598,1.933851197947797,0.03500913239088136,0.14785314685314682,0.3869850746283395,0.3655662950357564,0.2465724829670808,0.5826910071097682,0.02289100710976813,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
4,0.564,1.9369099874125957,0.0377540926383705,0.14787878787878794,0.391851506293687,0.32571164353194915,0.29297768817676423,0.5407708604482349,0.02322913955176517,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
5,0.5641,1.9072827551806593,0.03687152645817696,0.16783116883116883,0.3836115070800214,0.37413812087549814,0.24986004098702605,0.5862407577688482,0.022140757768848218,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
6,0.5667,1.9041086998981238,0.03807419115290841,0.14359420289855074,0.4053638565519928,0.3564357339255769,0.2624507485757994,0.572412764292047,0.005712764292046951,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
7,0.5613,1.9500522237895497,0.039266767685251926,0.18621212121212127,0.38652113050910686,0.37386713494627116,0.24904766725681807,0.5855250564696771,0.02422505646967718,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
8,0.571,1.886496538618621,0.031663912470714574,0.14282632293080055,0.3830807587344106,0.368944621734483,0.2546480206287409,0.5838732229450821,0.012873222945082169,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
9,0.5701,1.8887355844418543,0.03293118645646438,0.16548484848484846,0.3883128144642748,0.3659498646301677,0.25088144314910227,0.5843943360652059,0.01429433606520586,GPcalib,ImageNet,alexnet,1000,50000,1000,10000
0,0.7203,1.1315089089173092,0.03643526931865541,0.1552424242424243,0.30031915772991596,0.4829733093905252,0.15021600066494092,0.747187049357573,0.026887049357572912,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
1,0.7257,1.1135317327529257,0.03583541531347313,0.16233477633477633,0.30062095567365393,0.4853912643468437,0.1545522204748459,0.7466842774117436,0.020984277411743565,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
2,0.7235,1.1148957937349646,0.03666177356142479,0.16968421924159627,0.3028316528733927,0.48048147945797687,0.1535996759383275,0.7452237635287506,0.021723763528750634,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
3,0.7243,1.1261694600469185,0.03683639620193696,0.14509197235513027,0.2854664138914129,0.44221230061205685,0.20271461848078445,0.6993917331131119,0.024908266886888145,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
4,0.7237,1.095399733286274,0.03282157469996839,0.15634343434343434,0.31240662649699524,0.43324694170457995,0.19855278581622188,0.6997134788977756,0.023986521102224337,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
5,0.7298,1.0710885886742803,0.034323204556920714,0.1378585858585858,0.2954575633807801,0.48533071569162645,0.1529407366731128,0.7493202097558398,0.01952020975583975,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
6,0.7216,1.1061640884502981,0.03822826108569206,0.17355681818181817,0.3231015344461193,0.4201848644582174,0.20625453018078108,0.689746197286716,0.031853802713283905,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
7,0.7241,1.0996718889390689,0.03633148856976818,0.16588327721661056,0.3251011579998224,0.433511884512616,0.19119910618059843,0.7052586561516595,0.018841343848340533,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
8,0.724,1.1078319373409096,0.03744734474988121,0.16489942907334215,0.3037752729805915,0.4339093494037018,0.2000354133327201,0.6989333411825325,0.025066658817467655,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
9,0.7199,1.1105645333441936,0.0390560380050505,0.16927128427128424,0.3235275687185685,0.43772547032904346,0.1963837180609771,0.7011302656070677,0.018769734392932322,GPcalib,ImageNet,vgg19,1000,50000,1000,10000
0,0.7552,0.9941330666945632,0.04597018662177209,0.454040404040404,0.2539719999131954,0.5360947835903065,0.12291211438268057,0.7936127742411067,0.03841277424110666,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
1,0.7658,0.919930278193563,0.03390668120117593,0.18406060606060606,0.24787925772228,0.49568332594200437,0.16494972311283537,0.7555705369758081,0.010229463024191934,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
2,0.7677,0.9197746431163135,0.030041152127808023,0.20978499278499277,0.2738206262889153,0.4835769436300848,0.16232878975703716,0.7554151121087913,0.012284887891208754,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
3,0.7578,0.9649705212480679,0.028743298599998603,0.2574040404040404,0.2632844069902935,0.49661322657497925,0.15900339892772755,0.7575869477690279,0.0002130522309719829,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
4,0.7613,0.9340323968311752,0.029084231648311885,0.19405050505050506,0.26294594413436867,0.4797738683553776,0.1732213003718244,0.7439486464033587,0.017351353596641264,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
5,0.7648,0.9228725823256464,0.037672298989898996,0.2673939393939394,0.27101141113023447,0.4653167171549751,0.18210823634472267,0.7349661127184062,0.029833887281593793,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
6,0.7585,0.9483876994920621,0.03235031313131313,0.27738383838383834,0.26365590692111457,0.4792749475398075,0.1774715795454884,0.7396327067456107,0.018867293254389406,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
7,0.7637,0.9194236517633053,0.03604102525252526,0.3385454545454545,0.26711749722755995,0.4757438448539482,0.17629308464286042,0.7414832417972355,0.022216758202764572,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
8,0.7571,0.9423947502879226,0.03363586956076778,0.534060606060606,0.26094617785606294,0.47280536116958694,0.18437323645263795,0.7323554449098004,0.02474455509019953,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
9,0.7617,0.9268923798102853,0.027890714443372305,0.44405050505050503,0.2643191919519781,0.4913407642616806,0.1629482666227873,0.7546688094369814,0.007031190563018638,GPcalib,ImageNet,resnet50,1000,50000,1000,10000
0,0.7829,0.841158049625483,0.027224430637852164,0.16862914862914857,0.23625535947206738,0.5197370498780288,0.1438638691436366,0.783103890375967,0.00020389037596693638,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
1,0.7835,0.8436152005440793,0.025793538612346623,0.42407070707070704,0.2406416826371519,0.5082761613515371,0.15367235742394364,0.773139496890948,0.010360503109052038,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
2,0.7792,0.8539021122168997,0.03172573131313133,0.1611717171717172,0.25215821205370226,0.48202406945765386,0.16720224052137733,0.7553469287219927,0.023853071278007232,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
3,0.7853,0.8239590864802799,0.027220981339659323,0.44405050505050503,0.24019674247462114,0.5047856268819926,0.15095631785899874,0.7751314776768922,0.0101685223231079,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
4,0.7803,0.8501785478567774,0.030594965949370074,0.18735531788472964,0.2324879424792965,0.49899070307478993,0.16186913627966726,0.763621770426507,0.016678229573493006,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
5,0.7819,0.8462422889749732,0.026570166203225297,0.44405050505050503,0.24746365489740507,0.506640426122524,0.15259903860131624,0.7730810886549534,0.008818911345046698,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
6,0.7878,0.8478966952681596,0.03586274532956068,0.944050505050505,0.25363160650471234,0.49790028651322615,0.16342544502100498,0.7647078752105588,0.0230921247894411,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
7,0.7828,0.8324567592558247,0.03034954063186709,0.944050505050505,0.2421038477199059,0.4986475762542333,0.15974755054383355,0.7660558709967065,0.01674412900329346,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
8,0.7842,0.8265868948006029,0.023881443537834453,0.17582828282828283,0.22856177436307898,0.5174316676990152,0.15108296392053516,0.7773824935829639,0.006817506417036212,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
9,0.7821,0.8441713471285246,0.024082859913541914,0.1634969045291626,0.2456791996314649,0.5037504111354644,0.1491240292628829,0.775237311299917,0.006862688700083039,GPcalib,ImageNet,resnet152,1000,50000,1000,10000
0,0.7444,1.0230316463185987,0.037591578716022034,0.2365930735930736,0.26727689594739407,0.5132899529077134,0.14309213819528774,0.7690791242906394,0.024679124290639384,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
1,0.7408,1.0505273147728447,0.035976701326949884,0.16408080808080808,0.270411813945624,0.5116153724028617,0.1486394184617982,0.7632986233303216,0.02249862333032164,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
2,0.7452,1.0071017733193957,0.037395925252525254,0.15696969696969698,0.27759017064575287,0.4581797953830627,0.1945677289473606,0.7169523402520313,0.028247659747968737,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
3,0.7474,1.0162356639601542,0.04049596906224174,0.21316161616161616,0.2669695445598503,0.5197724131619047,0.14544941546593296,0.769985618445459,0.022585618445458866,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
4,0.742,1.0239512103700612,0.03954878166024022,0.454040404040404,0.2658810815813066,0.5151468015210453,0.14295134728196526,0.7688379751092114,0.02683797510921146,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
5,0.7473,0.9858316847813962,0.02891435467688583,0.14682434097068242,0.2819783901536022,0.4815377787845577,0.16627554484053586,0.7447268820395253,0.0025731179604746857,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
6,0.7496,1.0088130812838296,0.03354337315040557,0.2673939393939394,0.27607268454854633,0.47161327072342557,0.17700985162248434,0.7350053782129315,0.01459462178706851,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
7,0.7486,0.9978069295112629,0.028805411724033923,0.43406060606060604,0.2683776288389137,0.48468678627242145,0.17965869353842975,0.7359577600860182,0.012642239913981793,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
8,0.7483,1.0135239652245098,0.0369423591741261,0.18406060606060606,0.26329588972471507,0.5191266168300219,0.146133043046746,0.7696128133442364,0.021312813344236514,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
