,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.5608,1.92727052600371,0.032957510056593906,0.019247987113602594,0.20645481845481845,0.382913170403884,0.3690349797590806,0.2599778198432002,0.5770846017421216,0.01628460174212157,2.7971298694610596,27.6755633354187,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
1,0.5655,1.9054794507020416,0.03706345979295409,0.018621435598653036,0.16403030303030303,0.38522246030553503,0.3698235259381992,0.2537572210973439,0.5826886134895997,0.017188613489599602,4.178689002990723,29.95837163925171,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
2,0.5691,1.8846031266624486,0.03627345892099461,0.026719267849655573,0.224020202020202,0.3950591602714678,0.3290806228207164,0.28973590912716446,0.5460121344891774,0.023087865510822647,2.793998956680298,50.164742946624756,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
3,0.5598,1.9338523948441144,0.034975052592901554,0.02005442640610434,0.14785314685314682,0.38698536215108664,0.3655663518621081,0.2465728088536745,0.5826908496934129,0.02289084969341304,2.7940640449523926,25.450146198272705,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
4,0.5638,1.936845413662996,0.03662936230373112,0.025699722154081235,0.12027994227994232,0.3921810244638898,0.3260577778990616,0.29251210772737124,0.5411080763828788,0.022691923617121218,4.180387258529663,49.110870599746704,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
5,0.5641,1.9072833782161618,0.03690313251878303,0.020169586515291944,0.16783116883116883,0.38361247446221564,0.3741372551842147,0.24985990810299416,0.5862404553739002,0.022140455373900164,2.786468982696533,29.068320989608765,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
6,0.5661,1.9042062718220674,0.037284300568973444,0.02153264100255926,0.12801990049751244,0.4056966052072934,0.35667674941127964,0.2614189180454028,0.5728727920640517,0.00677279206405168,2.789799451828003,91.068674325943,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
7,0.5613,1.9500527807111205,0.03910162033858111,0.0233380859928024,0.18621212121212127,0.38652120160617554,0.3738675119195386,0.2490475778791152,0.5855252720155543,0.02422527201555419,4.220841407775879,26.10285973548889,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
8,0.571,1.8864938168076653,0.03143842358182568,0.01785928964175812,0.13616947250280576,0.38308064682402604,0.36894414730604,0.25464787697321856,0.5838731014425834,0.012873101442583412,2.7917444705963135,24.387378454208374,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
9,0.5701,1.888734145093793,0.03300395102185604,0.013671421487805938,0.17371269658611427,0.3883123769042573,0.36595025334576586,0.2508809990949336,0.5843947563293231,0.01429475632932306,2.799374580383301,31.832559823989868,GPcalib_approx,ImageNet,alexnet,1000,50000,1000,10000,True
