,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.3438,16.641603342349992,0.2952690589309092,0.924070707070707,0.3970265305251292,0.5037520681946905,0.1628599578355869,0.6183708536454811,0.2745708536454811,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
1,0.3513,16.111514793779616,0.29226190616894854,0.4924054834054834,0.3978503565312221,0.49974005688892226,0.1544153190124861,0.6212352733347575,0.26993527333475753,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
2,0.3382,16.870533314535702,0.2928015895131422,0.5037900627900627,0.36659623488750315,0.5077367906568343,0.1748849315353678,0.6150741242114315,0.27687412421143154,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
3,0.3508,16.349767070928497,0.28017548143614185,0.44204748982360914,0.3909629664852837,0.4944427175392439,0.1671866174498652,0.6131431468250644,0.26234314682506443,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
4,0.3392,16.764865784373278,0.2873380712594363,0.49450216450216444,0.3701073929553922,0.5030279838139781,0.1785086653053024,0.611050752432718,0.27185075243271817,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
5,0.3399,17.224754946840054,0.31435152135501554,0.5064906204906205,0.3694387089753768,0.5329444916940275,0.1599846825890895,0.6373178653551961,0.29741786535519604,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
6,0.3532,16.47125707399268,0.293866600094737,0.5118585858585859,0.3733512138989781,0.5184223601658364,0.16183511061486966,0.631355421486091,0.278155421486091,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
7,0.3416,16.73062604578411,0.2939184422222437,0.4870568181818181,0.36495929847293834,0.5111038106782062,0.17492927754786036,0.6183549077401818,0.27675490774018185,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
8,0.3481,16.553154722672218,0.3017168892395507,0.46487739463601535,0.3781791093635891,0.5192683573373489,0.16287009959704807,0.6299159604784852,0.2818159604784853,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
9,0.3486,16.41343439788548,0.2851393684485615,0.48203273238716277,0.3753617723242968,0.5036122114052922,0.1675544552309449,0.6182435114159,0.26964351141589993,Isotonic,ImageNet,alexnet,1000,50000,1000,10000
