,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.5608,1.9222590425952444,0.03428200301856153,0.14030303030303032,0.3884603788959776,0.3524520473611702,0.2739463500049095,0.5619678261182728,0.0011678261182727079,Temp,ImageNet,alexnet,1000,50000,1000,10000
1,0.5655,1.8999791233772787,0.03387249790296526,0.12292136316435381,0.39152104364553897,0.3520572408088757,0.26842089870713304,0.5666768529125727,0.0011768529125727456,Temp,ImageNet,alexnet,1000,50000,1000,10000
2,0.5691,1.8856186833127562,0.03830315047855861,0.19473139558853847,0.39770033943393407,0.32579348185214574,0.2920927432501849,0.5432544311464094,0.025845568853590656,Temp,ImageNet,alexnet,1000,50000,1000,10000
3,0.5598,1.9253775994530224,0.031728973632143644,0.224020202020202,0.3983108408310577,0.3301899007660454,0.27752404402874836,0.5497916344699199,0.010008365530080138,Temp,ImageNet,alexnet,1000,50000,1000,10000
4,0.5638,1.9383981298767707,0.04013587922077923,0.18765207631874303,0.39814435352767374,0.3238966139802258,0.29231264607415075,0.5402778331615683,0.023522166838431696,Temp,ImageNet,alexnet,1000,50000,1000,10000
5,0.5641,1.8998475397948371,0.0316748169372471,0.2597344877344877,0.3945323084648321,0.34378291321499643,0.2759086634931863,0.5583148947939106,0.005785105206089491,Temp,ImageNet,alexnet,1000,50000,1000,10000
6,0.5661,1.8962594528947607,0.036981984644095425,0.11938726891557083,0.39526294150877445,0.3414924679452872,0.2807646723756933,0.5553327008095802,0.01076729919041991,Temp,ImageNet,alexnet,1000,50000,1000,10000
7,0.5613,1.9397041123005068,0.032170412355760174,0.13546344037388813,0.39825356073036383,0.33886055113633984,0.2787096378420835,0.5535184040627508,0.007781595937249197,Temp,ImageNet,alexnet,1000,50000,1000,10000
8,0.571,1.8815124181853302,0.028465469921774775,0.17402020202020202,0.3894906905414037,0.3502702565189758,0.27044419529666497,0.5668423045322449,0.004157695467755046,Temp,ImageNet,alexnet,1000,50000,1000,10000
9,0.5701,1.8833369999001064,0.034414673931857126,0.17442424242424243,0.4008447320151127,0.33029809675034927,0.2815592274113902,0.5515782362457415,0.01852176375425843,Temp,ImageNet,alexnet,1000,50000,1000,10000
0,0.7202,1.122429759972556,0.028932763706228406,0.15429292929292932,0.32564752623805415,0.44704724737049534,0.17138387838729557,0.7218531505997343,0.0016531505997343515,Temp,ImageNet,vgg19,1000,50000,1000,10000
1,0.7258,1.1053896995733288,0.03354781149799598,0.14609636909636908,0.3258396839464659,0.44990580003383007,0.17565431326912945,0.7216742697985421,0.004125730201457942,Temp,ImageNet,vgg19,1000,50000,1000,10000
2,0.7236,1.1074565236826195,0.029763178656976252,0.16157061177815898,0.32636500587330003,0.44733932234329754,0.17283771305616186,0.7221792195282487,0.0014207804717512873,Temp,ImageNet,vgg19,1000,50000,1000,10000
