,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.5608,1.9222590425952444,0.03428200301856153,0.013555530378464587,0.14030303030303032,0.38846037889597773,0.3524520473611702,0.2739463500049095,0.5619678261182728,0.0011678261182727079,0.25403332710266113,0.26528072357177734,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
1,0.5655,1.8999791233772787,0.03387249790296526,0.014124406905392349,0.12292136316435381,0.39152104364553914,0.3520572408088757,0.26842089870713304,0.5666768529125727,0.0011768529125727456,0.23619532585144043,0.26381897926330566,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
2,0.5691,1.8856186833127562,0.03830315047855861,0.029505683450220813,0.19473139558853847,0.397700339433934,0.32579348185214574,0.2920927432501849,0.5432544311464094,0.025845568853590656,0.23726940155029297,0.264934778213501,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
3,0.5598,1.9253775994530224,0.031728973632143644,0.014321701388326242,0.224020202020202,0.39831084083105767,0.33018990076604543,0.27752404402874836,0.5497916344699199,0.010008365530080138,0.23793506622314453,0.2655940055847168,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
4,0.5638,1.9383981298767707,0.04013587922077923,0.026512995518657618,0.18765207631874303,0.39814435352767374,0.3238966139802258,0.29231264607415075,0.5402778331615683,0.023522166838431696,0.2369837760925293,0.26543235778808594,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
5,0.5641,1.8998475397948371,0.0316748169372471,0.01662294392297853,0.2597344877344877,0.3945323084648321,0.3437829132149964,0.2759086634931863,0.5583148947939106,0.005785105206089519,0.235382080078125,0.2637062072753906,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
6,0.5661,1.8962594528947607,0.036981984644095425,0.018880109639788856,0.11938726891557083,0.39526294150877445,0.3414924679452872,0.2807646723756933,0.5553327008095802,0.01076729919041991,0.23576831817626953,0.26448965072631836,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
7,0.5613,1.9397041123005068,0.032170412355760174,0.01613918680205292,0.13546344037388813,0.39825356073036394,0.33886055113633984,0.2787096378420836,0.5535184040627508,0.007781595937249225,0.23654532432556152,0.2636997699737549,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
8,0.571,1.8815124181853304,0.028465469921774775,0.012263255585621012,0.17402020202020202,0.3894906905414037,0.3502702565189758,0.27044419529666497,0.566842304532245,0.004157695467755046,0.23681402206420898,0.2657816410064697,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
9,0.5701,1.8833369999001064,0.034414673931857126,0.02373201526509792,0.17442424242424243,0.4008447320151127,0.33029809675034927,0.2815592274113902,0.5515782362457415,0.01852176375425843,0.23680591583251953,0.2649531364440918,Temp,ImageNet,alexnet,1000,50000,1000,10000,True
0,0.7202,1.122429759972556,0.028932763706228406,0.011519914006267815,0.15429292929292932,0.32564752623805415,0.44704724737049534,0.17138387838729555,0.7218531505997343,0.0016531505997343654,0.2356116771697998,0.2674076557159424,Temp,ImageNet,vgg19,1000,50000,1000,10000,True
1,0.7258,1.1053896995733288,0.03354781149799598,0.02168061967220362,0.14609636909636908,0.3258396839464659,0.44990580003383007,0.17565431326912948,0.7216742697985421,0.004125730201457969,0.23573637008666992,0.2645268440246582,Temp,ImageNet,vgg19,1000,50000,1000,10000,True
2,0.7236,1.1074565236826195,0.029763178656976252,0.01768921751286596,0.16157061177815898,0.3263650058732999,0.44733932234329743,0.17283771305616188,0.7221792195282487,0.0014207804717513428,0.235670804977417,0.26653003692626953,Temp,ImageNet,vgg19,1000,50000,1000,10000,True
