,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.5608,1.9272705529635972,0.032957510056593906,0.019247987113602594,0.20645481845481845,0.38291311301664754,0.3690350617794341,0.2599777637689843,0.5770846692118811,0.016284669211881098,0.22420835494995117,0.010512590408325195,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
1,0.5655,1.9054794825338037,0.03706345979295409,0.018621435598653036,0.16403030303030303,0.38522237382122865,0.36982362686015696,0.253757159589532,0.5826886921228579,0.017188692122857868,0.22197413444519043,0.010232925415039062,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
2,0.5691,1.891339794401299,0.032986229678534026,0.018593411835997945,0.16554545454545455,0.3823561726074646,0.3742563969276803,0.2495079553303756,0.5883721040576207,0.01927210405762067,0.22291088104248047,0.01035165786743164,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
3,0.5598,1.9338524995585562,0.034977050572699536,0.02005442640610434,0.14785314685314682,0.3869851544468793,0.3655666404053053,0.24657261424268595,0.5826910856533598,0.022891085653359816,0.22234630584716797,0.01029062271118164,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
4,0.5638,1.9471665246021113,0.03777704472653694,0.016305120453914423,0.1142368758002561,0.38429035300553654,0.36861900132711845,0.25239366105304195,0.582292062277184,0.018492062277184057,0.2237856388092041,0.010200738906860352,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
5,0.5641,1.9072834489399124,0.03690313251878303,0.020169586515291944,0.16783116883116883,0.38361238079061377,0.37413744076795696,0.2498597649789894,0.5862406170061045,0.02214061700610448,0.22135496139526367,0.01023721694946289,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
6,0.5661,1.9035751673951775,0.03632831167035157,0.018989645119891933,0.16403030303030303,0.38443136283618157,0.37304223609676546,0.25340386091916267,0.5845111005760486,0.018411100576048528,0.22556686401367188,0.010202646255493164,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
7,0.5613,1.950052866418744,0.039102619328480095,0.0233380859928024,0.17678451178451182,0.38652110212725616,0.3738676939441195,0.24904744634352663,0.5855254257006636,0.024225425700663716,0.2221832275390625,0.010328531265258789,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
8,0.571,1.8864938469276766,0.03143842358182568,0.01785928964175812,0.13616947250280576,0.38308061078584177,0.3689442356231984,0.2546478059486667,0.5838731798856633,0.012873179885663472,0.22199177742004395,0.010253667831420898,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
9,0.5701,1.8887342139204124,0.03300395102185604,0.01380461910685356,0.17371269658611427,0.388312220704171,0.36595048287909976,0.2508808417286655,0.5843949447202129,0.014294944720212782,0.22225618362426758,0.010242938995361328,Uncal,ImageNet,alexnet,1000,50000,1000,10000,True
0,0.7202,1.1315092937114601,0.03655622662772315,0.01691754796156167,0.1552424242424243,0.30031812399540697,0.4829270135334613,0.15014646996097974,0.7471874907207648,0.02698749072076488,0.2204139232635498,0.010545015335083008,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
