,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.94825,0.14769829140271407,0.014336354299300087,0.024739128069905376,0.1634726384726385,0.145646123691504,0.7747323179190378,0.04124060869418649,0.9492359902580478,0.0009859902580478322,0.040113524460079104,BBQ,KITTI,AdaBoost,2,9090,1000,8000
1,0.928625,0.16832688524721695,0.02392605384481992,0.024035417050117757,0.2684475186649099,0.3271984123701684,0.6393083213942186,0.045114546479867026,0.932361135714646,0.0037361357146458093,0.044908623376376126,BBQ,KITTI,AdaBoost,2,9090,1000,8000
2,0.95025,0.14956379412130935,0.01849607208465072,0.030594901650460783,0.23960009935419768,0.1968956431037552,0.7542381159171148,0.04478064133134676,0.9452205418417642,0.005029458158235828,0.04060192101663578,BBQ,KITTI,AdaBoost,2,9090,1000,8000
3,0.94825,0.1527262619943636,0.026836237373737384,0.038123511904761896,0.11919689856309579,0.11116597063316605,0.7994999844820867,0.049815324091260986,0.9423867431274098,0.005863256872590275,0.04126454044179036,BBQ,KITTI,AdaBoost,2,9090,1000,8000
4,0.9495,0.15119312410283964,0.023937815656565668,0.025361904761904752,0.23118849438591926,0.13186140020491782,0.7969245459191676,0.04736702410697913,0.9447697001793413,0.004730299820658729,0.041280072501734044,BBQ,KITTI,AdaBoost,2,9090,1000,8000
5,0.946,0.1875136212575265,0.014530955547591928,0.02002296576149557,0.07436385127874501,0.1678081896074799,0.7612432524142497,0.040504192941180905,0.9487901691080124,0.002790169108012386,0.04132341888971113,BBQ,KITTI,AdaBoost,2,9090,1000,8000
6,0.949,0.14436592000126086,0.014405453850282498,0.02912035222350095,0.09113375130616508,0.11713471919985605,0.7938143065592664,0.04001715495800856,0.9515082495793724,0.0025082495793725054,0.03964051396289887,BBQ,KITTI,AdaBoost,2,9090,1000,8000
7,0.941625,0.1605704561148583,0.023416836333883573,0.019079817967035815,0.20387176853278544,0.18936251659235173,0.7450023932544998,0.043728203496718486,0.9439389450886339,0.002313945088633848,0.04358054918259917,BBQ,KITTI,AdaBoost,2,9090,1000,8000
8,0.947875,0.14804114760684614,0.019982123800989286,0.033264466788339914,0.22712121212121206,0.1188825250238555,0.7860982244332192,0.04140809746921991,0.9496006695599447,0.0017256695599447078,0.0397950614502332,BBQ,KITTI,AdaBoost,2,9090,1000,8000
9,0.934875,0.17921572696826013,0.010196319533452729,0.01712837909605348,0.03856012959786548,0.3256434112217176,0.6535680227338577,0.0427535863356772,0.9374693584549764,0.002594358454976256,0.044262485205324394,BBQ,KITTI,AdaBoost,2,9090,1000,8000
0,0.965875,0.1072268168878044,0.021086478653044232,0.03614404162537974,0.26470136144049183,0.18424332915345912,0.7313310867335328,0.03687651228126088,0.9552135720351189,0.010661427964881079,0.02930793947049927,BBQ,KITTI,XGBoost,2,9090,1000,8000
1,0.9685,0.10647690082674156,0.011440049907357594,0.028952300762664123,0.04964500073195732,0.05111065289901021,0.8772388876576463,0.031761734717124325,0.9653717848876809,0.0031282151123190743,0.028159179708509136,BBQ,KITTI,XGBoost,2,9090,1000,8000
2,0.9655,0.11291269936173046,0.021911604088523946,0.022349251376102077,0.16039351216088382,0.04804748572386727,0.8732870364590757,0.027608458549202502,0.9689724360285832,0.0034724360285830723,0.029722107728436073,BBQ,KITTI,XGBoost,2,9090,1000,8000
3,0.968,0.10733708624970612,0.023730158257330578,0.034348686215416625,0.2898484848484848,0.05110800544046352,0.8692133900635597,0.03490712556211292,0.9620247309379085,0.005975269062091372,0.02826562908314252,BBQ,KITTI,XGBoost,2,9090,1000,8000
4,0.95925,0.185475101088593,0.019309775937484976,0.02961517470841098,0.19974747474747467,0.16535261488928707,0.7178292322723935,0.024480673217597934,0.9650184554311193,0.005768455431119181,0.029310037503901286,BBQ,KITTI,XGBoost,2,9090,1000,8000
5,0.966125,0.10674604505920067,0.018313859968984464,0.0356805539153764,0.17290255496137846,0.08318681485852439,0.8064346647652343,0.03417708742831057,0.9604236356772458,0.005701364322754247,0.027525763182518696,BBQ,KITTI,XGBoost,2,9090,1000,8000
6,0.954375,0.15198817600338224,0.02094713548998611,0.04332705590762795,0.3615112665112665,0.14885569321218367,0.7053509690598263,0.03129095243370855,0.956693335234434,0.0023183352344339977,0.029916061030484536,BBQ,KITTI,XGBoost,2,9090,1000,8000
7,0.964625,0.13528230940634403,0.020144091147776075,0.03706583167010587,0.14869075369075357,0.09982418057934898,0.7960862344197908,0.03377415094205545,0.9602071601901199,0.004417839809880104,0.028769802595133512,BBQ,KITTI,XGBoost,2,9090,1000,8000
8,0.965375,0.1670728356599422,0.01627618267045689,0.030417882066340267,0.11602055033089509,0.04251914745754247,0.8818531573563053,0.022088288167918923,0.9745856843833574,0.009210684383357357,0.029746333120443363,BBQ,KITTI,XGBoost,2,9090,1000,8000
9,0.962,0.14157631473301518,0.012390678261488099,0.028866306277269747,0.4018028107158541,0.1298819412674093,0.7619409595668621,0.02927016037954527,0.9627958621784183,0.0007958621784182364,0.029408267424675706,BBQ,KITTI,XGBoost,2,9090,1000,8000
0,0.940875,0.19126684967015312,0.020653401831373843,0.027026967071451323,0.35115384615384615,0.1769347260465806,0.7405614312656899,0.03868744639544716,0.9482606434962675,0.007385643496267552,0.042180388333952205,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
1,0.949375,0.16695709801916156,0.02225275252525252,0.02700178571428571,0.11287878787878791,0.13553891664730883,0.7991763854608923,0.050073008613267106,0.9422952419617372,0.0070797580382627595,0.042091571520840296,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
2,0.948,0.16045229811674494,0.023119027777777773,0.027016964285714287,0.18499351311277923,0.12401375546691841,0.8004236705977988,0.0450324080299409,0.9469313080587016,0.001068691941298397,0.04181023866574932,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
3,0.936875,0.3776350370951941,0.027851650050436428,0.02751746115690641,0.4094311034877073,0.18747416751794682,0.7425989612578552,0.035819177943690966,0.9501934670934067,0.013318467093406623,0.04482448040691773,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
4,0.94225,0.18126177569189006,0.019639284352221342,0.022395083875163074,0.223080808080808,0.2420618253513453,0.7172309359834232,0.04504581052249584,0.9412256715882211,0.0010243284117790324,0.04367156776278957,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
5,0.9395,0.22957187427888348,0.023001717171717145,0.01993035714285716,0.3964685314685314,0.13363954651349846,0.78997915959366,0.04049307434950836,0.9492504958040533,0.009750495804053329,0.046014418085103787,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
6,0.94425,0.3042802115809608,0.020737556309530787,0.033125508560318366,0.22479797979797983,0.20596665987966592,0.744519439946397,0.04073290221628883,0.9472949158592809,0.0030449158592808848,0.04291305057625236,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
7,0.946375,0.21279307940372233,0.022302626430417135,0.021340189550338142,0.3334145805884937,0.10181688992525359,0.82709470940603,0.03664842988118325,0.9560447959630936,0.009669795963093593,0.04337572772159861,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
8,0.948125,0.2786346433523274,0.014212457861750061,0.029332128551262087,0.04499511241446719,0.0867407026184594,0.8614668140001304,0.04146669922208154,0.9534979767763206,0.005372976776320697,0.045085236368323636,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
9,0.943,0.2562972140912184,0.023981854412648586,0.02437069533349351,0.1429747614650662,0.11639880080286605,0.7991572958668527,0.03002297319767926,0.9602403021389989,0.017240302138999106,0.04295878098736715,BBQ,KITTI,mondrian_forest,2,9031,1000,8000
0,0.8835,2.3972241553156097,0.10478748950699066,0.08077553989467144,0.20035353535353528,0.1849667657735576,0.8682074616573677,0.027317207227489225,0.9605114166975965,0.07701141669759666,0.09891066458538672,BBQ,KITTI,random_forest,2,9090,1000,8000
1,0.887125,2.2506371180326212,0.02412736108570617,0.027485018131552526,0.3645260295260295,0.23646895320424244,0.8661805600544837,0.03659991073139602,0.9524264349085602,0.06530143490856011,0.09970596768937745,BBQ,KITTI,random_forest,2,9090,1000,8000
2,0.89675,1.4644757532348647,0.022599021146838868,0.04581717997154244,0.31578942130666265,0.15775501315935347,0.9045156182716969,0.04033097422182393,0.9539744364531321,0.057224436453132056,0.09550928353433147,BBQ,KITTI,random_forest,2,9090,1000,8000
3,0.895125,1.7096008868141457,0.01953982003539231,0.043835508849557545,0.3486770583533173,0.09471613283471206,0.9227886886189133,0.039506098154796575,0.9565395676080961,0.0614145676080963,0.09648775495389009,BBQ,KITTI,random_forest,2,9090,1000,8000
4,0.892375,1.5997881401519936,0.029474090497278074,0.060642993325318,0.47947358197358203,0.11300389388953394,0.9014655108750249,0.03805818022420449,0.95543305703035,0.06305805703035006,0.09546352414668399,BBQ,KITTI,random_forest,2,9090,1000,8000
5,0.896,1.5272411327583422,0.010616948487336426,0.030033671299645032,0.1880556768273799,0.09950125152788876,0.9369293456749358,0.02914509715963704,0.9673266448951585,0.07132664489515851,0.0981669029011592,BBQ,KITTI,random_forest,2,9090,1000,8000
6,0.893625,0.6649269106285631,0.11387313694217717,0.08639231402132795,0.2024303405572755,0.1394540351477247,0.9054243650038096,0.04009989461550605,0.9541052485014986,0.06048024850149865,0.09707514958175291,BBQ,KITTI,random_forest,2,9090,1000,8000
7,0.895375,0.8072263980910653,0.11357608776737137,0.07821742812428241,0.2849145299145299,0.05056794610808719,0.9477411960143446,0.02603712724714045,0.9712194298240925,0.0758444298240924,0.09767826805532843,BBQ,KITTI,random_forest,2,9090,1000,8000
8,0.883625,1.1257883092316772,0.1165070794436868,0.08574109946674856,0.395,0.18987585347570787,0.8693344174584435,0.04142133026751467,0.9481928698740937,0.06456786987409373,0.10051232183246177,BBQ,KITTI,random_forest,2,9090,1000,8000
9,0.89825,1.2027842188529339,0.09718758276192582,0.07756472978379685,0.12517031630170317,0.0924975596079182,0.9329806155633104,0.03344046735738312,0.9631428778297975,0.06489287782979744,0.09525037756011336,BBQ,KITTI,random_forest,2,9090,1000,8000
0,0.957375,0.1279087128382104,0.02262238636363639,0.03960238095238095,0.28153241273494434,0.14848268481266,0.7115529924420252,0.03285878738867675,0.9562467647266069,0.00112823527339306,0.029228245982387685,BBQ,KITTI,1layer_NN,2,9090,1000,8000
1,0.968125,0.14033873468233843,0.01105041077048191,0.03207018874629627,0.31318181818181823,0.15776637414529954,0.7513706550995797,0.031621791261373544,0.9614610929663818,0.006663907033618171,0.02736929245222728,BBQ,KITTI,1layer_NN,2,9090,1000,8000
2,0.95125,0.11877502971596919,0.02451751262626262,0.035883333333333295,0.3945959595959596,0.18066787068560589,0.6813383360401001,0.033236567387777104,0.9528489591543319,0.0015989591543318846,0.031194038866850255,BBQ,KITTI,1layer_NN,2,9090,1000,8000
3,0.96925,0.1077598908224112,0.018538346204858266,0.031198510293513147,0.1888383838383838,0.14311027500146317,0.7626430128020866,0.03343070786188665,0.9602985590485305,0.008951440951469432,0.026672023839519336,BBQ,KITTI,1layer_NN,2,9090,1000,8000
4,0.965,0.12489072515642344,0.014403080808080818,0.022662797619047565,0.19081902676959717,0.07629500387490983,0.8221738184965325,0.025573964357543534,0.969097208042349,0.0040972080423491535,0.028274991532999217,BBQ,KITTI,1layer_NN,2,9090,1000,8000
5,0.966375,0.14642595986253543,0.009927398989898958,0.0199214285714286,0.02025768870816791,0.03369901696063308,0.9093851490897253,0.0218388361756761,0.9758485703288731,0.009473570328873037,0.030220368117912982,BBQ,KITTI,1layer_NN,2,9090,1000,8000
6,0.9675,0.16590120700059777,0.015624952724923638,0.028135165545462904,0.19752525252525255,0.10845761538747853,0.7949623636377541,0.025964863982016487,0.968215270915626,0.0007152709156260373,0.026960576276018243,BBQ,KITTI,1layer_NN,2,9090,1000,8000
7,0.967625,0.11704011413071513,0.024574886363636368,0.03239017857142852,0.2725581053250956,0.017562722212494542,0.9029909802337266,0.03233319549360291,0.9655729246955693,0.002052075304430582,0.028376422413664358,BBQ,KITTI,1layer_NN,2,9090,1000,8000
8,0.963875,0.12986243721909313,0.014054141414141451,0.02312619047619051,0.04713578182600453,0.02273040212566528,0.9160247001683293,0.03289308948933836,0.9652615656620449,0.0013865656620448419,0.03268501595900169,BBQ,KITTI,1layer_NN,2,9090,1000,8000
9,0.970375,0.10835045401022683,0.023330934343434372,0.03425446428571428,0.07275281775281783,0.08063697543469653,0.8110327209576125,0.04728682176940009,0.9485158946838876,0.02185910531611233,0.026118482805237025,BBQ,KITTI,1layer_NN,2,9090,1000,8000
