,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.948375,0.14226031272421583,0.01653795454545452,0.38194083694083697,0.14666321333006896,0.770268592982185,0.03622283813463312,0.9537872819967727,0.0054122819967726485,0.03920615255743158,Beta,KITTI,AdaBoost,2,9090,1000,8000
1,0.949125,0.14011335745489645,0.01763362373737373,0.33439393939393935,0.15704829974100196,0.7597375822705177,0.04083625709630606,0.9490179369814812,0.00010706301851889921,0.038841761539620295,Beta,KITTI,AdaBoost,2,9090,1000,8000
2,0.949375,0.14150291798701636,0.016761262626262614,0.3498484848484848,0.15127200920123626,0.768740350040997,0.039081122067683466,0.9511898399578185,0.0018148399578185037,0.039045710927499686,Beta,KITTI,AdaBoost,2,9090,1000,8000
3,0.95,0.13978092585782328,0.020919522403500354,0.32671717171717174,0.16946492755599105,0.7475153764673189,0.04863677086404263,0.9411708365025254,0.008829163497474521,0.03880264215204738,Beta,KITTI,AdaBoost,2,9090,1000,8000
4,0.94975,0.13823360059205883,0.019461079924976997,0.4641414141414142,0.16266317112791426,0.7499400973622052,0.04445429698496976,0.9452140213309757,0.004535978669024207,0.03828566063309462,Beta,KITTI,AdaBoost,2,9090,1000,8000
5,0.951375,0.13780609585382433,0.017599656109767076,0.32944444444444443,0.15920065817601517,0.7595615497597702,0.04310439194390597,0.9473002394714352,0.004074760528564696,0.037968422854764663,Beta,KITTI,AdaBoost,2,9090,1000,8000
6,0.94925,0.14138439153754986,0.018087016094571265,0.4455050505050505,0.15119560348424638,0.7677512727536627,0.03951798039560271,0.9507009342017225,0.00145093420172248,0.03905569607519284,Beta,KITTI,AdaBoost,2,9090,1000,8000
7,0.950625,0.13812198350107086,0.017696232452872166,0.4868181818181818,0.16114403357732404,0.7557735662792131,0.04362590254811309,0.9464694462252361,0.004155553774763905,0.03819340301832561,Beta,KITTI,AdaBoost,2,9090,1000,8000
8,0.95,0.13949779259227427,0.01970720567319994,0.3718686868686869,0.15653281926824994,0.760908726367107,0.042093915116026774,0.94805621695813,0.0019437830418700466,0.03857110752502666,Beta,KITTI,AdaBoost,2,9090,1000,8000
9,0.951,0.14025402567099343,0.015968055053413466,0.3581313131313132,0.14623521472745551,0.7758973406083579,0.038908331434446636,0.9520171464956508,0.0010171464956508225,0.03847885206788982,Beta,KITTI,AdaBoost,2,9090,1000,8000
0,0.966,0.1023349373108125,0.017718598484848472,0.5742929292929293,0.09045984974610735,0.8058282189518893,0.025689723584533565,0.968581886461705,0.002581886461704836,0.02743645063858925,Beta,KITTI,XGBoost,2,9090,1000,8000
1,0.9685,0.09791370585323439,0.019850202020202018,0.495,0.11234883932628975,0.7705528415948726,0.03462007297046511,0.9592428738383431,0.009257126161656994,0.02572689708602008,Beta,KITTI,XGBoost,2,9090,1000,8000
2,0.96725,0.09849710563873672,0.01587229797979799,0.599040404040404,0.09337662094697187,0.7944601060080051,0.02814813360036425,0.9660422862468099,0.0012077137531901969,0.02627557257120253,Beta,KITTI,XGBoost,2,9090,1000,8000
3,0.968,0.09695748782261396,0.019141363636363637,0.4138888888888889,0.10367244000071457,0.778272116077335,0.03239824367609345,0.9615432078360162,0.006456792163983715,0.025767057851600442,Beta,KITTI,XGBoost,2,9090,1000,8000
4,0.966125,0.10339690610242133,0.01693973484848487,0.6584343434343434,0.08720986027406898,0.8105720642467622,0.02255962904629331,0.971787707064009,0.0056627070640089365,0.02728712576552023,Beta,KITTI,XGBoost,2,9090,1000,8000
5,0.967,0.09961077844109602,0.020096136363636365,0.6138888888888889,0.09019812421605963,0.7925111927641528,0.030486669998033747,0.9636722594731184,0.0033277405268815653,0.026262121544880807,Beta,KITTI,XGBoost,2,9090,1000,8000
6,0.967625,0.0993688224798324,0.01778414141414139,0.5396464646464647,0.09949941988100942,0.7928099667505736,0.027951697198468455,0.9662454616718816,0.0013795383281181815,0.0263167506081893,Beta,KITTI,XGBoost,2,9090,1000,8000
7,0.96725,0.09979718923214781,0.01613190656565657,0.5495454545454546,0.10226079274755794,0.7865918951183624,0.030866307574322495,0.9631554485638628,0.004094551436137111,0.026519790735061912,Beta,KITTI,XGBoost,2,9090,1000,8000
8,0.965125,0.10163493412337715,0.017302424242424248,0.6584343434343434,0.08222421753077638,0.8067634797096418,0.023254696804238136,0.9708171871016834,0.0056921871016834165,0.02738676049737974,Beta,KITTI,XGBoost,2,9090,1000,8000
9,0.968,0.10000194440651872,0.01718194444444442,0.4801515151515151,0.10205293221682607,0.7929857737854189,0.028941206599189234,0.9653604567731182,0.0026395432268817506,0.026328498452252505,Beta,KITTI,XGBoost,2,9090,1000,8000
0,0.954625,0.1551952528789497,0.022514415078784825,0.34257575757575753,0.14829789060926135,0.7557483661281644,0.04437103770458216,0.9465593802443287,0.008065619755671237,0.03533252365180961,Beta,KITTI,mondrian_forest,2,9031,1000,8000
1,0.95225,0.147643256780669,0.024497766733466955,0.4207575757575758,0.12607832539321093,0.7706260959666463,0.04728642520194175,0.9440188976838583,0.0082311023161417,0.036857586331503586,Beta,KITTI,mondrian_forest,2,9031,1000,8000
2,0.9535,0.1697109555007542,0.05140114136840045,0.41580808080808085,0.22158737311667404,0.6955349720771694,0.08004610305631295,0.909518416937394,0.04398158306260603,0.04021914894513168,Beta,KITTI,mondrian_forest,2,9031,1000,8000
3,0.952125,0.1513314944593883,0.018506382252279862,0.4831818181818181,0.11660838077127242,0.786694627152606,0.0373800309022957,0.9541975433520826,0.0020725433520827133,0.03683598838007611,Beta,KITTI,mondrian_forest,2,9031,1000,8000
4,0.9525,0.17054536886096655,0.028302062571681268,0.2712626262626263,0.16680486581979254,0.7443125749360773,0.05287142684817692,0.9374948132365751,0.015005186763424855,0.037540593941980775,Beta,KITTI,mondrian_forest,2,9031,1000,8000
5,0.953125,0.14503387926452516,0.02570967562420436,0.5841919191919192,0.0892468515476742,0.8040455220172441,0.03616709481076671,0.9563428716030463,0.0032178716030463045,0.03598744352968666,Beta,KITTI,mondrian_forest,2,9031,1000,8000
6,0.9525,0.14840826811814722,0.024603681924538517,0.707929292929293,0.08162611729552206,0.822986255078842,0.031237966159866768,0.9618376843489719,0.009337684348971888,0.03724105119526745,Beta,KITTI,mondrian_forest,2,9031,1000,8000
7,0.954125,0.160260496837417,0.017140010117151844,0.39601010101010103,0.15444997748828157,0.7554334733303546,0.04131748763166203,0.9493584627024705,0.004766537297529516,0.03565250343048557,Beta,KITTI,mondrian_forest,2,9031,1000,8000
8,0.953375,0.16186335120670706,0.021314626576010867,0.3581313131313132,0.16172086072154673,0.7441981543430758,0.045408848256962835,0.944781578239264,0.008593421760736013,0.03592684234511063,Beta,KITTI,mondrian_forest,2,9031,1000,8000
9,0.953875,0.16608797298898598,0.01812601558776241,0.45540404040404037,0.14921759647221758,0.7671605454601932,0.038865317508057835,0.9521876254213528,0.0016873745786472744,0.03625651749859285,Beta,KITTI,mondrian_forest,2,9031,1000,8000
