,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.948375,0.14226031272421572,0.01653795454545452,0.024721130952380918,0.38194083694083697,0.14666321333006935,0.7702685929821843,0.03622283813463333,0.9537872819967724,0.005412281996772406,0.03920615255743156,0.0007615089416503906,0.0017631053924560547,Beta,KITTI,AdaBoost,2,9090,1000,8000
1,0.949125,0.1401133574548964,0.01763362373737373,0.025512797619047643,0.33439393939393935,0.1570482997410026,0.7597375822705169,0.04083625709630646,0.9490179369814807,0.00010706301851931554,0.038841761539620295,0.0010433197021484375,0.0033445358276367188,Beta,KITTI,AdaBoost,2,9090,1000,8000
2,0.949375,0.14150291798701642,0.016761262626262614,0.023616964285714293,0.3498484848484848,0.1512720092012364,0.7687403500409972,0.03908112206768345,0.9511898399578186,0.0018148399578185315,0.03904571092749972,0.0010306835174560547,0.003283977508544922,Beta,KITTI,AdaBoost,2,9090,1000,8000
3,0.95,0.13978092585815194,0.020919522403500354,0.029585242618202962,0.32671717171717174,0.16946492754978193,0.7475153764745057,0.04863677086129202,0.9411708365054978,0.008829163494502093,0.038802642152028326,0.0010383129119873047,0.0033571720123291016,Beta,KITTI,AdaBoost,2,9090,1000,8000
4,0.94975,0.13823360059205875,0.019461079924976997,0.027956003693313667,0.4641414141414142,0.16266317112791348,0.7499400973622061,0.04445429698496927,0.9452140213309763,0.004535978669023694,0.0382856606330946,0.0010323524475097656,0.0031158924102783203,Beta,KITTI,AdaBoost,2,9090,1000,8000
5,0.951375,0.13780609585382428,0.017599656109767076,0.02575508253841485,0.32944444444444443,0.15920065817601195,0.759561549759774,0.04310439194390409,0.9473002394714372,0.004074760528562725,0.03796842285476463,0.0010309219360351562,0.003133535385131836,Beta,KITTI,AdaBoost,2,9090,1000,8000
6,0.94925,0.14138439153754986,0.018087016094571265,0.024589278565211953,0.4455050505050505,0.15119560348424751,0.7677512727536615,0.039517980395603336,0.9507009342017219,0.0014509342017218277,0.03905569607519285,0.0010364055633544922,0.0031108856201171875,Beta,KITTI,AdaBoost,2,9090,1000,8000
7,0.950625,0.1381219835010709,0.017696232452872166,0.027451274296002588,0.4868181818181818,0.1611440335773265,0.7557735662792098,0.04362590254811465,0.9464694462252345,0.00415555377476555,0.03819340301832561,0.0010380744934082031,0.003217458724975586,Beta,KITTI,AdaBoost,2,9090,1000,8000
8,0.95,0.13949779259227418,0.01970720567319994,0.0262017232603026,0.3718686868686869,0.15653281926824783,0.7609087263671093,0.04209391511602548,0.9480562169581312,0.0019437830418687074,0.03857110752502662,0.0010328292846679688,0.003129243850708008,Beta,KITTI,AdaBoost,2,9090,1000,8000
9,0.951,0.14025402567427964,0.015968055053413466,0.023462327674751725,0.3581313131313132,0.14623521471337741,0.7758973406254545,0.03890833142904153,0.9520171465016287,0.0010171465016288114,0.03847885206811183,0.0010335445404052734,0.0034456253051757812,Beta,KITTI,AdaBoost,2,9090,1000,8000
0,0.966,0.10233493680337491,0.017718598484848472,0.025771428571428535,0.5742929292929293,0.0904598493069695,0.8058282176102771,0.025689723613332927,0.9685818863882698,0.0025818863882698384,0.027436450524531305,0.0007679462432861328,0.0015559196472167969,Beta,KITTI,XGBoost,2,9090,1000,8000
1,0.9685,0.09791370565956951,0.019850202020202018,0.031548809523809514,0.495,0.11234883785130326,0.770552842336362,0.034620072824031005,0.9592428740035214,0.009257125996478648,0.02572689702709438,0.0010495185852050781,0.0028831958770751953,Beta,KITTI,XGBoost,2,9090,1000,8000
2,0.96725,0.09849710531389429,0.01587229797979799,0.02744821428571428,0.599040404040404,0.09337661994914345,0.7944601061411084,0.028148133449979778,0.9660422863966284,0.001207713603371685,0.02627557250738933,0.0010528564453125,0.0029828548431396484,Beta,KITTI,XGBoost,2,9090,1000,8000
3,0.968,0.0969574875133817,0.019141363636363637,0.029206547619047576,0.4138888888888889,0.10367243967247079,0.7782721153787611,0.032398243359164546,0.961543208120449,0.006456791879550904,0.02576705776450229,0.0010607242584228516,0.0029401779174804688,Beta,KITTI,XGBoost,2,9090,1000,8000
4,0.966125,0.10339690544471088,0.01693973484848487,0.02448898809523809,0.6584343434343434,0.08720985887807241,0.8105720644129474,0.022559629111518945,0.9717877070066224,0.005662707006622341,0.02728712569277841,0.0010497570037841797,0.0028023719787597656,Beta,KITTI,XGBoost,2,9090,1000,8000
5,0.967,0.0996107781091834,0.020096136363636365,0.02886279761904764,0.6138888888888889,0.09019812375699947,0.7925111919410799,0.03048666986183474,0.9636722595776614,0.0033277404223385314,0.0262621214542747,0.0010521411895751953,0.0030829906463623047,Beta,KITTI,XGBoost,2,9090,1000,8000
6,0.967625,0.09936882206654243,0.01778414141414139,0.026861904761904747,0.5396464646464647,0.09949941949354679,0.7928099653633192,0.027951697212344875,0.9662454616135423,0.0013795383864577161,0.026316750498089646,0.0010457038879394531,0.0028448104858398438,Beta,KITTI,XGBoost,2,9090,1000,8000
7,0.96725,0.09979718879301208,0.01613190656565657,0.028131845238095234,0.5495454545454546,0.10226079268557718,0.7865918935923409,0.030866307462658123,0.9631554486218932,0.004094551378106947,0.026519790626958004,0.0010585784912109375,0.0028820037841796875,Beta,KITTI,XGBoost,2,9090,1000,8000
8,0.965125,0.10163493401227187,0.017302424242424248,0.026013988095238055,0.6584343434343434,0.08222421669968571,0.8067634805404884,0.02325469645300892,0.9708171874696393,0.005692187469639291,0.027386760481918637,0.0010457038879394531,0.002895355224609375,Beta,KITTI,XGBoost,2,9090,1000,8000
9,0.968,0.10000194403581449,0.01718194444444442,0.028238095238095264,0.4801515151515151,0.1020529317030861,0.7929857730429615,0.028941206560062688,0.965360456787234,0.002639543212765893,0.02632849837165257,0.001051187515258789,0.002882242202758789,Beta,KITTI,XGBoost,2,9090,1000,8000
0,0.954625,0.15519525287894967,0.022514415078784825,0.03337205428925286,0.34257575757575753,0.1482978906092613,0.7557483661281644,0.04437103770458214,0.9465593802443287,0.008065619755671216,0.03533252365180961,0.0011487007141113281,0.0016739368438720703,Beta,KITTI,mondrian_forest,2,9031,1000,8000
1,0.95225,0.147643256780669,0.024497766733466955,0.03324374082719704,0.4207575757575758,0.12607832539321093,0.7706260959666463,0.04728642520194175,0.9440188976838583,0.0082311023161417,0.036857586331503586,0.0018894672393798828,0.0033855438232421875,Beta,KITTI,mondrian_forest,2,9031,1000,8000
2,0.9535,0.1697109555007542,0.05140114136840045,0.0616689769884571,0.41580808080808085,0.22158737311667404,0.6955349720771694,0.08004610305631295,0.909518416937394,0.04398158306260603,0.04021914894513168,0.0018765926361083984,0.0028793811798095703,Beta,KITTI,mondrian_forest,2,9031,1000,8000
3,0.952125,0.1513314944593883,0.018506382252279862,0.02742267816982526,0.4831818181818181,0.11660838077127242,0.786694627152606,0.0373800309022957,0.9541975433520826,0.0020725433520827133,0.03683598838007611,0.001890420913696289,0.003335237503051758,Beta,KITTI,mondrian_forest,2,9031,1000,8000
4,0.9525,0.17054536886096655,0.028302062571681268,0.03689709657795831,0.2712626262626263,0.16680486581979254,0.7443125749360773,0.05287142684817692,0.9374948132365751,0.015005186763424855,0.037540593941980775,0.0018508434295654297,0.003235340118408203,Beta,KITTI,mondrian_forest,2,9031,1000,8000
5,0.953125,0.14503387926452516,0.02570967562420436,0.02925279514659631,0.5841919191919192,0.0892468515476742,0.8040455220172441,0.03616709481076671,0.9563428716030463,0.0032178716030463045,0.03598744352968666,0.0018715858459472656,0.0055463314056396484,Beta,KITTI,mondrian_forest,2,9031,1000,8000
6,0.9525,0.14840826811814722,0.024603681924538517,0.028695402191613224,0.707929292929293,0.08162611729552206,0.822986255078842,0.031237966159866768,0.9618376843489719,0.009337684348971888,0.03724105119526745,0.0018301010131835938,0.005370140075683594,Beta,KITTI,mondrian_forest,2,9031,1000,8000
7,0.954125,0.160260496837417,0.017140010117151844,0.028982795769087806,0.39601010101010103,0.15444997748828157,0.7554334733303546,0.04131748763166203,0.9493584627024705,0.004766537297529516,0.03565250343048557,0.0018858909606933594,0.003010272979736328,Beta,KITTI,mondrian_forest,2,9031,1000,8000
8,0.953375,0.16186335120670706,0.021314626576010867,0.032790588013972256,0.3581313131313132,0.16172086072154673,0.7441981543430758,0.045408848256962835,0.944781578239264,0.008593421760736013,0.03592684234511063,0.0019905567169189453,0.0031342506408691406,Beta,KITTI,mondrian_forest,2,9031,1000,8000
9,0.953875,0.16608797298898598,0.01812601558776241,0.026959094361505218,0.45540404040404037,0.14921759647221758,0.7671605454601932,0.038865317508057835,0.9521876254213528,0.0016873745786472744,0.03625651749859285,0.0018732547760009766,0.003573179244995117,Beta,KITTI,mondrian_forest,2,9031,1000,8000
0,0.963,0.11447278007032757,0.01304813131313131,0.02315178571428572,0.8712626262626262,0.10246187881698378,0.7969425972948412,0.02712513535993126,0.9663653707482954,0.0033653707482953453,0.029508107427351108,0.002910614013671875,0.001964569091796875,Beta,KITTI,random_forest,2,9090,1000,8000
1,0.95975,0.114816912489524,0.013975444835562753,0.026475767690465144,0.8960101010101009,0.10956926997003626,0.7714033563989451,0.030203370183782805,0.9618113005611719,0.0020613005611719998,0.030153570318149837,0.006283998489379883,0.003983020782470703,Beta,KITTI,random_forest,2,9090,1000,8000
2,0.962875,0.1130918385885111,0.0165344952013917,0.027867799702848053,0.8217676767676767,0.11012347828508409,0.7815587658477432,0.0329112780697708,0.960200922310667,0.0026740776893331257,0.029371562002260154,0.006276845932006836,0.004080057144165039,Beta,KITTI,random_forest,2,9090,1000,8000
3,0.965,0.10979292455941014,0.017283269495797227,0.031619947960561806,0.8217676767676767,0.11833211454012997,0.770447154859489,0.03735155107264296,0.9559214036349817,0.009078596365018312,0.02826905618678772,0.00626826286315918,0.003893613815307617,Beta,KITTI,random_forest,2,9090,1000,8000
4,0.960125,0.1147359480325488,0.017670752844137567,0.031867562687927065,0.8663131313131314,0.11722476485166985,0.7641680498392033,0.03442577684085748,0.95754315199801,0.002581848001990062,0.030195617901694505,0.006151914596557617,0.004093170166015625,Beta,KITTI,random_forest,2,9090,1000,8000
5,0.963125,0.11420072352963334,0.013119646464646485,0.024610586119795236,0.8366161616161616,0.10698948262600617,0.7932413348048747,0.027780824161839437,0.9656193679500582,0.0024943679500581406,0.029494583110805373,0.0067179203033447266,0.0040090084075927734,Beta,KITTI,random_forest,2,9090,1000,8000
6,0.96425,0.11369767123970856,0.021129444444444465,0.03487857142857146,0.7425757575757576,0.14582240738600782,0.7466279935685821,0.04175812928734283,0.9506766746047566,0.01357332539524355,0.02917945319226648,0.006291627883911133,0.0037720203399658203,Beta,KITTI,random_forest,2,9090,1000,8000
7,0.960625,0.11720338085837181,0.013483333333333307,0.023811904761904763,0.8861111111111111,0.10193349133524253,0.7897062941037694,0.024128569239838776,0.9685411785043158,0.007916178504315835,0.030174074963620765,0.006268024444580078,0.0038089752197265625,Beta,KITTI,random_forest,2,9090,1000,8000
8,0.96275,0.11205669994325484,0.018668964646464652,0.03248333333333333,0.8613636363636363,0.12801874567903374,0.7551707079114457,0.03672416157712442,0.9555239223113249,0.00722607768867518,0.028988510684460775,0.006315946578979492,0.003849029541015625,Beta,KITTI,random_forest,2,9090,1000,8000
9,0.963125,0.11459640139398612,0.014418611111111146,0.025910119047619064,0.8316666666666667,0.119147714541712,0.7802316890018035,0.030500332295932284,0.9625204109894218,0.0006045890105782839,0.029517607973622014,0.006318807601928711,0.0039048194885253906,Beta,KITTI,random_forest,2,9090,1000,8000
0,0.968625,0.10035184160890225,0.01622553339048397,0.027636282170835812,0.7326767676767677,0.07135226862025223,0.8148132034640403,0.029259010194839175,0.9658487555087082,0.002776244491291796,0.025379795366839687,0.0007581710815429688,0.0017266273498535156,Beta,KITTI,1layer_NN,2,9090,1000,8000
