,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.94575,0.14805824797193223,0.01905223484848483,0.5792424242424242,0.1427135360708988,0.7732718703616382,0.03977450987486445,0.9500832562529659,0.004333256252965843,0.04106016029547544,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
1,0.946,0.14576522989307236,0.01824781565656565,0.4306565656565656,0.15675342156567884,0.7575798894595517,0.04432409933895335,0.9449787160561659,0.0010212839438340435,0.04064183396020855,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
2,0.9465,0.1458285407538588,0.016770732323232333,0.3787373737373737,0.1491199118919662,0.76687751407393,0.04153097472454099,0.9482188794261772,0.0017188794261772042,0.04055600794772752,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
3,0.946375,0.1450300984324097,0.021141502525252535,0.4108585858585858,0.16550320566814358,0.7467096836492613,0.0505675192521489,0.9385614707534393,0.00781352924656075,0.04057696380782849,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
4,0.9475,0.14383251253445622,0.021225669191919212,0.6138888888888889,0.15826624647422136,0.7518090901798237,0.04770609179789633,0.941768455255934,0.005731544744066043,0.0397212712217499,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
5,0.9465,0.1427778326408991,0.020764848484848497,0.3082323232323233,0.16062342153549722,0.7479650479581106,0.045918861474728796,0.9430539276799281,0.003446072320071894,0.039812824259688524,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
6,0.946125,0.14571323990305945,0.019284116161616176,0.4089393939393939,0.14616539375297158,0.768216487418345,0.04156460609065708,0.9481873503221404,0.002062350322140409,0.040719072378389315,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
7,0.946875,0.14425719502362572,0.01922113636363636,0.4323737373737374,0.1582404780391642,0.7536123173459973,0.04626938817887085,0.9430993274271378,0.0037756725728622445,0.040072788880969386,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
8,0.946625,0.14380883003425532,0.020447045454545447,0.27042929292929296,0.15551019807333402,0.754794191928042,0.04568144545622385,0.9436689416891614,0.0029560583108386995,0.040090640574898515,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
9,0.9465,0.14513530305858155,0.016138813131313136,0.5396464646464647,0.15063719555365332,0.761499367394457,0.04348819777581409,0.9460786369607954,0.0004213630392045989,0.04030159357222568,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
0,0.96725,0.10065079374246394,0.016879229797979785,0.6435858585858586,0.083439297811212,0.8084753566970901,0.028268413852998234,0.9663849446325171,0.0008650553674828844,0.02654941205470494,GPcalib,KITTI,XGBoost,2,9090,1000,8000
1,0.96825,0.09861405887977147,0.021341325757575774,0.603989898989899,0.09542770589017079,0.7798165091496125,0.03667024410365163,0.9575032103121395,0.010746789687860536,0.02553781155395805,GPcalib,KITTI,XGBoost,2,9090,1000,8000
2,0.967625,0.09936733390118427,0.017842941919191915,0.4603535353535353,0.08179544339274522,0.8071833105290177,0.02968040426353139,0.9650380585028775,0.002586941497122578,0.026224032895147204,GPcalib,KITTI,XGBoost,2,9090,1000,8000
3,0.968,0.0980091965471846,0.020303674242424248,0.6188383838383839,0.08616719333437155,0.7922245351242168,0.03341625385229764,0.9610042513949508,0.006995748605049156,0.02560781505941836,GPcalib,KITTI,XGBoost,2,9090,1000,8000
4,0.966125,0.10303859735944457,0.016401540404040408,0.5594444444444444,0.07409818757231111,0.8219276536808136,0.022899574432747868,0.971843947919599,0.0057189479195990135,0.027233919636808403,GPcalib,KITTI,XGBoost,2,9090,1000,8000
5,0.967125,0.09934984543315116,0.02070473484848486,0.6732828282828283,0.08423981083687435,0.7964365362170615,0.031977324186625355,0.9623817814741458,0.004743218525854163,0.026170162675113195,GPcalib,KITTI,XGBoost,2,9090,1000,8000
