,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.945875,0.14971122396184597,0.020048522727272738,0.33469696969696966,0.15416193804156622,0.768290365913583,0.04157918134154309,0.9481300079036405,0.0022550079036405893,0.041366844927678684,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
1,0.946,0.14767350859188458,0.018252916666666657,0.38419191919191914,0.1617553271369377,0.7568839561321823,0.044882775497668156,0.9444126280103438,0.0015873719896561944,0.040941867419557444,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
2,0.946625,0.14504224091541593,0.016751414141414133,0.4987878787878788,0.15834689287356232,0.7627104117924205,0.03990493499778769,0.9495596591371397,0.002934659137139632,0.04048400816469949,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
3,0.94575,0.1454585018779628,0.021817159090909102,0.36883838383838385,0.16898234607255716,0.74185480466818,0.050885707652579805,0.9378704651408215,0.007879534859178569,0.04066140186327155,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
4,0.94725,0.14472971015683994,0.021182992424242444,0.599040404040404,0.16619542603563614,0.7474192412070972,0.04823682915016585,0.9409840285611798,0.006265971438820246,0.03997153055767776,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
5,0.94625,0.1448893036272978,0.02116713383838385,0.42217171717171714,0.16786238263164313,0.7437824843528688,0.04752631194050547,0.9412565358602635,0.004993464139736635,0.04014749913668331,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
6,0.9455,0.14813103549468787,0.020386969696969702,0.3510606060606061,0.15918673754167162,0.7583112094058998,0.0444817331016923,0.9447704822649714,0.0007295177350285439,0.041154148904454346,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
7,0.94675,0.14473660720372844,0.019963926767676787,0.38176767676767676,0.16667102301434303,0.7478118555774127,0.047294679195534636,0.9417947437811248,0.00495525621887518,0.0401954512915285,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
8,0.946625,0.14371144023771826,0.021936161616161628,0.33126262626262626,0.1512264649265476,0.7568302632823005,0.045982882808059865,0.9434922688645131,0.00313273113548692,0.040060226884618036,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
9,0.946625,0.14615527812835571,0.01780238636363635,0.5346969696969697,0.16025877664622518,0.7565306543111917,0.04496503166312849,0.9444398005757509,0.002185199424249197,0.04048650462647858,GPcalib_lin,KITTI,AdaBoost,2,9090,1000,8000
0,0.967375,0.10354430329900552,0.01881241161616157,0.6386363636363637,0.08506091035359208,0.8122618068921336,0.025920338161085583,0.9688003543212758,0.0014253543212757042,0.026664143148927014,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
1,0.968375,0.09879422681623785,0.018816262626262636,0.5841919191919192,0.076478405830961,0.8044678475309384,0.032623588607265226,0.9622244280606054,0.006150571939394528,0.025463888068569737,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
2,0.967625,0.10338476035863746,0.01992968434343435,0.6831818181818181,0.06097106876674929,0.8356366269529204,0.02578455228159936,0.9697289583961183,0.0021039583961182558,0.026459023016432624,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
3,0.968,0.09928946387739358,0.017926249999999998,0.7227777777777777,0.06362410509662776,0.8219745454791485,0.0286978919399457,0.9665236260574653,0.0014763739425346645,0.025703048028224082,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
4,0.966,0.1068463903668297,0.017351641414141406,0.6683333333333333,0.05236121146701819,0.8500292968924489,0.01957119183656237,0.975995224780224,0.009995224780224039,0.027650388066762552,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
5,0.967125,0.10290838597096726,0.021441439393939436,0.6782323232323233,0.06422749352675423,0.8237810032775484,0.027520026584200476,0.9675914947725046,0.0004664947725045096,0.026352628744708374,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
6,0.96775,0.1012493987134855,0.020228333333333296,0.5495454545454546,0.07930205984915055,0.8148417495975867,0.02679678334669314,0.9680960593407599,0.0003460593407598883,0.026280913471861986,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
7,0.967375,0.10097836694745552,0.01853906565656564,0.6782323232323233,0.09214388850373763,0.7978588688619593,0.02998594346096106,0.9643974935410743,0.00297750645892577,0.02646110281675536,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
8,0.967125,0.1027740975705039,0.02009156565656562,0.698030303030303,0.056464628458212186,0.8423045184725578,0.022582680122798956,0.9729754865310233,0.00585048653102339,0.026765444566534013,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
9,0.967875,0.10229113091120234,0.019688838383838395,0.3927777777777778,0.11212291544337018,0.7837756771910471,0.030091077261543725,0.9639293922252457,0.003945607774754275,0.02654048225969867,GPcalib_lin,KITTI,XGBoost,2,9090,1000,8000
0,0.953875,0.13086230986481331,0.020146022727272738,0.5792424242424242,0.11691859615882895,0.77890005570516,0.03730353265713799,0.954218857856073,0.0003438578560729863,0.035130941948197776,GPcalib_lin,KITTI,mondrian_forest,2,9031,1000,8000
1,0.95375,0.130889136007037,0.021584583333333348,0.5841919191919192,0.10846615876748841,0.783585084973027,0.03817044934579316,0.9535857441164524,0.0001642558835477162,0.035164191040331104,GPcalib_lin,KITTI,mondrian_forest,2,9031,1000,8000
2,0.95375,0.13186947099834498,0.019665593434343404,0.46530303030303033,0.10650563429597748,0.7895549498171075,0.03661752305152293,0.9553429538186513,0.0015929538186512382,0.03543385469995622,GPcalib_lin,KITTI,mondrian_forest,2,9031,1000,8000
3,0.954125,0.1324428883020011,0.019847083333333317,0.41419191919191917,0.15583857477936197,0.7581083325856267,0.03873285969731434,0.9519472299986655,0.0021777700013344142,0.035729201654377055,GPcalib_lin,KITTI,mondrian_forest,2,9031,1000,8000
4,0.953,0.13262601115803016,0.01939464646464645,0.6089393939393939,0.10560697917007027,0.7922851322501284,0.034869708044806685,0.9570065694490553,0.004006569449055301,0.035922848645655606,GPcalib_lin,KITTI,mondrian_forest,2,9031,1000,8000
5,0.9535,0.13062591100422166,0.02011458333333334,0.5198484848484849,0.10705576670337306,0.7870858450802488,0.036075145570622434,0.9557018404946431,0.002201840494643066,0.03535145957380863,GPcalib_lin,KITTI,mondrian_forest,2,9031,1000,8000
