,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.94825,0.14228074231284085,0.016208648989898992,0.38194083694083697,0.14654713105041114,0.7697590711069701,0.036107347252807453,0.9538462398973111,0.005596239897311006,0.03920828422237734,Platt,KITTI,AdaBoost,2,9090,1000,8000
1,0.949125,0.14011433809876855,0.01704366876746467,0.33439393939393935,0.15701610839690835,0.7597739356265083,0.04082409905031002,0.9490313259638731,9.367403612688813e-05,0.0388420837694581,Platt,KITTI,AdaBoost,2,9090,1000,8000
2,0.949375,0.14151601494293295,0.017467159090909085,0.4831818181818181,0.15116348566575574,0.768878620257652,0.03902753141096865,0.9512477175172553,0.0018727175172552901,0.03904728223774257,Platt,KITTI,AdaBoost,2,9090,1000,8000
3,0.949875,0.13981375101875237,0.022178067521448516,0.32944444444444443,0.16966349470602687,0.74677331989903,0.04860018490509857,0.9411429120232084,0.008732087976791647,0.038805825048059836,Platt,KITTI,AdaBoost,2,9090,1000,8000
4,0.94975,0.13823277372736753,0.01956588925243506,0.4641414141414142,0.1626380018950869,0.7499654574703789,0.044446265489776475,0.9452229235889713,0.0045270764110286535,0.038285661084965866,Platt,KITTI,AdaBoost,2,9090,1000,8000
5,0.951375,0.13780514948146122,0.017299294613028957,0.3155555555555556,0.15916968059817863,0.7595931121023561,0.04309275070196064,0.9473128493768993,0.004062150623100717,0.037968227516991936,Platt,KITTI,AdaBoost,2,9090,1000,8000
6,0.94925,0.14138605171934734,0.017821342973179746,0.4455050505050505,0.15113561175240922,0.7678123432778846,0.039490909942966106,0.9507297301579921,0.0014797301579920347,0.03905530732056835,Platt,KITTI,AdaBoost,2,9090,1000,8000
7,0.950625,0.13812112855548664,0.01748384942764163,0.4868181818181818,0.16111289196189083,0.755807089412946,0.04361318096781342,0.9464831948822366,0.004141805117763464,0.03819329556269083,Platt,KITTI,AdaBoost,2,9090,1000,8000
8,0.95,0.13949825992047102,0.019711206687822842,0.3718686868686869,0.1565147920902482,0.760924120794542,0.042089490557719836,0.9480611900098933,0.0019388099901067116,0.0385710037964699,Platt,KITTI,AdaBoost,2,9090,1000,8000
9,0.950875,0.14028957700689154,0.017029046205136976,0.38194083694083697,0.14643824692716204,0.7750263377596674,0.03889746879560076,0.9519615382014267,0.0010865382014267622,0.03848027788100382,Platt,KITTI,AdaBoost,2,9090,1000,8000
0,0.96675,0.10714307496386724,0.016509494949494982,0.6881313131313131,0.05960948772705005,0.841359679943603,0.023273419767492705,0.9722256307979013,0.005475630797901226,0.027196961584641844,Platt,KITTI,XGBoost,2,9090,1000,8000
1,0.968125,0.10200373306328328,0.021446603535353576,0.698030303030303,0.06538925929922318,0.8154280073758685,0.031618249623902486,0.9635063498179652,0.004618650182034795,0.025526639826433523,Platt,KITTI,XGBoost,2,9090,1000,8000
2,0.967625,0.10337990668882455,0.01986835858585861,0.6435858585858586,0.060824968438346026,0.8357906457537864,0.02574819191713225,0.9697691279524638,0.002144127952463777,0.026457435269642882,Platt,KITTI,XGBoost,2,9090,1000,8000
3,0.967625,0.10187559236721612,0.021290555555555587,0.702979797979798,0.06441375617589487,0.821450444801295,0.02824392096088556,0.9668899341306649,0.000735065869334927,0.025935549291278854,Platt,KITTI,XGBoost,2,9090,1000,8000
4,0.96625,0.1083160867859865,0.018505707070707055,0.6138888888888889,0.05671711464159523,0.8487507793620009,0.019418493090274856,0.9761322198549894,0.009882219854989407,0.027654725098627184,Platt,KITTI,XGBoost,2,9090,1000,8000
5,0.967,0.10362316152871491,0.021055732323232348,0.6336868686868686,0.06553947109079708,0.8235571215846057,0.027696291752270254,0.9673950708878467,0.00039507088784667896,0.026513556343049447,Platt,KITTI,XGBoost,2,9090,1000,8000
6,0.967625,0.10377337559754571,0.02013054292929296,0.6831818181818181,0.06186095876397962,0.8349672531880048,0.02543294964848181,0.9700475069183494,0.002422506918349481,0.026452108119738013,Platt,KITTI,XGBoost,2,9090,1000,8000
7,0.96775,0.10418875714145605,0.019722108585858603,0.6386363636363637,0.06460677759173536,0.8336566169717226,0.02750305711495449,0.9680193423743408,0.00026934237434084185,0.026581033115879258,Platt,KITTI,XGBoost,2,9090,1000,8000
8,0.966375,0.10638180871945317,0.01720895202020202,0.6930808080808081,0.05750876961710911,0.8405452653810704,0.021704763895146577,0.9736633933392662,0.007288393339266234,0.02718913476108587,Platt,KITTI,XGBoost,2,9090,1000,8000
9,0.968125,0.10396850297186977,0.022116868686868702,0.702979797979798,0.06173623716810562,0.8381267966625686,0.02653359130646367,0.9691524585600493,0.0010274585600492242,0.026365186608781954,Platt,KITTI,XGBoost,2,9090,1000,8000
0,0.954625,0.13118614283771105,0.01953886363636365,0.6683333333333333,0.10589627782734216,0.7946793105995805,0.037193031498293394,0.9551781760243977,0.0005531760243976738,0.03536883339095018,Platt,KITTI,mondrian_forest,2,9031,1000,8000
1,0.95375,0.13086922827965145,0.0219265909090909,0.6782323232323233,0.10847196198981242,0.7835360458345119,0.03817376128289051,0.9535803172962894,0.00016968270371063576,0.03516052136916575,Platt,KITTI,mondrian_forest,2,9031,1000,8000
2,0.95425,0.1320462568898622,0.020181249999999984,0.4801515151515151,0.10538673049745295,0.7965909699807185,0.036569514277659136,0.9557975778771617,0.0015475778771616086,0.035677775197020124,Platt,KITTI,mondrian_forest,2,9031,1000,8000
3,0.95325,0.1332633352848665,0.01990662878787878,0.702979797979798,0.10695825805077962,0.7917816829217297,0.03534475714944448,0.9565734039238829,0.0033234039238828755,0.03585151211672266,Platt,KITTI,mondrian_forest,2,9031,1000,8000
