,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.945625,0.1463759341799405,0.017286578282828313,0.33469696969696966,0.1538054285667006,0.7664212612213458,0.037106271730345676,0.9522105378739024,0.006585537873902508,0.04086878252863118,Temp,KITTI,AdaBoost,2,9090,1000,8000
1,0.946,0.14421897807153225,0.016847967171717184,0.41580808080808085,0.1625866807418682,0.7559431222091416,0.04097848078869755,0.9480552857731858,0.002055285773185804,0.04050050787261615,Temp,KITTI,AdaBoost,2,9090,1000,8000
2,0.946625,0.14504235524330952,0.01693330808080808,0.4987878787878788,0.15834695574580918,0.7627114376426081,0.03990501911778377,0.9495596342618021,0.0029346342618021062,0.04048412411267289,Temp,KITTI,AdaBoost,2,9090,1000,8000
3,0.945625,0.14346276708659125,0.02172710370664598,0.3868903318903319,0.18092425360565928,0.73461166773461,0.049875148811034456,0.9384063218386349,0.00721867816136508,0.04061415243520706,Temp,KITTI,AdaBoost,2,9090,1000,8000
4,0.94725,0.14151673490202565,0.019558358962471586,0.36388888888888893,0.16786861945323753,0.7464669053280287,0.044601993842998115,0.9443768905882736,0.002873109411726478,0.03958666605497379,Temp,KITTI,AdaBoost,2,9090,1000,8000
5,0.946375,0.14188667623584436,0.019974494949494923,0.35974747474747476,0.16929778716148974,0.7438488963143898,0.044050880452382375,0.9445752450767358,0.001799754923264188,0.039804486646653106,Temp,KITTI,AdaBoost,2,9090,1000,8000
6,0.945625,0.14459598800447462,0.01645638888888891,0.3237878787878788,0.15930054742212424,0.7578545659698523,0.040636925397447385,0.9484060494456495,0.002781049445649497,0.040658659461382245,Temp,KITTI,AdaBoost,2,9090,1000,8000
7,0.94675,0.14237314414727248,0.01831363636363638,0.3868903318903319,0.16981682755289007,0.7470663335090303,0.044293213745862176,0.9445966821454608,0.0021533178545391357,0.0399943171760932,Temp,KITTI,AdaBoost,2,9090,1000,8000
8,0.9465,0.1421264636895151,0.019452613182085184,0.37681818181818183,0.17163618901966382,0.7442777142478246,0.045620632004827535,0.9431389295196894,0.003361070480310653,0.040096817666686366,Temp,KITTI,AdaBoost,2,9090,1000,8000
9,0.946625,0.14346398115676892,0.017955593434343425,0.36883838383838385,0.16219740969287647,0.7556422214584473,0.04179635578241564,0.9473919282778154,0.0007669282778153819,0.04019348728955732,Temp,KITTI,AdaBoost,2,9090,1000,8000
0,0.96725,0.10503602856066184,0.020069835858585818,0.6881313131313131,0.060079587807797895,0.8395486456323331,0.023799461598634556,0.9717251889131796,0.004475188913179589,0.02679440609712082,Temp,KITTI,XGBoost,2,9090,1000,8000
1,0.96825,0.10150634646106764,0.0213190656565657,0.6683333333333333,0.06636688738197907,0.8144756358798145,0.03200625293214074,0.9631195470376389,0.005130452962361205,0.025476782659143184,Temp,KITTI,XGBoost,2,9090,1000,8000
2,0.967625,0.1033842835600503,0.019993409090909096,0.6831818181818181,0.06097228623587687,0.8356342648992852,0.025784937503967296,0.969728509173838,0.002103509173838041,0.02645897335282321,Temp,KITTI,XGBoost,2,9090,1000,8000
3,0.967875,0.10099919385951135,0.021583901515151573,0.6782323232323233,0.06268185430988389,0.8224954467883836,0.028196974379099838,0.9670065196509056,0.0008684803490944665,0.02572602839408068,Temp,KITTI,XGBoost,2,9090,1000,8000
4,0.966,0.10824432523482876,0.02043255050505051,0.702979797979798,0.05668212436355519,0.8463050363715563,0.01922829357330922,0.9761998396448162,0.010199839644816234,0.0276573800498239,Temp,KITTI,XGBoost,2,9090,1000,8000
5,0.967125,0.1029090329088876,0.02156513888888893,0.6782323232323233,0.06422887000003243,0.8237823086767475,0.02752035679852867,0.9675912183289711,0.0004662183289710249,0.026352818511851724,Temp,KITTI,XGBoost,2,9090,1000,8000
