,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.945625,0.1463759341765254,0.017286578282828313,0.026876785714285673,0.33469696969696966,0.15380542858562618,0.76642126119993,0.03710627173963913,0.9522105378639498,0.006585537863949907,0.04086878252843617,0.0005724430084228516,0.014799833297729492,Temp,KITTI,AdaBoost,2,9090,1000,8000
1,0.946,0.14421897807153236,0.016847967171717184,0.025038690476190464,0.41580808080808085,0.1625866807418683,0.7559431222091416,0.04097848078869762,0.9480552857731857,0.0020552857731857346,0.04050050787261617,0.0005619525909423828,0.006581544876098633,Temp,KITTI,AdaBoost,2,9090,1000,8000
2,0.946625,0.14504235524330952,0.01693330808080808,0.02463928571428569,0.4987878787878788,0.15834695574580931,0.7627114376426082,0.03990501911778367,0.9495596342618022,0.0029346342618022034,0.04048412411267289,0.0005571842193603516,0.0068912506103515625,Temp,KITTI,AdaBoost,2,9090,1000,8000
3,0.945625,0.14346276708659125,0.02171305555555556,0.03039940476190475,0.3868903318903319,0.18092425360565922,0.7346116677346102,0.04987514881103446,0.938406321838635,0.00721867816136508,0.04061415243520706,0.0005662441253662109,0.0064067840576171875,Temp,KITTI,AdaBoost,2,9090,1000,8000
4,0.94725,0.1415167349019177,0.019559974747474774,0.028558333333333345,0.36388888888888893,0.16786861945078974,0.7464669053307312,0.044601993841593364,0.9443768905897468,0.0028731094102532675,0.039586666054942064,0.0005667209625244141,0.006356000900268555,Temp,KITTI,AdaBoost,2,9090,1000,8000
5,0.946375,0.1418866762358406,0.019974494949494923,0.027173809523809517,0.35974747474747476,0.16929778716137273,0.7438488963145191,0.044050880452315734,0.9445752450768058,0.0017997549231941884,0.0398044866466519,0.0006191730499267578,0.0063130855560302734,Temp,KITTI,AdaBoost,2,9090,1000,8000
6,0.945625,0.14459598800447462,0.01645638888888891,0.02613422619047615,0.3237878787878788,0.15930054742212427,0.7578545659698523,0.04063692539744743,0.9484060494456495,0.0027810494456494556,0.04065865946138223,0.0005593299865722656,0.00658416748046875,Temp,KITTI,AdaBoost,2,9090,1000,8000
7,0.94675,0.14237314414726882,0.01831363636363638,0.026412202380952356,0.3868903318903319,0.16981682755275596,0.7470663335091802,0.04429321374578529,0.9445966821455416,0.002153317854458367,0.039994317176091816,0.0005640983581542969,0.006340503692626953,Temp,KITTI,AdaBoost,2,9090,1000,8000
8,0.9465,0.14212646368967716,0.019457474747474737,0.02886577380952377,0.37681818181818183,0.17163618902223624,0.7442777142449519,0.04562063200633427,0.9431389295181095,0.003361070481890459,0.04009681766671941,0.0005626678466796875,0.006421804428100586,Temp,KITTI,AdaBoost,2,9090,1000,8000
9,0.946625,0.1434639811746614,0.017955593434343425,0.026123511904761868,0.36883838383838385,0.16219740924130052,0.7556422219636181,0.04179635553808307,0.9473919285360702,0.0007669285360701814,0.040193487288091787,0.0005624294281005859,0.006574869155883789,Temp,KITTI,AdaBoost,2,9090,1000,8000
0,0.96725,0.10503602831804355,0.020069835858585818,0.024850595238095227,0.6881313131313131,0.06007958711724037,0.8395486441935466,0.023799461659899435,0.9717251888068008,0.004475188806800874,0.026794405965741525,0.0005478858947753906,0.0042798519134521484,Temp,KITTI,XGBoost,2,9090,1000,8000
