,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.6565555555555556,1.1042164686109595,0.14003518518518512,0.2536083052749719,0.15324279883754985,0.42429648918302143,0.4321898969196755,0.5185211496851507,0.13803440587040483,BBQ,MNIST,AdaBoost,10,10000,1000,9000
1,0.6497777777777778,1.0479875367278129,0.12694108866442197,0.3732828282828283,0.1593129440042275,0.42622658220229787,0.42327793568502176,0.5240152021350707,0.12576257564270715,BBQ,MNIST,AdaBoost,10,10000,1000,9000
2,0.6476666666666666,1.0878523830782847,0.13831764309764302,0.8320707070707071,0.13739336695771387,0.43001941421309436,0.43642990949828225,0.5165157355560261,0.13115093111064052,BBQ,MNIST,AdaBoost,10,10000,1000,9000
3,0.6501111111111111,1.0741787778543532,0.13583041526374856,0.24136363636363634,0.13020441646524142,0.4307147186485992,0.43950485434700304,0.5150864162489026,0.1350246948622084,BBQ,MNIST,AdaBoost,10,10000,1000,9000
4,0.6554444444444445,1.1143357316659885,0.15225317620650947,0.3794444444444445,0.14527806540649568,0.42570791545205705,0.453571744187812,0.5048333918725473,0.15061105257189716,BBQ,MNIST,AdaBoost,10,10000,1000,9000
5,0.6622222222222223,1.0587108095197124,0.14398902356902352,0.3718813131313131,0.14971468509307714,0.4208485529629477,0.4318486583942257,0.5183957329975306,0.1438264892246916,BBQ,MNIST,AdaBoost,10,10000,1000,9000
6,0.6492222222222223,1.0997638229884112,0.11733136924803587,0.5653418803418804,0.164488100273363,0.4439854635435922,0.415972733647529,0.5349037139671787,0.1143185082550435,BBQ,MNIST,AdaBoost,10,10000,1000,9000
7,0.6477777777777778,1.0815073449180463,0.13505932659932654,0.28666409861325115,0.14713268978441227,0.4204569868242578,0.4256769015178738,0.5201280347092992,0.12764974306847857,BBQ,MNIST,AdaBoost,10,10000,1000,9000
8,0.6646666666666666,1.0549280953697813,0.14632090909090906,0.26478215893878543,0.14877504684682055,0.4298073558085245,0.4331784681726441,0.520876111469041,0.1437905551976255,BBQ,MNIST,AdaBoost,10,10000,1000,9000
9,0.6562222222222223,1.0804846446739067,0.14823590347923676,0.45378787878787874,0.1451824522183566,0.4244868238047379,0.44801599937238823,0.5081533045065039,0.14806891771571845,BBQ,MNIST,AdaBoost,10,10000,1000,9000
0,0.925,0.4069097336950645,0.01757585208709875,0.39328282828282823,0.10633873326646934,0.6396347188678391,0.05339263025575934,0.9235844209285107,0.001415579071489488,BBQ,MNIST,XGBoost,10,10000,1000,9000
1,0.9297777777777778,0.3499117580767202,0.02176297419969632,0.3387373737373738,0.10249157907379525,0.6293303641425149,0.054987761167476806,0.9228443560765138,0.006933421701264084,BBQ,MNIST,XGBoost,10,10000,1000,9000
2,0.9265555555555556,0.3548148403728558,0.024081972931402122,0.39666278166278174,0.10456725291961813,0.6317101848091325,0.05464891413060224,0.9223159041359716,0.004239651419583955,BBQ,MNIST,XGBoost,10,10000,1000,9000
3,0.9287777777777778,0.3408925815809296,0.022062919390897957,0.7511616161616161,0.10123945046495976,0.6424564102031616,0.054899175133438026,0.923545817111091,0.005231960666686901,BBQ,MNIST,XGBoost,10,10000,1000,9000
4,0.925,0.42453714884750937,0.020389966252682003,0.6972222222222222,0.10260234293911188,0.6346094132211616,0.0461716669771308,0.929886914037741,0.004886914037741101,BBQ,MNIST,XGBoost,10,10000,1000,9000
5,0.9274444444444444,0.3500602516549937,0.02010573092736406,0.7421717171717171,0.09655886767399685,0.6498310823929291,0.05541713630602327,0.9231969844506895,0.00424745999375481,BBQ,MNIST,XGBoost,10,10000,1000,9000
6,0.924,0.33933596025476953,0.022838350508778887,0.6792424242424242,0.09652957717428459,0.6426968684707327,0.049944422975350476,0.9266963151745519,0.002696315174551815,BBQ,MNIST,XGBoost,10,10000,1000,9000
7,0.9301111111111111,0.38195398009425824,0.019227333256046218,0.3638888888888888,0.1203849519350673,0.6059380255098334,0.052495429046632555,0.9236328646107027,0.006478246500408437,BBQ,MNIST,XGBoost,10,10000,1000,9000
8,0.9286666666666666,0.38062497951570096,0.020736401138631774,0.7781313131313131,0.10621483242732249,0.6259270860652736,0.05227041398404777,0.9247743410194703,0.00389232564719616,BBQ,MNIST,XGBoost,10,10000,1000,9000
9,0.9291111111111111,0.40486871539584085,0.018395265341745553,0.35671717171717177,0.08892574169490418,0.6601103248585399,0.05069771676447548,0.9288017866305783,0.00030932448053283546,BBQ,MNIST,XGBoost,10,10000,1000,9000
0,0.7297777777777777,0.7510701193373697,0.07283157231474606,0.6972222222222222,0.29955181245976287,0.47526424386702676,0.12364044461770918,0.7679746889817217,0.03819691120394393,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
1,0.764,0.7271239746363091,0.09641594700413286,0.895,0.2887884207209928,0.5137098730504269,0.15524496192279466,0.7666283791308858,0.002628379130885622,BBQ,MNIST,mondrian_forest,10,10000,1000,9000
