,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.6712222222222223,1.0990708651198797,0.2276354320987654,0.36964646464646467,0.10521235397835382,0.3655130050384327,0.5181742267916072,0.44358471976229147,0.2276375024599308,Beta,MNIST,AdaBoost,10,10000,1000,9000
1,0.6527777777777778,1.1072399870469036,0.2045377665544332,0.3366161616161616,0.1110441644524494,0.3671864472763511,0.5085851232208184,0.4482800054240322,0.20449777235374567,Beta,MNIST,AdaBoost,10,10000,1000,9000
2,0.663,1.102446741072397,0.22434141414141412,0.3585597352838732,0.09984261102815152,0.36054953901975423,0.5214651929043015,0.43877377175410526,0.22422622824589478,Beta,MNIST,AdaBoost,10,10000,1000,9000
3,0.6781111111111111,1.098176736357595,0.24043784511784508,0.3393972572439726,0.09930163161013747,0.3600155464682696,0.5250635847782533,0.437944664468544,0.24016644664256703,Beta,MNIST,AdaBoost,10,10000,1000,9000
4,0.6674444444444444,1.113823246363771,0.23425657687991017,0.37590909090909097,0.09736553543551078,0.35653457652620585,0.5286588586967423,0.4331615803724003,0.2342828640720441,Beta,MNIST,AdaBoost,10,10000,1000,9000
5,0.6568888888888889,1.0978887930527013,0.21428354657687987,0.8410606060606061,0.0976687136206236,0.36156667712018986,0.514862554107631,0.4427389421180924,0.21414994677079643,Beta,MNIST,AdaBoost,10,10000,1000,9000
6,0.6576666666666666,1.1118487261343124,0.2056769135802469,0.33207070707070707,0.11160777230130514,0.38028805149162215,0.5108350472765465,0.45189276020175656,0.20577390646491003,Beta,MNIST,AdaBoost,10,10000,1000,9000
7,0.6541111111111111,1.1006763155296877,0.20654488215488212,0.8320707070707071,0.10547172614692524,0.36491391101271514,0.5082440208419968,0.4478827171428608,0.20622839396825032,Beta,MNIST,AdaBoost,10,10000,1000,9000
8,0.6762222222222222,1.0963401854437154,0.2342642312008978,0.33520202020202017,0.10559535755208671,0.36219098743893124,0.5198476803592772,0.4419590616367205,0.23426316058550167,Beta,MNIST,AdaBoost,10,10000,1000,9000
9,0.6644444444444444,1.1121931610732216,0.23000995510662178,0.3292907334211681,0.1015800736308985,0.3576719955054981,0.5268924506913567,0.4343725079213657,0.23007193652307872,Beta,MNIST,AdaBoost,10,10000,1000,9000
0,0.9343333333333333,0.2181562491039655,0.01997819304152635,0.7601515151515151,0.08662674062221153,0.6581423965695117,0.050127646442318756,0.9307154197154581,0.0036179136178752375,Beta,MNIST,XGBoost,10,10000,1000,9000
1,0.9336666666666666,0.2184684325951513,0.01849438832772166,0.7331818181818182,0.08106573205014642,0.6651804601352915,0.04779859151655925,0.9331623522430136,0.0005043144236531322,Beta,MNIST,XGBoost,10,10000,1000,9000
2,0.9323333333333333,0.229951491065428,0.020005521885521894,0.7062121212121212,0.07978910216458442,0.6729684290388982,0.04850020671289669,0.932652504306308,0.00031917097297474994,Beta,MNIST,XGBoost,10,10000,1000,9000
3,0.9333333333333333,0.21978250465794633,0.01957549943883278,0.7421717171717171,0.084220401977632,0.659530992016603,0.0496933401752852,0.9309216153041742,0.002411718029159328,Beta,MNIST,XGBoost,10,10000,1000,9000
4,0.9322222222222222,0.23139094611704952,0.018412008978675634,0.7062121212121212,0.07314838742026351,0.6974337608656671,0.03884868870254656,0.9432771217681879,0.011054899545965731,Beta,MNIST,XGBoost,10,10000,1000,9000
5,0.9323333333333333,0.2183802037651871,0.018016700336700314,0.4692424242424241,0.08389907370471573,0.6598614512354176,0.048248847885388094,0.9319999490217864,0.0003333843115469193,Beta,MNIST,XGBoost,10,10000,1000,9000
6,0.931,0.23250812507601418,0.018861436588103273,0.7421717171717171,0.08089663678999891,0.667137707326703,0.04631475420098979,0.9339134656444209,0.002913465644420979,Beta,MNIST,XGBoost,10,10000,1000,9000
7,0.9335555555555556,0.23094962463094473,0.015215847362514056,0.39267676767676774,0.07484545505503372,0.687372345089868,0.04182335418927851,0.9401832044961581,0.00662764894060254,Beta,MNIST,XGBoost,10,10000,1000,9000
8,0.9346666666666666,0.21902952686694516,0.01705606060606059,0.36570707070707076,0.07838875929129488,0.6741162597293685,0.04327945345692234,0.9382570664712485,0.003590399804582013,Beta,MNIST,XGBoost,10,10000,1000,9000
9,0.9338888888888889,0.2210180144487624,0.01822797979797979,0.6972222222222222,0.08354059656226208,0.6625797101300995,0.048171958393817466,0.9327055130252637,0.0011833758636251648,Beta,MNIST,XGBoost,10,10000,1000,9000
0,0.916,0.3323717925760038,0.026624287317620628,0.4373737373737373,0.09591705507852687,0.661442762247487,0.07891171969579049,0.8992780567874449,0.0167219432125552,Beta,MNIST,mondrian_forest,10,10000,1000,9000
1,0.9163333333333333,0.3110157342310404,0.04663818181818178,0.7511616161616161,0.11084676388794432,0.6084572172890719,0.09707025036982332,0.8782922144243042,0.03804111890902909,Beta,MNIST,mondrian_forest,10,10000,1000,9000
2,0.9166666666666666,0.3097392428960913,0.03548939393939391,0.7331818181818182,0.10461956851024994,0.6371796319947884,0.08628574530876017,0.8906697027998688,0.02599696386679775,Beta,MNIST,mondrian_forest,10,10000,1000,9000
3,0.9152222222222223,0.300111701484362,0.0369953535353535,0.3387373737373738,0.10388342368130933,0.6318990893485207,0.08653664008210638,0.8895929667574013,0.02562925546482102,Beta,MNIST,mondrian_forest,10,10000,1000,9000
4,0.9157777777777778,0.30736145124218345,0.04414252525252523,0.45227272727272727,0.10821691979001649,0.6177893472015545,0.09194669405576868,0.8836066303079035,0.032171147469874144,Beta,MNIST,mondrian_forest,10,10000,1000,9000
5,0.9161111111111111,0.3095871468223666,0.03513203277757491,0.7421717171717171,0.10294519503666838,0.6390266088809102,0.08295382453629588,0.8937234229337031,0.02238768817740803,Beta,MNIST,mondrian_forest,10,10000,1000,9000
6,0.9156666666666666,0.2948545796811666,0.04292227833894498,0.7421717171717171,0.10734724975178195,0.6174189146648162,0.09064047550530749,0.8847391997323729,0.03092746693429369,Beta,MNIST,mondrian_forest,10,10000,1000,9000
7,0.915,0.3175306848110026,0.02897515151515148,0.7421717171717171,0.09641162824664055,0.6556965114793006,0.07879115901979218,0.8986402929726307,0.01635970702736931,Beta,MNIST,mondrian_forest,10,10000,1000,9000
8,0.9124444444444444,0.2959502004095251,0.039024938271604914,0.6792424242424242,0.1036587755992525,0.6269442942481933,0.08792773235380204,0.887107729530906,0.025336714913538408,Beta,MNIST,mondrian_forest,10,10000,1000,9000
9,0.9154444444444444,0.32970228271975593,0.03624764309764308,0.7152020202020202,0.10331889908618228,0.6379625161406663,0.08615944754965099,0.890513531824608,0.024930912619836335,Beta,MNIST,mondrian_forest,10,10000,1000,9000
0,0.9643333333333334,0.11518158845272129,0.013640950072229142,0.6972222222222222,0.044745872212068154,0.688832135980706,0.02572114875678782,0.9640979183988495,0.00023541493448390322,Beta,MNIST,random_forest,10,10000,1000,9000
1,0.966,0.12402764860803422,0.012398248401873025,0.4466161616161617,0.043099954541498994,0.6993757082135242,0.025152494042822892,0.9654814648338931,0.0005185351661070696,Beta,MNIST,random_forest,10,10000,1000,9000
2,0.9672222222222222,0.11065966665019612,0.02091450056116718,0.6342929292929292,0.05076264744924289,0.6560614532134222,0.034088120281262416,0.9557556712943968,0.011466550927825517,Beta,MNIST,random_forest,10,10000,1000,9000
3,0.967,0.1212198642583549,0.01583420576876121,0.5264141414141413,0.04332000353251242,0.7010452883261624,0.0267963519235612,0.9642224222046797,0.002777577795320299,Beta,MNIST,random_forest,10,10000,1000,9000
4,0.9667777777777777,0.1132956325271498,0.015872166443117904,0.6792424242424242,0.04330301465253337,0.6943985527126175,0.02863249273261915,0.962165983110506,0.00461179466727181,Beta,MNIST,random_forest,10,10000,1000,9000
5,0.9648888888888889,0.12476306848217104,0.020100068241262595,0.7062121212121212,0.05167891945115788,0.6658297034473214,0.03296696299905997,0.9564574532895017,0.008431435599387038,Beta,MNIST,random_forest,10,10000,1000,9000
6,0.967,0.1084670225591558,0.01993824915824913,0.6163131313131313,0.04740776812143754,0.664952686393049,0.03178156044683943,0.9582106696988768,0.008789330301123086,Beta,MNIST,random_forest,10,10000,1000,9000
7,0.965,0.11796506713520016,0.014510525206937906,0.47358585858585867,0.04206800817285122,0.7070534714849949,0.027396528037865773,0.9633092219454344,0.0016907780545656267,Beta,MNIST,random_forest,10,10000,1000,9000
8,0.9663333333333334,0.11722784364942947,0.012690214334820149,0.5893434343434343,0.04222011640085373,0.7008250556082356,0.025598651447940914,0.9651909466896169,0.0011423866437163359,Beta,MNIST,random_forest,10,10000,1000,9000
9,0.9642222222222222,0.12594211091712723,0.010682855695093831,0.7421717171717171,0.040429305129395555,0.7160699222979037,0.02153333361882016,0.969078693981756,0.004856471759533753,Beta,MNIST,random_forest,10,10000,1000,9000
0,0.974,0.23272314038944297,0.011329225589225627,0.7253030303030303,0.018010157109035647,0.8137162208498234,0.008838587008969516,0.9865478379953592,0.012547837995359119,Beta,MNIST,1layer_NN,10,10000,1000,9000
1,0.9763333333333334,0.08221405804698725,0.011097474747474714,0.6702525252525252,0.02746580683841046,0.724871007884615,0.015328121806734568,0.9785232575959607,0.0021899242626273324,Beta,MNIST,1layer_NN,10,10000,1000,9000
2,0.9751111111111112,0.1749959984932616,0.01117292929292929,0.5983333333333333,0.018601276524793407,0.8036129643944375,0.01307307295756357,0.9823644461943085,0.0072533350831973115,Beta,MNIST,1layer_NN,10,10000,1000,9000
3,0.9762222222222222,0.08384262629362495,0.010517755331088643,0.6432828282828282,0.02760566993441814,0.733171537496633,0.016108494304676185,0.9779299420070438,0.0017077197848216173,Beta,MNIST,1layer_NN,10,10000,1000,9000
