,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7285555555555555,0.7824801379884614,0.039017373737373705,0.30343731431966725,0.19553725141505018,0.5607515305858667,0.24625033936262314,0.7013613904467281,0.027194165108827495,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
1,0.7277777777777777,0.7895452722614676,0.031221683501683476,0.33318181818181813,0.20094907421682562,0.568742712863453,0.23887307992575907,0.7087556636668597,0.019022114110917976,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
2,0.7291111111111112,0.7768108131070529,0.04226202020202017,0.7511616161616161,0.18987555112851479,0.559246000760648,0.2503523291578007,0.6980699739912192,0.031041137119892065,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
3,0.7302222222222222,0.7836359580107191,0.05153795735129064,0.2871212121212121,0.18883522623299295,0.55002925076621,0.26686311321746214,0.6837385156439109,0.04648370657831147,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
4,0.733,0.7769744585484479,0.04275654320987651,0.23984848484848487,0.1977627692550994,0.5556112791461434,0.25395218146957466,0.6952012625148221,0.037798737485177925,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
5,0.7285555555555555,0.785830371438004,0.041939214365881,0.23984848484848487,0.1933873999120284,0.555306037897486,0.25764058139093277,0.6915848176003568,0.03697073795519862,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
6,0.7272222222222222,0.789218249569399,0.028202390572390542,0.26681818181818184,0.18940635079547338,0.5784457191779245,0.23421908853593199,0.7146800340126812,0.012542188209541116,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
7,0.7291111111111112,0.7845600193177951,0.040894287317620626,0.2781313131313131,0.199969394696548,0.5614777543062406,0.24745231402844275,0.7007889644826637,0.028322146628447453,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
8,0.718,0.841827715296742,0.08450610549943878,0.3051010101010101,0.20380341213958092,0.5049390303127032,0.3131453371002148,0.6355544545102281,0.0824455454897719,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
9,0.7288888888888889,0.7807616971007961,0.046057384960718255,0.2038888888888889,0.1886466369661381,0.5562664600886106,0.2590843731639541,0.6908551860734079,0.03803370281548102,GPcalib,MNIST,AdaBoost,10,10000,1000,9000
0,0.9336666666666666,0.21388042654203396,0.01799154882154882,0.8230808080808081,0.09317370451327878,0.644522529312333,0.048456143680376554,0.9311781082948065,0.002488558371860135,GPcalib,MNIST,XGBoost,10,10000,1000,9000
1,0.9334444444444444,0.21400691392769883,0.01879672278338946,0.8140909090909091,0.08310747389035458,0.6638072632771255,0.045685477922505824,0.9349796500751141,0.0015352056306696601,GPcalib,MNIST,XGBoost,10,10000,1000,9000
2,0.9333333333333333,0.21624818844992097,0.01788967452300787,0.8230808080808081,0.09350595185838083,0.6569360372662163,0.043283897260368645,0.9367307650414037,0.0033974317080703448,GPcalib,MNIST,XGBoost,10,10000,1000,9000
3,0.934,0.21203991632994892,0.01714718294051626,0.8230808080808081,0.08912662366921494,0.6583847958116692,0.044030091466197366,0.9363292910941418,0.002329291094141789,GPcalib,MNIST,XGBoost,10,10000,1000,9000
4,0.933,0.21832283512896714,0.01824270482603819,0.8140909090909091,0.08204086172313602,0.6765765120562693,0.03956092358869063,0.9414202845995218,0.008420284599521648,GPcalib,MNIST,XGBoost,10,10000,1000,9000
5,0.9327777777777778,0.21422125677826415,0.01687977553310884,0.8230808080808081,0.08918107991428412,0.6554090206758281,0.045457735507477594,0.9344338631026223,0.0016560853248445903,GPcalib,MNIST,XGBoost,10,10000,1000,9000
6,0.9334444444444444,0.2149558678429281,0.01731223344556681,0.8140909090909091,0.08640367870654621,0.6627503114281094,0.043611573197973375,0.9368451789010294,0.003400734456584821,GPcalib,MNIST,XGBoost,10,10000,1000,9000
7,0.9323333333333333,0.2170928476260792,0.019879494949494963,0.8140909090909091,0.07959638628164473,0.6792678377451777,0.03843304077154647,0.9424647186747518,0.010131385341418525,GPcalib,MNIST,XGBoost,10,10000,1000,9000
8,0.9343333333333333,0.21362163013279167,0.017160864197530844,0.8140909090909091,0.08255587419369416,0.6702473994325274,0.041681782873964505,0.939401566764162,0.005068233430828455,GPcalib,MNIST,XGBoost,10,10000,1000,9000
9,0.933,0.21240858013184763,0.01763344556677889,0.8230808080808081,0.0848212847813174,0.6606582826340963,0.043746786610208456,0.93644835302916,0.0034483530291599257,GPcalib,MNIST,XGBoost,10,10000,1000,9000
0,0.914,0.27814598818941116,0.018323276016915926,0.43847763347763347,0.12283403918664354,0.6249789185122807,0.05907571050427869,0.9137529875911453,0.00024701240885460773,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
1,0.9158888888888889,0.27126944721700713,0.022931684872910814,0.7871212121212121,0.1374436916489198,0.592352157183795,0.06911690333638663,0.9024088831984775,0.013480005690411336,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
2,0.9156666666666666,0.2737292395336004,0.01832895758570859,0.7691414141414141,0.11893303223817955,0.6292563108905619,0.05839545052767702,0.9152631813519279,0.00040348531473884813,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
3,0.9143333333333333,0.2742519369906208,0.018336116466022536,0.7781313131313131,0.12338404691941068,0.6257656641450616,0.058098659393648035,0.9148190509895014,0.00048571765616809565,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
4,0.9161111111111111,0.2708784521824137,0.023669477762228552,0.7781313131313131,0.11467475802660114,0.6267009418767973,0.06464406931855621,0.9094632066206095,0.006647904490501545,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
5,0.915,0.2770830962186968,0.020678336954504523,0.7691414141414141,0.11394301000863433,0.6417019546246565,0.054633169456825004,0.919555316090101,0.004555316090100903,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
6,0.9157777777777778,0.2720210649469977,0.02193024250682023,0.7871212121212121,0.13537579530360302,0.602745679461735,0.0644311136464658,0.9075377762619806,0.008240001515797346,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
7,0.913,0.27866411301755234,0.018524289154212344,0.7691414141414141,0.10971269406988426,0.6485409395503544,0.051166197011265,0.9227083238695959,0.009708323869595865,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
8,0.9143333333333333,0.2781698378946888,0.022273116065791257,0.5551010101010101,0.14749229016983603,0.6013278376179158,0.05914031713397939,0.911773121456433,0.0025602118769003715,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
9,0.9151111111111111,0.27519733777217187,0.02341969839771072,0.7601515151515151,0.11307791046216431,0.6371580357177852,0.057714838330597,0.9163832589775099,0.0012721478663990093,GPcalib,MNIST,mondrian_forest,10,10000,1000,9000
0,0.9656666666666667,0.10745442679809288,0.014194388327721668,0.6972222222222222,0.0396354073895232,0.6998683958651558,0.019924456618651706,0.9704550979832923,0.00478843131662568,GPcalib,MNIST,random_forest,10,10000,1000,9000
1,0.9658888888888889,0.10900231506084873,0.012992682379349044,0.6972222222222222,0.04226090373765759,0.6968705185210814,0.019102702533792183,0.9712088284510796,0.005319939562190713,GPcalib,MNIST,random_forest,10,10000,1000,9000
