,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7283333333333334,0.7835778505744,0.037424388327721644,0.7511616161616161,0.19902100356146257,0.5618875017991065,0.24423810207401214,0.7030926869781852,0.025240646355148277,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
1,0.7256666666666667,0.7894503108858258,0.034090190796857454,0.25782828282828285,0.2030812072441506,0.5696840034505904,0.23638347722462982,0.7104143683072722,0.015252298359394428,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
2,0.7301111111111112,0.7803465802177918,0.04272694725028056,0.2781313131313131,0.1902110304050902,0.5635410759340541,0.2475467752510883,0.7014679348076575,0.02864317630345381,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
3,0.7313333333333333,0.7815305594668809,0.040805959595959555,0.23085858585858587,0.19276068336555796,0.5633580930618516,0.24943539932614472,0.7002684522954303,0.031064881037903003,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
4,0.7295555555555555,0.7821395494754607,0.042280740740740716,0.29562049062049056,0.20261087122545354,0.554290918513596,0.25449185377312844,0.6937945093097478,0.03576104624580759,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
5,0.7282222222222222,0.7935944202973705,0.04667839506172837,0.32141711229946524,0.2048519836122879,0.5546763538505443,0.26212978197177844,0.6880821967194883,0.04014002550273385,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
6,0.726,0.7903372360827945,0.03901672278338944,0.30461038961038955,0.2027206643923155,0.5676200941340181,0.24441556160869177,0.7040822080648108,0.021917791935189224,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
7,0.7294444444444445,0.7770760750087443,0.0358462626262626,0.2781313131313131,0.20095758563057828,0.5660878800530487,0.24286184155925228,0.7054484442325203,0.02399600021192419,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
8,0.7285555555555555,0.7941965004646011,0.0412950505050505,0.24883838383838386,0.20470773625301336,0.5705061147762936,0.24749982400168585,0.7030988991577145,0.02545665639784095,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
9,0.7298888888888889,0.7861108321962937,0.04881514029180693,0.25782828282828285,0.18912552904236332,0.5558054891350153,0.2603364455679356,0.6900014481279391,0.03988744076094969,GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000
