,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,
Uncal,MNIST,AdaBoost,10,10000,1000,9000,0.731111111111111,0.0008873443370896856,2.153510164913226,0.00027794359136541075,0.6120523075196409,0.0008842250168215317,0.769141414141414,0.0,0.0008888696114013221,5.574898522214601e-06,0.1176731805274325,0.00010758831005800641,0.8816175512004394,4.596095710104369e-05,0.11819166417964597,3.576005193989712e-05,0.6129194469314652,0.0008816755847673248
Uncal,MNIST,XGBoost,10,10000,1000,9000,0.9333,0.0005833774233778625,0.25933820219098164,0.0015042076795164661,0.07397637822671152,0.0005430682566031043,0.832070707070707,0.0,0.14647646067444015,0.0008704858028117372,0.519145616740126,0.0017645785675695148,0.11370882830221056,0.000581862418931502,0.8618024453436336,0.000609359585842638,0.07149755465636651,0.000609772411365576
Uncal,MNIST,mondrian_forest,10,10000,1000,9000,0.9132777777777777,0.0008417272723972928,0.48806116423127904,0.002104920885666185,0.21626237037037033,0.000819035598865339,0.44368187278734955,0.01921652137888517,0.2328231042674866,0.0009843460143169717,0.3846278429919303,0.001726011074017282,0.27270277882471194,0.000759566327222049,0.6975804548942885,0.0006814677259477671,0.21569732288348925,0.0008153676725947952
Uncal,MNIST,random_forest,10,10000,1000,9000,0.944822222222222,0.000624598636558021,0.40668730546371334,0.007760516819934076,0.11776818518518514,0.0007644652197857036,0.31863059038593233,0.0054245209034649924,0.19803185148906194,0.0006615252708968012,0.4413758588758038,0.0021100588768600773,0.14710807290102096,0.0005323999633928655,0.8301855555555555,0.00043634754147896834,0.11463666666666668,0.000761524173756386
Uncal,MNIST,1layer_NN,10,10000,1000,9000,0.9625,0.0006894263136661574,0.5149460262334546,0.010273093501294262,0.026167706290975545,0.000511758580479734,0.8376767676767678,0.014214278371463926,0.0068587449609321715,0.0003001627488464243,0.9339104155310679,0.003196282217990837,0.0021034778350356364,8.259494701217121e-05,0.9954964181771968,0.00014345314758856844,0.03299641817719702,0.0006373188527318168
GPcalib,MNIST,AdaBoost,10,10000,1000,9000,0.7288888888888889,0.0020367003088692832,0.7856670313113762,0.010412931540150737,0.04142738608305272,0.008525487386545752,0.3068614718614719,0.16614715161295776,0.19545746555098442,0.005803121496823289,0.5599293148048747,0.012408386247848206,0.25169495425005983,0.013588183035771976,0.6972349984125348,0.013256606336168951,0.03165389047635427,0.012967239725998982
GPcalib,MNIST,XGBoost,10,10000,1000,9000,0.9332666666666668,0.0005523363520683664,0.21473543362650713,0.0020159921003401506,0.017952838383838383,0.0013856886343104444,0.8176868686868689,0.004642363876262072,0.08629281424620414,0.004787357128190232,0.6626941955261184,0.010384063608910773,0.04337534676998434,0.0029581972623334116,0.9370110905216308,0.003348958102567576,0.004243589193830714,0.002919850482414485
GPcalib,MNIST,mondrian_forest,10,10000,1000,9000,0.9132333333333333,0.000789940179360722,0.2808988478106017,0.003137412772224375,0.021315970863962128,0.0020029615860062758,0.4779126984126984,0.12330571862925738,0.12516292472288282,0.008687349155014836,0.6242237867890631,0.012048602524138353,0.06065282274304444,0.003378866019576587,0.9120050933786736,0.0037050896010294566,0.0029630432801482066,0.0029214460293482485
