,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.6682222222222223,1.1222964385540928,0.23311013468013467,0.3343049135422017,0.10479005381925598,0.35856612490632755,0.527033991439758,0.4350106693835099,0.23321155283871234,Platt,MNIST,AdaBoost,10,10000,1000,9000
1,0.6475555555555556,1.1332866580339975,0.20804241301907966,0.32686098270844033,0.10989950430355283,0.35974337339930706,0.517295108399662,0.4393677876299302,0.20818776792562535,Platt,MNIST,AdaBoost,10,10000,1000,9000
2,0.6583333333333333,1.1261920025822778,0.2285980471380471,0.3425638740344623,0.0984138252822788,0.35226151775060544,0.5298856038660974,0.4298479960196095,0.22848533731372392,Platt,MNIST,AdaBoost,10,10000,1000,9000
3,0.6754444444444444,1.1208582822935431,0.24631179573512899,0.3405340288127173,0.09840909135751032,0.35286229166418415,0.5340731537331342,0.42923111693415095,0.24621332751029346,Platt,MNIST,AdaBoost,10,10000,1000,9000
4,0.6624444444444444,1.1378498025762944,0.2376487878787877,0.34425872902250854,0.09633584577393468,0.3495458984295467,0.5369838236910907,0.42471365362029784,0.23773079082414655,Platt,MNIST,AdaBoost,10,10000,1000,9000
5,0.6518888888888889,1.1207782427748512,0.2175969584736251,0.8500505050505051,0.09563905671943447,0.3545685288411927,0.5231820007336221,0.43426160028392186,0.2176272886049671,Platt,MNIST,AdaBoost,10,10000,1000,9000
6,0.6545555555555556,1.1361467660934634,0.21198520763187426,0.2904564513055079,0.1112192709735705,0.37215526178783176,0.5203560138824792,0.4425126034574093,0.21204295209814622,Platt,MNIST,AdaBoost,10,10000,1000,9000
7,0.649,1.1238956643017828,0.21000579124579122,0.8410606060606061,0.10427008897601284,0.358286548260143,0.5162026145344013,0.43974308160648373,0.20925691839351626,Platt,MNIST,AdaBoost,10,10000,1000,9000
8,0.6728888888888889,1.1186595418243173,0.23943286195286195,0.32962981462981467,0.10526550546422288,0.35523752226391436,0.5281192990236115,0.4337254211842192,0.23916346770466973,Platt,MNIST,AdaBoost,10,10000,1000,9000
9,0.6602222222222223,1.136237526039897,0.23420900112233442,0.34270431588613404,0.10121559776574879,0.3506685182197146,0.5352124660641138,0.4260124283736581,0.23420979384856414,Platt,MNIST,AdaBoost,10,10000,1000,9000
0,0.9343333333333333,0.2484441204093298,0.044879517396184024,0.6972222222222222,0.04707437315089473,0.7354213178326264,0.05923164172495995,0.9272839026193217,0.0070494307140117896,Platt,MNIST,XGBoost,10,10000,1000,9000
1,0.9333333333333333,0.2511762306759941,0.044688282828282806,0.6972222222222222,0.046916210007975696,0.7358293209194987,0.05622996942978757,0.9299073165934981,0.0034260167398351624,Platt,MNIST,XGBoost,10,10000,1000,9000
2,0.9311111111111111,0.25401395146784733,0.046099438832772156,0.7421717171717171,0.04644730026450898,0.7422061490214914,0.053940469761527006,0.932016297310192,0.0009051861990809276,Platt,MNIST,XGBoost,10,10000,1000,9000
3,0.9332222222222222,0.25069739008309916,0.047675533108866366,0.6702525252525252,0.04635510879695466,0.7347651287195632,0.058323947683433464,0.927859000640811,0.005363221581411094,Platt,MNIST,XGBoost,10,10000,1000,9000
4,0.9318888888888889,0.2577985256450137,0.03949878787878788,0.7152020202020202,0.045495274293955584,0.7569306163478271,0.045416009511460756,0.9411215995609552,0.009232710672066304,Platt,MNIST,XGBoost,10,10000,1000,9000
5,0.9332222222222222,0.25158052669060715,0.04618618406285069,0.7241919191919192,0.04646143933243047,0.7416574563725215,0.05760201853369601,0.9289929752905971,0.004229246931625227,Platt,MNIST,XGBoost,10,10000,1000,9000
6,0.9322222222222222,0.2568263761994017,0.04454051627384957,0.7331818181818182,0.045222503105270664,0.7465856243475062,0.05402713735571511,0.932458838715281,0.000236616493058818,Platt,MNIST,XGBoost,10,10000,1000,9000
7,0.9322222222222222,0.2530163508491994,0.044599057239057285,0.7511616161616161,0.04414841257425607,0.7572279269133172,0.049185584046477285,0.9376935539185755,0.005471331696353263,Platt,MNIST,XGBoost,10,10000,1000,9000
8,0.9346666666666666,0.24935035634009994,0.04550884399551061,0.6342929292929292,0.044839657190285376,0.7425312425512371,0.056905238069575315,0.9299912786643176,0.004675388002348881,Platt,MNIST,XGBoost,10,10000,1000,9000
9,0.9338888888888889,0.2498357058478427,0.045714736251402883,0.7601515151515151,0.04661324008519733,0.7349821615592936,0.059128136874096945,0.9272602661889994,0.006628622699889446,Platt,MNIST,XGBoost,10,10000,1000,9000
0,0.9162222222222223,0.30240976976999184,0.028137934904601564,0.7152020202020202,0.08690021366922014,0.6751900662980752,0.0772624229573496,0.9019985966980493,0.014223625524172931,Platt,MNIST,mondrian_forest,10,10000,1000,9000
1,0.9168888888888889,0.29364005378611174,0.043450516273849576,0.7511616161616161,0.09426493560377214,0.6372754169381906,0.09348375816555814,0.8841393377208423,0.03274955116804656,Platt,MNIST,mondrian_forest,10,10000,1000,9000
2,0.9164444444444444,0.29206561780989787,0.03749393939393937,0.35756854256854254,0.09143386669747837,0.6530269209343433,0.08473094422732645,0.8933572685061819,0.02308717593826245,Platt,MNIST,mondrian_forest,10,10000,1000,9000
3,0.9152222222222223,0.29226628226878326,0.034919012345678985,0.7331818181818182,0.09086685512055415,0.65582971355768,0.08304379551644694,0.8948184808639486,0.020403741358273768,Platt,MNIST,mondrian_forest,10,10000,1000,9000
4,0.9171111111111111,0.29454334083459593,0.043582514029180654,0.7241919191919192,0.09316582132662736,0.6416164366666977,0.09046820097135878,0.8873245923261956,0.029786518784915436,Platt,MNIST,mondrian_forest,10,10000,1000,9000
5,0.9154444444444444,0.29501338580497477,0.031200235690235674,0.7511616161616161,0.09023768679001201,0.6574283081377031,0.07992411624589985,0.897867572082536,0.017576872361908497,Platt,MNIST,mondrian_forest,10,10000,1000,9000
6,0.916,0.2915375825671647,0.04096573512906844,0.7781313131313131,0.09294410848755896,0.6436990222518424,0.08703625878110102,0.8903455048256662,0.025654495174333797,Platt,MNIST,mondrian_forest,10,10000,1000,9000
7,0.9148888888888889,0.29910536422933254,0.03085737373737373,0.7691414141414141,0.08685149514076027,0.671233043710773,0.07683941577724676,0.9017187513302892,0.013170137558599727,Platt,MNIST,mondrian_forest,10,10000,1000,9000
8,0.9138888888888889,0.296257340978496,0.03566141414141412,0.7331818181818182,0.09268555867236553,0.6516586845911627,0.08542374057052421,0.8919361349295098,0.02195275395937893,Platt,MNIST,mondrian_forest,10,10000,1000,9000
9,0.9161111111111111,0.29970387706799,0.037552379349046004,0.7961111111111111,0.0902911315783882,0.6567882621086255,0.08437391602949143,0.893912466692095,0.022198644419016048,Platt,MNIST,mondrian_forest,10,10000,1000,9000
0,0.964,0.11959956362006591,0.0169120202020202,0.5803535353535353,0.03624099680096621,0.7133998243209626,0.02664596624614008,0.9639956822142756,4.317785724360784e-06,Platt,MNIST,random_forest,10,10000,1000,9000
1,0.9657777777777777,0.12263347213432849,0.014285095398428732,0.6702525252525252,0.03449840569502522,0.730448944820004,0.02581556343684591,0.9658432664012774,6.548862349965365e-05,Platt,MNIST,random_forest,10,10000,1000,9000
2,0.9676666666666667,0.11616924456040169,0.02505898989898989,0.5893434343434343,0.03798079557442958,0.6983414585897376,0.03763887136711405,0.953824492634824,0.01384217403184252,Platt,MNIST,random_forest,10,10000,1000,9000
3,0.9662222222222222,0.12075635157281833,0.017790000000000004,0.5275252525252526,0.034175207778220605,0.7236085797762088,0.028500256755544635,0.9631265306117501,0.0030956916104720594,Platt,MNIST,random_forest,10,10000,1000,9000
4,0.9672222222222222,0.11732967805664632,0.01966552188552191,0.7152020202020202,0.03476534202090473,0.7205087606046708,0.03052028100384308,0.9613190042488804,0.005903217973341774,Platt,MNIST,random_forest,10,10000,1000,9000
5,0.9651111111111111,0.20859910391867445,0.021139977553310856,0.6522727272727272,0.037887722351814306,0.7066872977085306,0.03366099573740657,0.9572800447228185,0.007831066388292788,Platt,MNIST,random_forest,10,10000,1000,9000
6,0.9664444444444444,0.11586587492756104,0.0235624579124579,0.4196464646464647,0.03620058721786218,0.6926065150237696,0.0341564026021179,0.9566749753004395,0.009769469144004783,Platt,MNIST,random_forest,10,10000,1000,9000
7,0.9642222222222222,0.12242188116433969,0.018092502805836158,0.6612626262626262,0.03489450868993522,0.7301766296949495,0.028536400204555164,0.962830888198516,0.0013913340237062082,Platt,MNIST,random_forest,10,10000,1000,9000
8,0.9663333333333334,0.11779262355798631,0.015842873176206508,0.6432828282828282,0.03267983983558504,0.7332494914782757,0.025905447308585742,0.9659861022972386,0.0003472310360947764,Platt,MNIST,random_forest,10,10000,1000,9000
9,0.9645555555555556,0.13068779469521224,0.015257620650954,0.6163131313131313,0.03437787797385969,0.7388419271450967,0.021943942773176277,0.9695772452828159,0.005021689727260244,Platt,MNIST,random_forest,10,10000,1000,9000
0,0.9731111111111111,0.4417938686102725,0.010581324354657725,0.8781313131313132,0.009120143750260434,0.879379778014053,0.012157316660861447,0.9849262363292863,0.011815125218175107,Platt,MNIST,1layer_NN,10,10000,1000,9000
1,0.9761111111111112,0.13578802930153813,0.019456969696969733,0.8781313131313132,0.002599435600157259,0.9254425453991195,0.022931999734348393,0.9758347255105069,0.0002763856006044764,Platt,MNIST,1layer_NN,10,10000,1000,9000
2,0.9747777777777777,0.2795552946346811,0.00986584736251403,0.8961111111111112,0.007622253724535744,0.8993087792388594,0.014146601754614255,0.9836705506326656,0.008892772854887834,Platt,MNIST,1layer_NN,10,10000,1000,9000
3,0.9764444444444444,0.13908281445199797,0.018750134680134704,0.9051010101010102,0.003060512978046905,0.9238099618230562,0.024170069169218683,0.9746045715608216,0.001839872883622879,Platt,MNIST,1layer_NN,10,10000,1000,9000
4,0.977,0.16000770168449155,0.017240269360269372,0.8781313131313132,0.005063844037309352,0.9020861758767512,0.022037481882862173,0.9762173622456088,0.0007826377543910454,Platt,MNIST,1layer_NN,10,10000,1000,9000
5,0.9761111111111112,0.30216222494821815,0.00868210998877669,0.8961111111111112,0.00396874951260694,0.935226566661992,0.01480885895818905,0.9839975428760709,0.00788643176495968,Platt,MNIST,1layer_NN,10,10000,1000,9000
6,0.9751111111111112,0.20858289395242247,0.01154836139169473,0.8691414141414142,0.005735414959962168,0.9109266653645938,0.01893613460134807,0.9793182284200266,0.004207117308915334,Platt,MNIST,1layer_NN,10,10000,1000,9000
7,0.9752222222222222,0.19282180205678556,0.01213381593714928,0.8781313131313132,0.007509575817640337,0.8947161382875011,0.018067394974884427,0.9797715747937281,0.004549352571505801,Platt,MNIST,1layer_NN,10,10000,1000,9000
8,0.9743333333333334,0.25220184753849195,0.013254219977553354,0.8781313131313132,0.006832078762630123,0.8905609112443555,0.017597226618562584,0.980045498919919,0.005712165586585601,Platt,MNIST,1layer_NN,10,10000,1000,9000
9,0.977,0.16002941984531818,0.021854242424242408,0.8691414141414142,0.003089050935352065,0.9168894208885239,0.025740151829749352,0.972940328342771,0.00405967165722905,Platt,MNIST,1layer_NN,10,10000,1000,9000
