,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7303333333333333,1.0247066624630834,0.14672833376920905,0.30906417112299467,0.2616423743782444,0.5378879358926711,0.3140653722160587,0.6460113698705956,0.08432196346273782,Temp,MNIST,AdaBoost,10,10000,1000,9000
1,0.7305555555555555,1.0187741522333305,0.17231643306567226,0.31459595959595954,0.26393435019434114,0.5119556754128287,0.34795407385767724,0.6142993863624313,0.11625616919312423,Temp,MNIST,AdaBoost,10,10000,1000,9000
2,0.7306666666666667,1.0197223430377529,0.15622838117486934,0.4121212121212121,0.26223406128421783,0.5280241325951068,0.3271834270523237,0.6338191423460509,0.09684752432061577,Temp,MNIST,AdaBoost,10,10000,1000,9000
3,0.732,1.0292939402519314,0.14116009856872053,0.3941414141414141,0.2592034279247559,0.5487889214658634,0.3057327424316823,0.65527906349286,0.07672093650714001,Temp,MNIST,AdaBoost,10,10000,1000,9000
4,0.7327777777777778,1.0186224544863514,0.1709744362694617,0.39351592851592854,0.2638522676025149,0.5166721335256615,0.34265138844030135,0.6197567304850476,0.11302104729273013,Temp,MNIST,AdaBoost,10,10000,1000,9000
5,0.7311111111111112,1.026175333929363,0.15247298445672658,0.3781313131313131,0.26157374277085177,0.5352096881000089,0.32016017223763343,0.6409503902087104,0.09016072090240076,Temp,MNIST,AdaBoost,10,10000,1000,9000
6,0.7296666666666667,1.023467450039604,0.16159631055523524,0.32358585858585853,0.26243373966194256,0.5216067098788387,0.3346845420867708,0.6264661930279322,0.10320047363873436,Temp,MNIST,AdaBoost,10,10000,1000,9000
7,0.7311111111111112,1.0193296390675042,0.15663527609072142,0.3495598845598845,0.26285689038477794,0.5299770216356144,0.327167431667588,0.6344202991094955,0.0966908120016158,Temp,MNIST,AdaBoost,10,10000,1000,9000
8,0.7316666666666667,1.0309787843555294,0.13857997768832692,0.35204545454545455,0.25850351619338324,0.5516559557798766,0.30220638260855365,0.6585800115256752,0.07308665514099155,Temp,MNIST,AdaBoost,10,10000,1000,9000
9,0.7312222222222222,1.0209199314752397,0.1698937450149719,0.3021717171717172,0.2634708309793578,0.5180344236947136,0.34281969865389134,0.619780981564028,0.11144124065819408,Temp,MNIST,AdaBoost,10,10000,1000,9000
0,0.9337777777777778,0.2393151627814995,0.018916644219977553,0.8500505050505051,0.09333510455671341,0.6547388318422902,0.042088314133139244,0.9378349057559003,0.0040571279781225,Temp,MNIST,XGBoost,10,10000,1000,9000
1,0.9335555555555556,0.2388915878296948,0.021679708193041537,0.8500505050505051,0.08990568407340457,0.663214337539502,0.03928038733904714,0.9409520399362165,0.0073964843806608865,Temp,MNIST,XGBoost,10,10000,1000,9000
2,0.9331111111111111,0.24236110107438252,0.023205465768799106,0.8410606060606061,0.08616020861684964,0.6801135239976901,0.037033786044181546,0.9440465118052856,0.01093540069417475,Temp,MNIST,XGBoost,10,10000,1000,9000
3,0.9338888888888889,0.23872435527306873,0.02329437710437709,0.8500505050505051,0.08746250827124298,0.6725769999040918,0.0377347219757312,0.9431136640818792,0.009224775192990434,Temp,MNIST,XGBoost,10,10000,1000,9000
4,0.9327777777777778,0.2443575097589999,0.023433030303030337,0.8410606060606061,0.08323566521975218,0.6841312771272128,0.03390518420408273,0.9471406001409655,0.014362822363187665,Temp,MNIST,XGBoost,10,10000,1000,9000
5,0.9327777777777778,0.2406389836194179,0.021823827160493813,0.8500505050505051,0.09062233250724658,0.6635162689265822,0.03960631638445752,0.9404369240725624,0.00765914629478457,Temp,MNIST,XGBoost,10,10000,1000,9000
6,0.9332222222222222,0.24097379113464276,0.02219323232323231,0.8410606060606061,0.08830394568883326,0.6696332584636674,0.037486985537925926,0.9429551552004027,0.009732932978180509,Temp,MNIST,XGBoost,10,10000,1000,9000
7,0.9324444444444444,0.2434623981839398,0.02429712682379352,0.8410606060606061,0.08272384140187224,0.6851995162002469,0.033551694847461476,0.9474483869655392,0.015003942521094847,Temp,MNIST,XGBoost,10,10000,1000,9000
8,0.9343333333333333,0.23890215919580124,0.021283692480359176,0.8410606060606061,0.08468248676061937,0.6776087828202726,0.03588957652225727,0.9452968157412355,0.010963482407902174,Temp,MNIST,XGBoost,10,10000,1000,9000
9,0.9331111111111111,0.23845681242284616,0.021919371492704853,0.8500505050505051,0.08761853151375537,0.6671886469158834,0.037766041837287365,0.9424987051215358,0.009387594010424723,Temp,MNIST,XGBoost,10,10000,1000,9000
0,0.9125555555555556,0.2861821861354651,0.022158406285072974,0.4088383838383838,0.1266986683563897,0.6340859578373532,0.05387373361370978,0.9188400749609552,0.006284519405399834,Temp,MNIST,mondrian_forest,10,10000,1000,9000
1,0.9137777777777778,0.27894119158947656,0.020160527497194172,0.33118538324420677,0.1353477849919732,0.6118931514703936,0.058207180423042446,0.913348137082436,0.00042964069534175836,Temp,MNIST,mondrian_forest,10,10000,1000,9000
2,0.9145555555555556,0.2813989855439936,0.020980033670033704,0.3728787878787878,0.12190874884453398,0.6406009050820559,0.05118330550764476,0.9224813675971862,0.007925812041630766,Temp,MNIST,mondrian_forest,10,10000,1000,9000
3,0.9121111111111111,0.28087886190019484,0.019895308641975338,0.7961111111111111,0.12928543787106286,0.6249329500444598,0.05431573512346058,0.9174937882062978,0.0053826770951866595,Temp,MNIST,mondrian_forest,10,10000,1000,9000
4,0.914,0.2787093982698142,0.020196565656565635,0.3998484848484848,0.1307730743630408,0.6205927033497968,0.055690823298574776,0.9164695599931852,0.0024695599931851553,Temp,MNIST,mondrian_forest,10,10000,1000,9000
5,0.9132222222222223,0.28089077625722975,0.018613557800224466,0.7961111111111111,0.12820283482306466,0.6276516821438887,0.054166101767816915,0.9182227525916322,0.00500053036940995,Temp,MNIST,mondrian_forest,10,10000,1000,9000
6,0.9134444444444444,0.27811681673577143,0.022193501683501673,0.45645743145743145,0.1409038630935568,0.5986778163191355,0.060817644067273316,0.9097097963372837,0.0037346481071607873,Temp,MNIST,mondrian_forest,10,10000,1000,9000
7,0.9122222222222223,0.28697534999398255,0.022391111111111105,0.47419191919191916,0.12049194453461153,0.6461860169794094,0.049809142169238645,0.9235059884671427,0.011283766244920425,Temp,MNIST,mondrian_forest,10,10000,1000,9000
