,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7303333333333333,1.0247066624630838,0.14672833376920905,0.14272685237757501,0.30906417112299467,0.26164237437824445,0.5378879358926711,0.3140653722160588,0.6460113698705955,0.0843219634627379,0.0027496814727783203,0.017688274383544922,Temp,MNIST,AdaBoost,10,10000,1000,9000
1,0.7305555555555555,1.018774152233331,0.17231643306567226,0.16874544559270946,0.31459595959595954,0.2639343501943412,0.5119556754128287,0.34795407385767724,0.6142993863624313,0.11625616919312423,0.0026509761810302734,0.01723313331604004,Temp,MNIST,AdaBoost,10,10000,1000,9000
2,0.7306666666666667,1.0197223430377529,0.15622838117486934,0.15245923818827978,0.4121212121212121,0.2622340612842179,0.5280241325951068,0.3271834270523237,0.6338191423460509,0.09684752432061577,0.0027081966400146484,0.017199039459228516,Temp,MNIST,AdaBoost,10,10000,1000,9000
3,0.732,1.0292939402519348,0.14116009856872053,0.13714863290069082,0.3941414141414141,0.25920342792475326,0.5487889214658779,0.3057327424316643,0.655279063492877,0.076720936507123,0.002613544464111328,0.017521142959594727,Temp,MNIST,AdaBoost,10,10000,1000,9000
4,0.7327777777777778,1.0186224544863518,0.1709744362694617,0.167167182756527,0.39351592851592854,0.26385226760251496,0.5166721335256614,0.34265138844030146,0.6197567304850476,0.11302104729273027,0.0026171207427978516,0.016878843307495117,Temp,MNIST,AdaBoost,10,10000,1000,9000
5,0.7311111111111112,1.026175333929363,0.15247298445672658,0.14896621777170768,0.3781313131313131,0.2615737427708518,0.5352096881000088,0.32016017223763354,0.6409503902087104,0.09016072090240088,0.0026416778564453125,0.016918659210205078,Temp,MNIST,AdaBoost,10,10000,1000,9000
6,0.7296666666666667,1.0234674500396044,0.16159631055523524,0.1580478393979458,0.32358585858585853,0.26243373966194267,0.5216067098788386,0.33468454208677095,0.626466193027932,0.10320047363873452,0.0025894641876220703,0.016984939575195312,Temp,MNIST,AdaBoost,10,10000,1000,9000
7,0.7311111111111112,1.0193296390675044,0.15663527609072142,0.15311888776588686,0.3495598845598845,0.262856890384778,0.5299770216356144,0.32716743166758816,0.6344202991094953,0.09669081200161594,0.002657651901245117,0.016905546188354492,Temp,MNIST,AdaBoost,10,10000,1000,9000
8,0.7316666666666667,1.0309787843555294,0.13857997768832692,0.1341112334578572,0.35204545454545455,0.25850351619338335,0.5516559557798761,0.3022063826085542,0.6585800115256746,0.07308665514099208,0.002653360366821289,0.01766037940979004,Temp,MNIST,AdaBoost,10,10000,1000,9000
9,0.7312222222222222,1.0209199314765853,0.1698937450149719,0.16656766717749635,0.3021717171717172,0.2634708309797973,0.5180344236890768,0.3428196986612636,0.6197809815571224,0.11144124066509986,0.0026640892028808594,0.017066478729248047,Temp,MNIST,AdaBoost,10,10000,1000,9000
0,0.9337777777777778,0.2393151634984067,0.018916644219977553,0.028271693121693142,0.8500505050505051,0.09333510332955376,0.6547388329312086,0.04208831475988423,0.9378349052427705,0.004057127464992559,0.0026373863220214844,0.00889444351196289,Temp,MNIST,XGBoost,10,10000,1000,9000
1,0.9335555555555556,0.238891588632644,0.021679708193041537,0.02943888888888887,0.8500505050505051,0.08990568363661189,0.663214336715206,0.03928038808039775,0.9409520391893545,0.007396483633799009,0.002524852752685547,0.009487628936767578,Temp,MNIST,XGBoost,10,10000,1000,9000
2,0.9331111111111111,0.24236110249343493,0.023205465768799106,0.029290476190476138,0.8410606060606061,0.08616020680906855,0.6801135282360861,0.03703378585372579,0.9440465122665038,0.01093540115539273,0.002557992935180664,0.008676528930664062,Temp,MNIST,XGBoost,10,10000,1000,9000
3,0.9338888888888889,0.23872435637118788,0.02329437710437709,0.029360317460317427,0.8500505050505051,0.08746250650164045,0.6725770034068445,0.037734722044320594,0.9431136642493954,0.009224775360506435,0.002577543258666992,0.00937032699584961,Temp,MNIST,XGBoost,10,10000,1000,9000
