,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7615555555555555,0.48360075573523703,0.034009607182940514,0.10205164856108251,0.36081743674953626,0.6609533632488904,0.218074791020811,0.7530801444306088,0.008475411124946625,0.16027486975730396,BBQ,PCam,AdaBoost,2,10000,1000,9000
1,0.765,0.4838725825547163,0.032684208754208785,0.09386901804934589,0.31626210392848925,0.6807126354174057,0.21057328687606078,0.7638789048629039,0.0011210951370961564,0.16045229544584222,BBQ,PCam,AdaBoost,2,10000,1000,9000
2,0.7654444444444445,0.48578619526007755,0.03321271604938269,0.1025602175602176,0.2854298246362445,0.6799732054725603,0.21816004548384632,0.7579465426015952,0.007497901842849181,0.16085468851618764,BBQ,PCam,AdaBoost,2,10000,1000,9000
3,0.7668888888888888,0.4933102080717482,0.05096826038159371,0.10966922748612895,0.38470059704643467,0.6487132501898027,0.2354129365057309,0.7375755901261835,0.02931329876270533,0.16224110865847818,BBQ,PCam,AdaBoost,2,10000,1000,9000
4,0.7664444444444445,0.4831427734539744,0.027778417508417516,0.0538948306595366,0.28446679636795513,0.6903611541264509,0.20790680135365747,0.7683331144706966,0.0018886700262522593,0.1603665553763808,BBQ,PCam,AdaBoost,2,10000,1000,9000
5,0.7638888888888888,0.4823798504054143,0.024425600448933767,0.06011187827643527,0.33300150683127633,0.6847828511974753,0.20201722554036605,0.7712550148005132,0.007366125911624305,0.16039311854143412,BBQ,PCam,AdaBoost,2,10000,1000,9000
6,0.7663333333333333,0.4835986021253747,0.028247373737373738,0.09586956521739132,0.27087927913712717,0.6772423709818002,0.22356928553982766,0.7532537048673926,0.013079628465940601,0.16064307604046105,BBQ,PCam,AdaBoost,2,10000,1000,9000
7,0.7653333333333333,0.48655636258975804,0.03854406285072951,0.12877192351064082,0.3665275270974194,0.6660535080392874,0.21784227841384046,0.7549119328071603,0.010421400526173075,0.16090803223363362,BBQ,PCam,AdaBoost,2,10000,1000,9000
8,0.7568888888888889,0.4861657168675857,0.025731414141414142,0.11293475293475297,0.328595602143578,0.6894666369603207,0.19289668658223322,0.7785045302967788,0.021615641407889852,0.16171807557893864,BBQ,PCam,AdaBoost,2,10000,1000,9000
9,0.7605555555555555,0.4849373386707369,0.034479001122334436,0.12974747474747472,0.2869775096250502,0.6715750103322241,0.22094968610481333,0.7533159495420552,0.00723960601350046,0.16095248826162958,BBQ,PCam,AdaBoost,2,10000,1000,9000
