,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7578888888888888,0.4806219967829002,0.03939905723905725,0.022327248677248678,0.1724494949494949,0.3234240281028789,0.673862118056738,0.20591350314088921,0.7649788389246253,0.007089950035736342,0.15963460307514807,Beta,PCam,AdaBoost,2,10000,1000,9000
1,0.7571111111111111,0.48143432110121404,0.038522053872053874,0.021135978835978834,0.17221598002496874,0.32635645821390225,0.6704120157090478,0.2095927593536169,0.7612617337893813,0.004150622678270377,0.16017334232510091,Beta,PCam,AdaBoost,2,10000,1000,9000
2,0.7592222222222222,0.4804557800477791,0.04134826038159373,0.022764814814814814,0.17369463869463875,0.3091031739347691,0.6625918597282351,0.2202331111757276,0.751553745707482,0.0076684765147401746,0.15933935643332775,Beta,PCam,AdaBoost,2,10000,1000,9000
3,0.7607777777777778,0.48011979195786747,0.04252874298540966,0.028852910052910064,0.1408397932816537,0.3069977095297488,0.6599865023034334,0.22353267295092366,0.7486025253071464,0.012175252470631365,0.15893056841219086,Beta,PCam,AdaBoost,2,10000,1000,9000
4,0.7621111111111111,0.4809127174253505,0.036632042648709326,0.019794179894179916,0.22536075036075043,0.3235026520964057,0.6838682848561446,0.20110417849308015,0.7715320486214411,0.009420937510329908,0.15989471798961377,Beta,PCam,AdaBoost,2,10000,1000,9000
5,0.7615555555555555,0.4833251010209627,0.041847205387205384,0.026299735449735444,0.14500000000000002,0.32211541496072776,0.689295915804341,0.1964923896642866,0.7762744662841217,0.014718910728566181,0.16045620991803303,Beta,PCam,AdaBoost,2,10000,1000,9000
6,0.7631111111111111,0.4795074960645304,0.03927648709315376,0.020956084656084645,0.19511857707509883,0.30754095190653796,0.6663675486765793,0.21926682259815633,0.7536412306860366,0.00946988042507449,0.15873306451732036,Beta,PCam,AdaBoost,2,10000,1000,9000
7,0.7658888888888888,0.47919681104851697,0.037601964085297424,0.01924497354497352,0.20247474747474747,0.31400543974166556,0.6807435576909241,0.20685279170513973,0.7668322647590277,0.0009433758701387907,0.15861850238232164,Beta,PCam,AdaBoost,2,10000,1000,9000
8,0.7576666666666667,0.4868385685759537,0.043242278338945,0.0308415343915344,0.2342450824029772,0.33974558514718706,0.6968893115065657,0.18403107596988652,0.7871119645952405,0.0294452979285737,0.1619787416560383,Beta,PCam,AdaBoost,2,10000,1000,9000
9,0.7642222222222222,0.4804232331455126,0.03689648709315376,0.02645264550264551,0.18716816047801965,0.3077329085082049,0.6758630428687317,0.21214528559010692,0.7614495669642992,0.0027726552579230013,0.15906667373085154,Beta,PCam,AdaBoost,2,10000,1000,9000
0,0.8055555555555556,0.41340022597627135,0.03269986531986532,0.01783121693121692,0.2040909090909091,0.36583515471676553,0.6898324784301859,0.16381697922737892,0.807725970872703,0.0021704153171475393,0.13365520053647365,Beta,PCam,XGBoost,2,10000,1000,9000
1,0.8083333333333333,0.4122143544691741,0.037806722783389445,0.022072222222222222,0.22050622504110878,0.3500048352927049,0.6910320698004421,0.16857693035677668,0.804514794673357,0.003818538659976445,0.13331629720842933,Beta,PCam,XGBoost,2,10000,1000,9000
2,0.8071111111111111,0.41211881176182985,0.032399349046015706,0.01744285714285712,0.22101117558564365,0.3623872274060934,0.6933602807341855,0.1612280429202362,0.8107236603979945,0.003612549286883371,0.13306631728016785,Beta,PCam,XGBoost,2,10000,1000,9000
3,0.8051111111111111,0.4181524358324418,0.036060448933782255,0.014376984126984113,0.22244107744107744,0.36276860319788495,0.7004830367435304,0.15651929269349582,0.8156120501767868,0.01050093906567573,0.1348132670574983,Beta,PCam,XGBoost,2,10000,1000,9000
