,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.758,0.48246331823259264,0.035604579124579136,0.17065656565656562,0.30919401548538544,0.673865311763187,0.20977394398637939,0.7620667559050157,0.004066755905015679,0.16008551832611936,GPcalib,PCam,AdaBoost,2,10000,1000,9000
1,0.7567777777777778,0.4820676953624419,0.04097309764309765,0.20047008547008544,0.3133290564780133,0.6710275251026938,0.21059500392301406,0.760612964525572,0.0038351867477942336,0.16008243232017352,GPcalib,PCam,AdaBoost,2,10000,1000,9000
2,0.7593333333333333,0.4824900443978635,0.041723557800224464,0.15449494949494946,0.2943858619087077,0.664471553099278,0.2220378270616399,0.7506487637637542,0.008684569569578998,0.15973875192736073,GPcalib,PCam,AdaBoost,2,10000,1000,9000
3,0.7608888888888888,0.4817275197757239,0.039521627384960706,0.14273024361259656,0.29676360732182344,0.6600584565939726,0.22618921882476237,0.7466113364531395,0.014277552435749269,0.15929499021112245,GPcalib,PCam,AdaBoost,2,10000,1000,9000
4,0.7583333333333333,0.48334428109828464,0.03605665544332211,0.14131701631701638,0.30990068106985097,0.6822303846680938,0.2028224736915889,0.7693986337453345,0.011065300412001128,0.1606216498535665,GPcalib,PCam,AdaBoost,2,10000,1000,9000
5,0.7575555555555555,0.48362478385551627,0.0393750505050505,0.23971861471861478,0.31949121234496136,0.6816654761003336,0.2013034659200801,0.7703230042453135,0.012767448689757988,0.16080507531724547,GPcalib,PCam,AdaBoost,2,10000,1000,9000
6,0.7602222222222222,0.48179924996318957,0.03911755331088665,0.1311780596664317,0.2971362039689132,0.6637524364186352,0.2222973905785211,0.7503798901614638,0.009842332060758519,0.1594075391583135,GPcalib,PCam,AdaBoost,2,10000,1000,9000
7,0.7622222222222222,0.4808363187041837,0.0382304377104377,0.16755255255255253,0.3084479484271147,0.6740452943389539,0.21229302291302862,0.760680754744665,0.0015414674775572623,0.15931776256782743,GPcalib,PCam,AdaBoost,2,10000,1000,9000
8,0.7554444444444445,0.48829807864875835,0.044752390572390575,0.1978223410576352,0.3313958463224242,0.6961349137952554,0.18541532905919592,0.7856171247766538,0.030172680332209323,0.1626017218382158,GPcalib,PCam,AdaBoost,2,10000,1000,9000
9,0.7587777777777778,0.48214103019947246,0.03397145903479237,0.19861970217640318,0.30079728324456423,0.6677534543044754,0.21706325101129084,0.7551519786821013,0.003625799095676563,0.1596800169416121,GPcalib,PCam,AdaBoost,2,10000,1000,9000
0,0.8085555555555556,0.41372222718122265,0.03002400673400675,0.16367424242424244,0.32937841534123846,0.6976059061664912,0.16817098925571125,0.8061327430567838,0.0024228124987718536,0.13382948277337775,GPcalib,PCam,XGBoost,2,10000,1000,9000
1,0.8087777777777778,0.4120454322049221,0.03423728395061729,0.20460573476702504,0.3251295926781783,0.6925694983818848,0.17202139593314617,0.8020853739686503,0.006692403809127501,0.1331356757207268,GPcalib,PCam,XGBoost,2,10000,1000,9000
2,0.8071111111111111,0.4128732032856565,0.033292166105499454,0.17775698158051095,0.3271491082955784,0.7001021913950343,0.16311561991984513,0.8105006156848916,0.003389504573780483,0.13354954278031111,GPcalib,PCam,XGBoost,2,10000,1000,9000
3,0.8078888888888889,0.4152125729606675,0.03056145903479238,0.16867610531544952,0.33512597206624184,0.6998562692676199,0.16548124264358854,0.808648597144687,0.000759708255798075,0.13434762526818922,GPcalib,PCam,XGBoost,2,10000,1000,9000
4,0.8067777777777778,0.4150925185632199,0.032012974186307525,0.17279171020550332,0.33051476006130837,0.707593516119132,0.15676214550378906,0.8170283540031287,0.010250576225350888,0.1343568615081737,GPcalib,PCam,XGBoost,2,10000,1000,9000
