,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference,brier_score,brier_score
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,,,
Uncal,PCam,AdaBoost,2,10000,1000,9000,0.7585888888888889,0.0021760953440743643,0.6855364520286047,3.184574964888504e-05,0.25059895398428733,0.0021755459252273323,0.4801515151515151,0.0,0.0002549952573072624,1.783825008898726e-06,0.5028895349446473,2.284944131238856e-05,0.49400756508880583,1.0654567383423724e-05,0.5052433347316019,1.1246076537566863e-05,0.253345554157287,0.0021706491567604364,0.24619519101489215,1.5919260955111172e-05
Uncal,PCam,XGBoost,2,10000,1000,9000,0.8085777777777778,0.0015615405147320091,0.42494732545608305,0.0014702421973934283,0.06045867676767678,0.0007177491871183399,0.18501637851005076,0.008964040696320404,0.3315317818538083,0.0009205020195498433,0.6489034837343707,0.000567552523129798,0.2176950145377631,0.0006768286021600704,0.7567685686813461,0.0005087875755802008,0.05180920909643174,0.0015168212199352818,0.1368866407131163,0.0006001476525766632
Uncal,PCam,mondrian_forest,2,10000,1000,9000,0.7945888888888889,0.0012461738424240127,0.41077732609840883,0.000995617146484821,0.041523597081930416,0.000711723791747043,0.16112349961978137,0.0033425005103084908,0.4962110716118235,0.0014504114803795863,0.622845878315563,0.0004446782075779914,0.20237842700905556,0.0005854145463356388,0.7617203537564061,0.0004733514822440694,0.032868535132482814,0.001190518791696618,0.13825456278802656,0.00037552192993388464
Uncal,PCam,random_forest,2,10000,1000,9000,0.8486666666666668,0.000737027731190098,0.3813514945694529,0.002582161973990916,0.07979273288439956,0.0006362495388966716,0.1903036097918639,0.004809168617821269,0.41316085257077945,0.0009331482134414403,0.6169851850568531,0.0009007404338111823,0.20448877208743213,0.0006356263889912384,0.7684942222222222,0.000523129445748939,0.08017244444444444,0.0007355571966711894,0.11482218888888891,0.0004430564024760643
Uncal,PCam,1layer_NN,2,10000,1000,9000,0.5925,0.0007720245772472508,0.8649207740603606,0.0014911927513875213,0.20901860493827162,0.000854028993970311,0.430423240419858,0.018537179298025307,0.34978774985767974,0.0010480367244138184,0.7700607538192016,0.00042769258491784357,0.18106675933885708,0.0009100280180939487,0.7990177522128882,0.0005974009630819878,0.2065177522128881,0.0009435666969386881,0.28235305983323067,0.000549089644959864
GPcalib,PCam,AdaBoost,2,10000,1000,9000,0.7587555555555555,0.002003289475907006,0.48287923202380273,0.0020637156102907327,0.03893264085297419,0.003177222641075156,0.17445601307228506,0.03416308066174805,0.3080841716571759,0.01152043097727614,0.6735004806184878,0.010811534956824345,0.21097909269695014,0.01218261471007449,0.7611491207003014,0.011670444236694005,0.009987909272609896,0.008307743348567004,0.16016354584615572,0.0010019050543952804
GPcalib,PCam,XGBoost,2,10000,1000,9000,0.8084111111111112,0.0016127492735942368,0.4137082242904853,0.0012244389282332646,0.033199122334455676,0.0038988402164368643,0.18057202444470327,0.02210222295188318,0.3279107270869397,0.003932136631719163,0.6973666331155928,0.00982021544546889,0.16790200239267494,0.009800395473462495,0.8062844743429158,0.009594961044152273,0.008017612383919676,0.007525031577185664,0.13375257500324386,0.0005621856797081776
GPcalib,PCam,mondrian_forest,2,10000,1000,9000,0.7946333333333333,0.001257133281633846,0.40771835329817663,0.0013203121688244658,0.03465560586424855,0.0043106492414688785,0.15431871909461928,0.027870619460986876,0.46182734070020726,0.02501238014187073,0.6441807937648381,0.012501066701638487,0.18628763138024879,0.009001724463406156,0.7788997919026844,0.009518646284189585,0.015733541430648857,0.010591669098965188,0.13707184430605263,0.0003920321484811996
GPcalib,PCam,random_forest,2,10000,1000,9000,0.8482555555555555,0.0008249371260906678,0.35051744256758927,0.0030093147326746288,0.028496681257014593,0.0023187453918425034,0.5659494949494949,0.12283199496723826,0.35857869127201125,0.024786504775122755,0.7042585751315765,0.006941512082318025,0.1205235654784669,0.004888674565856529,0.8528886563355508,0.004866038396330449,0.005500469239292359,0.004233289813190372,0.10606610072685378,0.0005865017295925441
GPcalib,PCam,1layer_NN,2,10000,1000,9000,0.5778555555555556,0.004095248007316103,0.6727365281675851,0.0009386172295411902,0.04609293265993266,0.003406638801302627,0.6776010101010101,0.05449685685805564,0.22262949732679976,0.012097472642000449,0.5699824099473563,0.0018795429519735507,0.3862066197476607,0.0024721271192741793,0.5953004975011458,0.002368321017904152,0.017444941945590216,0.002404769138962304,0.23677322558556763,0.00036997032536023833
