,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7582222222222222,0.4813946188051146,0.03355984287317621,0.022095767195767176,0.23087301587301584,0.32484063676203895,0.6740670210193489,0.206826986030538,0.764375831673968,0.006153609451745756,0.15999010771211825,0.1526176929473877,0.7997207641601562,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
1,0.7566666666666667,0.48114805142989453,0.03713621773288442,0.021188359788359798,0.26314814814814813,0.3249993376715949,0.670180162137331,0.20908984924253352,0.7615325201932336,0.004865853526566821,0.15999795283018808,0.1533973217010498,0.7881062030792236,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
2,0.7596666666666667,0.48103212177363974,0.03724811447811448,0.023919841269841268,0.2581986531986532,0.310158711795639,0.6629153732156883,0.2208915124022002,0.7511834091079657,0.008483257558701052,0.1596004509027592,0.15291142463684082,1.5112147331237793,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
3,0.7603333333333333,0.48066928184375135,0.03628677890011223,0.026926984126984122,0.17177890011223346,0.30743545991810484,0.659774284864357,0.22383589490452988,0.7482693448467467,0.01206398848658663,0.15916604456527783,0.1520535945892334,1.6215248107910156,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
4,0.7576666666666667,0.48225985330422705,0.03935030303030304,0.024052380952380947,0.25270562770562777,0.3229064535637079,0.6806787909949866,0.20097855636955897,0.7703430741417826,0.012676407475115864,0.16049070190535455,0.15576696395874023,2.014267683029175,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
5,0.7563333333333333,0.4839725974836591,0.033770763187429866,0.02860820105820105,0.12300709800709797,0.31492512587366545,0.6811261177733525,0.20132615983577815,0.77003137847498,0.013698045141646714,0.16083499500139498,0.15443801879882812,1.5351004600524902,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
6,0.7598888888888888,0.4806393092387419,0.0350747138047138,0.024438359788359787,0.16728758169934638,0.31112099908515006,0.663698255625518,0.21943888933067832,0.7525010406971372,0.0073878481917515615,0.15931017682671597,0.15841126441955566,1.6678705215454102,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
7,0.7632222222222222,0.4799715606115233,0.03505320987654321,0.015408730158730129,0.15700542005420048,0.3208615107593875,0.6747239265887806,0.2104209351135821,0.762383920473944,0.0008383017482782307,0.15925450359145693,0.1572277545928955,1.8461861610412598,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
8,0.7551111111111111,0.4878537169275497,0.04509680134680135,0.03342301587301587,0.315822307582871,0.3430351117905288,0.6947981159188882,0.18404985348558023,0.7862813603552474,0.031170249244136305,0.16252075756028642,0.15211892127990723,0.7921524047851562,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
9,0.7586666666666667,0.48091168872753254,0.03621168350168351,0.022659788359788362,0.2261111111111111,0.31561384748562327,0.667043708604141,0.21484049498049154,0.7566542261512664,0.0020124405154002822,0.1595672693746594,0.15837788581848145,1.5271453857421875,GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000
0,0.8086666666666666,0.41747113767728916,0.038233737373737385,0.02281931216931217,0.21813131313131312,0.29402046291888406,0.7162190287431599,0.15791712853084244,0.81800092289425,0.009334256227583354,0.13423771619005392,0.15623092651367188,0.8347766399383545,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
1,0.8085555555555556,0.41539601005689,0.039959865319865326,0.024089947089947106,0.2568434343434344,0.29093731207778467,0.7095416216107879,0.16253277495317917,0.8129765789667891,0.004421023411233627,0.13339048029635728,0.15697145462036133,0.8368151187896729,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
