,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7662222222222222,0.5903050352377013,0.025187048260381574,0.023622222222222218,0.8465151515151514,0.37698721440450167,0.675501228720268,0.20593520189497788,0.7663472703288529,0.00012504810663066523,0.16020925551128035,0.00041556358337402344,0.0005526542663574219,Isotonic,PCam,AdaBoost,2,10000,1000,9000
1,0.7612222222222222,0.4871851791080553,0.03341863075196406,0.022584656084656075,0.6930808080808081,0.35681425250616894,0.6730159241809764,0.2052597159402852,0.7656752119064472,0.004452989684224945,0.15983123501217456,0.0004165172576904297,0.0006515979766845703,Isotonic,PCam,AdaBoost,2,10000,1000,9000
2,0.7657777777777778,0.49678454728197213,0.027911212121212156,0.0302425925925926,0.8168181818181819,0.308458640027865,0.6776643063235479,0.21356932061939057,0.7609551777801332,0.004822599997644561,0.1596448072313222,0.00039577484130859375,0.0007369518280029297,Isotonic,PCam,AdaBoost,2,10000,1000,9000
3,0.7676666666666667,0.6770239100375244,0.041314242424242434,0.030057407407407418,0.7722727272727272,0.3592205230535855,0.6640109115104795,0.22273153623823697,0.7509549591220483,0.016711707544618537,0.16068262403832032,0.000423431396484375,0.0006818771362304688,Isotonic,PCam,AdaBoost,2,10000,1000,9000
4,0.7644444444444445,0.4984718841989991,0.03408437710437712,0.019197089947089966,0.8366161616161616,0.3335751870151044,0.6927775352567266,0.19572220921276956,0.7780132861511563,0.013568841706711715,0.1609438726515561,0.0004420280456542969,0.0006954669952392578,Isotonic,PCam,AdaBoost,2,10000,1000,9000
5,0.7636666666666667,0.5738855178536935,0.03318510662177327,0.02807936507936508,0.8811616161616161,0.3450183724691023,0.6941019475475703,0.19217024732730545,0.7809520813947901,0.017285414728123477,0.1612887635044918,0.0004353523254394531,0.0006997585296630859,Isotonic,PCam,AdaBoost,2,10000,1000,9000
6,0.7668888888888888,0.5088595903432,0.0357025364758698,0.029297883597883576,0.6732828282828283,0.3321935549843267,0.672588232298001,0.21665202522566007,0.7575286481393,0.0093602407495888,0.16001661595136757,0.0003974437713623047,0.0006458759307861328,Isotonic,PCam,AdaBoost,2,10000,1000,9000
7,0.7653333333333333,0.581919307241069,0.033159517396184064,0.022485978835978814,0.698030303030303,0.4412628930463942,0.6598205549841744,0.20893807475702228,0.7602639503555787,0.005069382977754777,0.16005835379477187,0.00041675567626953125,0.0006456375122070312,Isotonic,PCam,AdaBoost,2,10000,1000,9000
8,0.7596666666666667,0.6148403018867894,0.039023512906846206,0.03456613756613754,0.98510101010101,0.35578242664085186,0.7045692850933851,0.17923081847636702,0.7928424730815635,0.03317580641489673,0.16347780828094033,0.00043964385986328125,0.0006949901580810547,Isotonic,PCam,AdaBoost,2,10000,1000,9000
9,0.7634444444444445,0.4923531599938509,0.03180822671156005,0.029578042328042335,0.707929292929293,0.32850458779847674,0.6804467162209396,0.20538958248941144,0.7676043597277371,0.004159915283292653,0.15990833548074015,0.00040602684020996094,0.0006425380706787109,Isotonic,PCam,AdaBoost,2,10000,1000,9000
