,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7582222222222222,0.48139504361952296,0.03331279461279461,0.23087301587301584,0.32483871860629615,0.6740656720197014,0.20682897010938392,0.7643740011431592,0.006151778920937129,0.1599901981623804,Temp,PCam,AdaBoost,2,10000,1000,9000
1,0.7567777777777778,0.4811480575308344,0.03669435465768801,0.2594444444444444,0.3250000362653409,0.6702603949935896,0.20912996767461095,0.7615350883121325,0.004757310534354742,0.15999798268173832,Temp,PCam,AdaBoost,2,10000,1000,9000
2,0.7592222222222222,0.48105517468906084,0.03750086419753087,0.23942645634426457,0.3101410938488481,0.6626310202224962,0.22073702414239363,0.7511805927619083,0.00804162946031406,0.15960863332008315,Temp,PCam,AdaBoost,2,10000,1000,9000
3,0.7605555555555555,0.48061115271204885,0.04082346801346801,0.2368478906714201,0.30736483175335944,0.659870290667559,0.2239012212345054,0.7482685130042667,0.012287042551288846,0.1591370149158007,Temp,PCam,AdaBoost,2,10000,1000,9000
4,0.7578888888888888,0.48202993778912456,0.03812509539842873,0.19545454545454544,0.32718335183560554,0.6800876287547372,0.2010360776421761,0.77018265082881,0.012293761939921072,0.16046513315353747,Temp,PCam,AdaBoost,2,10000,1000,9000
5,0.7566666666666667,0.48298757877571624,0.03447904601571268,0.22293052475979308,0.33149377986684625,0.6805664504252444,0.19912884531494773,0.7715970099818323,0.014930343315165656,0.16075965759106475,Temp,PCam,AdaBoost,2,10000,1000,9000
6,0.76,0.48057314860041705,0.04049945005611673,0.20834110334110334,0.3111363156956531,0.6637100086275557,0.21946722800368673,0.7524953087878113,0.007504691212188552,0.15928323537538686,Temp,PCam,AdaBoost,2,10000,1000,9000
7,0.7626666666666667,0.4799734347938144,0.0364881593714927,0.23476911976911974,0.3207230847646594,0.6743847756536494,0.2101673263499008,0.7624330391922751,0.00023362747439156784,0.15925566659849832,Temp,PCam,AdaBoost,2,10000,1000,9000
8,0.7551111111111111,0.48785459014215465,0.04493615039281706,0.315822307582871,0.34303547827899655,0.694798664094659,0.18405015805840966,0.7862812646110753,0.031170153499964076,0.16252108987221905,Temp,PCam,AdaBoost,2,10000,1000,9000
9,0.7587777777777778,0.4809349552855472,0.03831654320987655,0.1649490316004077,0.3154417974027137,0.6671720242370547,0.2148866048884279,0.7566633155372857,0.0021144622404920266,0.1595768781346377,Temp,PCam,AdaBoost,2,10000,1000,9000
0,0.8086666666666666,0.41747118268352534,0.03836303030303031,0.21813131313131312,0.29402105990247174,0.7162188297475429,0.15791727297561514,0.8180007680120824,0.00933410134541579,0.1342377337252401,Temp,PCam,XGBoost,2,10000,1000,9000
1,0.8085555555555556,0.41539556318476445,0.039961997755331095,0.2568434343434344,0.29093603915635025,0.7095385013989944,0.1625358233732558,0.8129735168025872,0.004417961247031615,0.13339035145540706,Temp,PCam,XGBoost,2,10000,1000,9000
2,0.8073333333333333,0.4166901117956065,0.03884648709315377,0.26237373737373737,0.29482032737032027,0.7161147108934174,0.15495485896845146,0.8202045448249353,0.01287121149160192,0.13402683072979935,Temp,PCam,XGBoost,2,10000,1000,9000
3,0.808,0.4190701854415668,0.04212658810325477,0.193989898989899,0.2976481248319417,0.7182158484823157,0.15585919941200232,0.8199632097837067,0.011963209783706685,0.13480907244972432,Temp,PCam,XGBoost,2,10000,1000,9000
4,0.8074444444444444,0.4193034668788004,0.0439658024691358,0.26476911976911977,0.29758732111697705,0.7237999974322316,0.14949758371054764,0.8261051616361677,0.01866071719172309,0.13502442147856614,Temp,PCam,XGBoost,2,10000,1000,9000
5,0.8116666666666666,0.4147861429542042,0.03953608305274974,0.16856060606060613,0.28203454888147067,0.7017532909399226,0.17418581072100756,0.8024493867584674,0.009217279908199039,0.1326451851113121,Temp,PCam,XGBoost,2,10000,1000,9000
6,0.8066666666666666,0.4197476895107607,0.038480370370370366,0.21065656565656565,0.2958654209142945,0.7227512416296797,0.15047385839138294,0.8250163276126892,0.018349660946022528,0.1352392998851241,Temp,PCam,XGBoost,2,10000,1000,9000
7,0.8107777777777778,0.4150112810368658,0.03703901234567901,0.24871153394409207,0.2847348073253816,0.7058248480244087,0.16933212371769032,0.8070448010463981,0.0037329767313798445,0.1329189271994692,Temp,PCam,XGBoost,2,10000,1000,9000
8,0.8088888888888889,0.41792318436488457,0.04112919191919193,0.20058690351793795,0.29456639992916306,0.7207176600813172,0.15404322006967627,0.8220221925814025,0.013133303692513615,0.1344476488490747,Temp,PCam,XGBoost,2,10000,1000,9000
9,0.8077777777777778,0.4172388981812247,0.03946291806958473,0.17396863370547577,0.29328031999019083,0.7191742439650438,0.15350268077723184,0.8220229947565612,0.014245216978783351,0.13426411818359352,Temp,PCam,XGBoost,2,10000,1000,9000
0,0.7923333333333333,0.41754521924147736,0.04326226711560043,0.18703127162031274,0.376457808837618,0.6847196759748285,0.16329565827914128,0.8051421928009332,0.01280885946759977,0.13821580254331947,Temp,PCam,mondrian_forest,2,10000,1000,9000
1,0.7964444444444444,0.4146255860836712,0.0422037598204265,0.11883838383838385,0.3668890724628013,0.6699295252107493,0.17926651452020215,0.7900365015672539,0.006407942877190653,0.1361928876813937,Temp,PCam,mondrian_forest,2,10000,1000,9000
