,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7582222222222222,0.48139504362022034,0.03331279461279461,0.022095767195767183,0.23087301587301584,0.32483871857075924,0.6740656719865461,0.2068289701488458,0.7643740011052224,0.006151778883000031,0.1599901981620051,0.0008172988891601562,0.007559299468994141,Temp,PCam,AdaBoost,2,10000,1000,9000
1,0.7567777777777778,0.48114805753063694,0.03669435465768801,0.021073809523809512,0.2594444444444444,0.3250000362696905,0.6702603949973989,0.20912996767000824,0.7615350883165423,0.0047573105387644365,0.15999798268176002,0.0008077621459960938,0.007914543151855469,Temp,PCam,AdaBoost,2,10000,1000,9000
2,0.7592222222222222,0.48105517468905207,0.03750086419753087,0.025450793650793647,0.23942645634426457,0.31014109384891125,0.6626310202225446,0.220737024142333,0.7511805927619659,0.008041629460256383,0.15960863332008177,0.0008306503295898438,0.007218360900878906,Temp,PCam,AdaBoost,2,10000,1000,9000
3,0.7605555555555555,0.4806111527120502,0.04082346801346801,0.02600317460317459,0.2368478906714201,0.30736483175335155,0.6598702906675528,0.22390122123451303,0.7482685130042595,0.012287042551296173,0.15913701491580098,0.0008480548858642578,0.007123708724975586,Temp,PCam,AdaBoost,2,10000,1000,9000
4,0.7578888888888888,0.48202993778912456,0.03812509539842873,0.023775396825396835,0.19545454545454544,0.3271833518356055,0.6800876287547373,0.2010360776421761,0.77018265082881,0.0122937619399211,0.16046513315353747,0.0008733272552490234,0.007500171661376953,Temp,PCam,AdaBoost,2,10000,1000,9000
5,0.7566666666666667,0.48298757877571624,0.03447904601571268,0.023693121693121693,0.22293052475979308,0.3314937798668462,0.6805664504252444,0.19912884531494784,0.7715970099818322,0.014930343315165573,0.16075965759106475,0.0009243488311767578,0.007332801818847656,Temp,PCam,AdaBoost,2,10000,1000,9000
6,0.76,0.4805731486004833,0.04049945005611673,0.02532222222222223,0.20834110334110334,0.31113631569515193,0.6637100086271611,0.2194672280041781,0.7524953087873434,0.007504691212656678,0.1592832353753979,0.0008878707885742188,0.0073893070220947266,Temp,PCam,AdaBoost,2,10000,1000,9000
7,0.7626666666666667,0.4799734347933542,0.0364881593714927,0.01582037037037037,0.23476911976911974,0.3207230847735036,0.6743847756617005,0.21016732634034574,0.7624330392014732,0.0002336274651934811,0.15925566659850227,0.0008089542388916016,0.029079437255859375,Temp,PCam,AdaBoost,2,10000,1000,9000
8,0.7551111111111111,0.48785459014215465,0.04493615039281706,0.03341957671957672,0.315822307582871,0.3430354782789966,0.694798664094659,0.18405015805840963,0.7862812646110753,0.031170153499964104,0.16252108987221903,0.0008699893951416016,0.00703120231628418,Temp,PCam,AdaBoost,2,10000,1000,9000
9,0.7587777777777778,0.48093495528545593,0.03831654320987655,0.023566137566137572,0.1649490316004077,0.31544179740365963,0.6671720242378362,0.21488660488746736,0.7566633155382031,0.002114462239574705,0.1595768781346274,0.0008397102355957031,0.007533550262451172,Temp,PCam,AdaBoost,2,10000,1000,9000
0,0.8086666666666666,0.41747118268352534,0.03836303030303031,0.022822751322751317,0.21813131313131312,0.29402105990247174,0.7162188297475429,0.15791727297561514,0.8180007680120824,0.00933410134541579,0.1342377337252401,0.0007684230804443359,0.0041217803955078125,Temp,PCam,XGBoost,2,10000,1000,9000
1,0.8085555555555556,0.41539556318476445,0.039961997755331095,0.024061904761904777,0.2568434343434344,0.29093603915635025,0.7095385013989944,0.1625358233732558,0.8129735168025872,0.004417961247031615,0.1333903514554071,0.0008215904235839844,0.004130840301513672,Temp,PCam,XGBoost,2,10000,1000,9000
2,0.8073333333333333,0.4166901117956065,0.03884648709315377,0.02365291005291004,0.26237373737373737,0.29482032737032027,0.7161147108934174,0.15495485896845146,0.8202045448249352,0.01287121149160192,0.13402683072979935,0.0008065700531005859,0.004319190979003906,Temp,PCam,XGBoost,2,10000,1000,9000
3,0.808,0.4190701854415668,0.04212658810325477,0.022577513227513227,0.193989898989899,0.2976481248319417,0.7182158484823157,0.15585919941200232,0.8199632097837067,0.011963209783706685,0.1348090724497243,0.0008127689361572266,0.004160404205322266,Temp,PCam,XGBoost,2,10000,1000,9000
4,0.8074444444444444,0.4193034668788004,0.0439658024691358,0.02568888888888888,0.26476911976911977,0.29758732111697705,0.7237999974322316,0.14949758371054764,0.8261051616361677,0.01866071719172309,0.13502442147856614,0.0007729530334472656,0.0038526058197021484,Temp,PCam,XGBoost,2,10000,1000,9000
5,0.8116666666666666,0.41478614296806776,0.03953608305274974,0.02868333333333331,0.16856060606060613,0.28203454881679907,0.7017532908630845,0.1741858108102911,0.802449386671528,0.009217279995138689,0.13264518511267825,0.0008764266967773438,0.004584074020385742,Temp,PCam,XGBoost,2,10000,1000,9000
6,0.8066666666666666,0.4197476895107607,0.038480370370370366,0.025666402116402125,0.21065656565656565,0.2958654209142945,0.7227512416296799,0.15047385839138297,0.8250163276126892,0.018349660946022542,0.1352392998851241,0.0008060932159423828,0.004002809524536133,Temp,PCam,XGBoost,2,10000,1000,9000
7,0.8107777777777778,0.4150112810241106,0.03703901234567901,0.02349523809523809,0.24871153394409207,0.2847348074038369,0.705824848126972,0.1693321236005079,0.8070448011608141,0.0037329766169636736,0.13291892719903228,0.0008385181427001953,0.0042572021484375,Temp,PCam,XGBoost,2,10000,1000,9000
8,0.8088888888888889,0.4179231843400672,0.04112919191919193,0.024054497354497342,0.20058690351793795,0.2945663997655852,0.7207176597638104,0.1540432204086119,0.8220221922465621,0.013133303357673265,0.1344476488366824,0.0007739067077636719,0.014727115631103516,Temp,PCam,XGBoost,2,10000,1000,9000
9,0.8077777777777778,0.4172388981544389,0.03946291806958473,0.02393253968253968,0.17396863370547577,0.2932803197977653,0.7191742435931474,0.1535026811772659,0.8220229943619358,0.014245216584157963,0.1342641181690633,0.0008330345153808594,0.015727519989013672,Temp,PCam,XGBoost,2,10000,1000,9000
0,0.7923333333333333,0.41754521924147736,0.04326226711560043,0.030282539682539664,0.18703127162031274,0.37645780883761776,0.6847196759748285,0.16329565827914133,0.805142192800933,0.012808859467599742,0.13821580254331947,0.0008533000946044922,0.004215240478515625,Temp,PCam,mondrian_forest,2,10000,1000,9000
1,0.7964444444444444,0.4146255860842283,0.0422037598204265,0.0297579365079365,0.11883838383838385,0.3668890724603158,0.6699295252079056,0.17926651452345524,0.790036501564084,0.006407942880360423,0.13619288768141166,0.0008091926574707031,0.003561735153198242,Temp,PCam,mondrian_forest,2,10000,1000,9000
2,0.7944444444444444,0.41619725882469427,0.043176588103254754,0.028552116402116395,0.1623737373737374,0.3768936675257678,0.6843389110140056,0.16445215612464806,0.8044660076760751,0.010021563231630781,0.13757055358533765,0.0007815361022949219,0.004231929779052734,Temp,PCam,mondrian_forest,2,10000,1000,9000
