,fit_time,score_time,test_accuracy,test_log-loss,test_ECE,test_MCE,test_sharpness,test_overconfidence,test_underconfidence,test_avg_confidence,model,alpha,beta,miscal_function,test_plus_train_size,marginal_class_probs
0,0.005720853805541992,0.026194095611572266,0.3422222222222222,8.954314168965617,-0.14685714285714285,-0.8128205128205128,0.16234875451263855,-0.46659311503061507,-0.5219911221534598,0.4704998427498428,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
1,0.004366159439086914,0.02575373649597168,0.3611111111111111,11.057310453904732,-0.18604761904761905,-0.5147186147186147,0.23105568467285306,-0.5259527911701825,-0.42226828726828725,0.5446507350674017,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
2,0.004242897033691406,0.02592611312866211,0.37333333333333335,10.020209879214937,-0.14060317460317462,-0.5916666666666667,0.1659938444186799,-0.4860648167829019,-0.4554287560983989,0.5079072162405496,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
3,0.004366159439086914,0.02600693702697754,0.37,9.6351371754933,-0.1391904761904762,-0.4047619047619047,0.16086660022842564,-0.48925868859731286,-0.4699539366206033,0.5043500172666839,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
4,0.004166841506958008,0.025564193725585938,0.3211111111111111,9.671182813039733,-0.1493915343915344,-0.6974358974358974,0.17232616423771402,-0.4608348053110737,-0.5009430400433861,0.4731083638583639,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
5,0.004469871520996094,0.026278018951416016,0.3088888888888889,12.773556742512568,-0.2396613756613757,-0.6717948717948719,0.22893149646136365,-0.5446299368727022,-0.4156778473325236,0.556890421307088,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
6,0.0043909549713134766,0.025316953659057617,0.35555555555555557,9.262212517976481,-0.12123809523809526,-0.8185185185185185,0.1568584359049105,-0.4644960068666966,-0.49999007936507933,0.47712317620650957,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
7,0.004086732864379883,0.02604198455810547,0.3466666666666667,9.819152213769046,-0.1511904761904762,-0.5549019607843138,0.17691857012291584,-0.4739296512255696,-0.4473036223036223,0.5012354497354496,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
8,0.0043048858642578125,0.02594614028930664,0.3244444444444444,12.069135207158393,-0.24414285714285716,-0.616017316017316,0.2172511152027997,-0.554647330922002,-0.4094073069244302,0.5663096039762706,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
9,0.004058837890625,0.0268862247467041,0.35444444444444445,11.819330303798646,-0.22134391534391537,-0.6020833333333333,0.25075987447599674,-0.5622283434675861,-0.38664826987711,0.5803487438487438,Histogram_Binning,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
