,fit_time,score_time,test_accuracy,test_log-loss,test_ECE,test_MCE,test_sharpness,test_overconfidence,test_underconfidence,test_avg_confidence,model,alpha,beta,miscal_function,test_plus_train_size,marginal_class_probs
0,0.003381967544555664,0.01549220085144043,0.4,2.1209546649605215,-0.04699470899470897,-0.24285714285714288,0.07430468737641627,-0.3785824710341824,-0.5679099652942574,0.39998549650280646,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
1,0.0051038265228271484,0.014829158782958984,0.3988888888888889,2.7938869354665354,-0.08674074074074074,-0.19192546583850933,0.1202263148925183,-0.4491916524687973,-0.47400606974361703,0.47982722771962305,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
2,0.005254268646240234,0.011566877365112305,0.35,3.9897431126300393,-0.07966137566137564,-0.13174603174603172,0.08617605274361774,-0.39620745763401644,-0.5328204780166846,0.42104768015627114,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
3,0.003654003143310547,0.012058019638061523,0.3811111111111111,3.6005299218216553,-0.06583068783068785,-0.20952380952380956,0.12613151280531,-0.40107029404868044,-0.5060737904825292,0.4364587151662305,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
4,0.0035789012908935547,0.011232852935791016,0.38666666666666666,3.003968971443114,-0.06724338624338626,-0.16258503401360547,0.13816418821034432,-0.41230221361004765,-0.5033240843782774,0.44492671172122866,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
5,0.00366973876953125,0.011921167373657227,0.3811111111111111,3.521412431391623,-0.06941798941798942,-0.19047619047619047,0.08671935277016414,-0.3976256258284117,-0.5337613993665711,0.42377479289299047,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
6,0.0037131309509277344,0.01101994514465332,0.3611111111111111,4.266466644770112,-0.03715343915343916,-0.2952380952380953,0.07528630356309521,-0.3432457262221096,-0.598956708418007,0.36411706926873416,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
7,0.0034532546997070312,0.011525869369506836,0.3566666666666667,2.25526018126996,-0.043650793650793634,-0.2952380952380953,0.08647335344247517,-0.3379021916738527,-0.5933181962651202,0.36243358664228575,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
8,0.0033164024353027344,0.01153874397277832,0.37777777777777777,3.293195637050443,-0.08646031746031747,-0.1644688644688645,0.09435236920807248,-0.42447407108302926,-0.5006712692252643,0.452752498077674,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
9,0.0034532546997070312,0.010987997055053711,0.36666666666666664,3.058720758439445,-0.06555026455026457,-0.162406015037594,0.12872532396518577,-0.38671953100997486,-0.5331064292128577,0.41611667892826953,Isotonic_Regression,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
0,0.004471778869628906,0.05041813850402832,0.40844444444444444,1.5834114988056625,-0.023489417989417977,-0.3571428571428571,0.08847779799989491,-0.36727149219425415,-0.5659059673642011,0.3945647876012673,Isotonic_Regression,2,5.0,identity,10000,"0.2, 0.2, 0.2, 0.2, 0.2"
1,0.004317283630371094,0.05068087577819824,0.4053333333333333,1.5694903897197003,-0.02396084656084655,-0.24285714285714288,0.09693817142488143,-0.3602908781357433,-0.5661050417544068,0.39012506527360247,Isotonic_Regression,2,5.0,identity,10000,"0.2, 0.2, 0.2, 0.2, 0.2"
2,0.004445314407348633,0.05431199073791504,0.39911111111111114,1.7024897273655117,-0.040705820105820086,-0.1071818891491022,0.07757961963404963,-0.3405820495562102,-0.589587339079371,0.3684522224474316,Isotonic_Regression,2,5.0,identity,10000,"0.2, 0.2, 0.2, 0.2, 0.2"
3,0.004716157913208008,0.04976177215576172,0.40755555555555556,1.6190201433304485,-0.03495714285714284,-0.24285714285714288,0.07737133823558083,-0.35028017167255426,-0.5834563039373033,0.37728623916844783,Isotonic_Regression,2,5.0,identity,10000,"0.2, 0.2, 0.2, 0.2, 0.2"
