,fit_time,score_time,test_accuracy,test_log-loss,test_ECE,test_MCE,test_sharpness,test_overconfidence,test_underconfidence,test_avg_confidence,model,alpha,beta,miscal_function,test_plus_train_size,marginal_class_probs
0,0.004403829574584961,0.01231694221496582,0.37,1.5237251518943498,-0.051365079365079364,-0.3476190476190476,0.049784184528164355,-0.32934913040911007,-0.6177830311863006,0.3489102306188081,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
1,0.004341840744018555,0.012148141860961914,0.40555555555555556,1.5027002387648931,-0.04566666666666667,-0.7047619047619047,0.055540649278656797,-0.36105329144536946,-0.5878068156578835,0.3817933591201613,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
2,0.00407719612121582,0.012111186981201172,0.4066666666666667,1.5327312724058983,-0.04709523809523809,-0.11232492997198873,0.06860506076373027,-0.38602911524999745,-0.5487600504002926,0.4125481878855462,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
3,0.004225015640258789,0.012124061584472656,0.41555555555555557,1.4927368843965128,-0.05838624338624338,-0.14005602240896353,0.05908552557993357,-0.36835700971732194,-0.5730991192116388,0.3926852405846205,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
4,0.004110813140869141,0.012370824813842773,0.3711111111111111,1.539297921848377,-0.02302645502645504,-0.1523809523809524,0.044777215037152915,-0.35781800560380433,-0.6120601834578427,0.3689965443298153,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
5,0.0044400691986083984,0.012622833251953125,0.3977777777777778,1.6386804377153368,-0.07776190476190477,-0.23333333333333334,0.09011014972183967,-0.42144274302373586,-0.5057556431855006,0.45040160717606176,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
6,0.0042057037353515625,0.012182950973510742,0.41555555555555557,1.476067955998159,-0.043190476190476175,-0.11428571428571421,0.0724494960096578,-0.3744320768225923,-0.5578426958126885,0.40257567130526445,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
7,0.004164934158325195,0.012104988098144531,0.41333333333333333,1.486296470739125,-0.03924867724867724,-0.0976190476190476,0.07062688480008404,-0.37527371718664426,-0.5677291918318016,0.3988325147923534,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
8,0.004660844802856445,0.012279033660888672,0.39222222222222225,1.4872070709816028,-0.05165079365079366,-0.2952380952380953,0.05928957539363238,-0.35286016411021637,-0.5938405768448521,0.3737653179356173,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
9,0.004271984100341797,0.012775182723999023,0.4177777777777778,1.5064770747891008,-0.06931746031746032,-0.1857142857142856,0.05592088424775408,-0.3582105805821043,-0.5831713034181686,0.3826999268219902,Platt_scaling,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2"
0,0.008089065551757812,0.04418206214904785,0.4191111111111111,1.4844891135940717,-0.04645026455026455,-0.16157253599114063,0.05920074795577158,-0.34748691900090806,-0.6017666727789969,0.36875530253493005,Platt_scaling,2,5.0,identity,10000,"0.2, 0.2, 0.2, 0.2, 0.2"
