n_samples_queried	n_samples	error	log-loss	ECE	MCE	sharpness	overconfidence	underconfidence	avg_confidence	calibration_method	cv_run
1000	1000	0.11441144114411439	1.3643623819141983	0.060189823196204494	0.6777777777777778	0.1546497232110646	0.595682160771775	0.1390254859897943	0.8306220335516834		0
1073	1250	0.11012101210121017	1.3571284798506797	0.05892878615620386	0.3396969696969697	0.14526362083324043	0.6010571916242307	0.13192842904060373	0.8386676772614314		0
1150	1500	0.10660066006600655	1.361716271201917	0.062559939327266	0.6952525252525252	0.14790868970108292	0.597724250356676	0.13486212310473583	0.8366314077956061		0
1223	1750	0.10594059405940592	1.3671770034388844	0.06207759664855372	0.42777777777777776	0.14401001917949952	0.60174239224682	0.13293184094573346	0.8389593896994183		0
1312	2000	0.10539053905390539	1.3608943000734464	0.06062359569290259	0.5285858585858586	0.14614579247590068	0.6037037893000379	0.13481971018816233	0.8376231404729704		0
1384	2250	0.10330033003300332	1.3699805524892648	0.06331566489982325	0.30474747474747477	0.14174339922366738	0.6088183456542686	0.13559460823239924	0.8380031655519332		0
1453	2500	0.10022002200220026	1.3697661502581222	0.06797083597248607	0.3134848484848485	0.13685454089185317	0.6103546484872834	0.13852122388035162	0.8363111105230494		0
1533	2750	0.1007700770077008	1.3743749025360699	0.06703661477258832	0.6777777777777778	0.13368466132462578	0.6126520850783087	0.13667447045223022	0.8380651472447965		0
1618	3000	0.10198019801980196	1.370962530922812	0.06495781244791142	0.3571717171717172	0.13211847004441937	0.6142749185176207	0.13555879621061023	0.8389291964794965		0
1699	3250	0.10055005500550052	1.370584627198888	0.06701846851351798	0.7127272727272727	0.12940964731679944	0.6159462301765712	0.1357063137763804	0.8393223358576127		0
1760	3500	0.10011001100110006	1.373533882874935	0.06688802769165801	0.7127272727272727	0.12959274316835806	0.6159176770910735	0.135057185803763	0.8400129049810886		0
1851	3750	0.10033003300330035	1.3754228368346488	0.06646166283294991	0.6515656565656566	0.13009120523004225	0.6171538753936789	0.13650651539346342	0.8387782234841905		0
1939	4000	0.0997799779977998	1.3725875630271134	0.066683679479059	0.34843434343434343	0.12938877176749505	0.6159048397050169	0.13645189930123236	0.8388382615655079		0
2014	4250	0.09966996699669972	1.37116063085949	0.06606455645564552	0.7127272727272727	0.1296044804877762	0.6187440110271472	0.13539800113283657	0.8400973413332741		0
2096	4500	0.09966996699669972	1.3729780176792667	0.06806438421619934	0.7127272727272727	0.12959796478252794	0.6158520818630888	0.13567998121023225	0.8395552277165476		0
2185	4750	0.0988998899889989	1.3668502023858808	0.06661199453278654	0.330959595959596	0.1293689346579256	0.617288360619139	0.1344911565537954	0.8409598650015917		0
2245	5000	0.09856985698569853	1.3682924397455951	0.06650726739340597	0.6777777777777778	0.12894580400120098	0.6156336113965164	0.13488827130814585	0.8405207063489915		0
2310	5250	0.09834983498349836	1.3464358233684648	0.06700621728839545	0.330959595959596	0.12868188016918244	0.6160263019251727	0.13447778465742552	0.8409843334289158		0
2390	5500	0.09691969196919692	1.3470350573341001	0.06763360780522493	0.330959595959596	0.1267967766814072	0.619070541045166	0.13455711182964877	0.8415645561772503		0
2460	5750	0.09493949394939494	1.3448386667950805	0.0680769965885477	0.4340909090909091	0.126277632579008	0.6210838070492845	0.13565935509819252	0.841245963816359		0
2550	6000	0.09570957095709576	1.3533613881284527	0.06848741540820746	0.34843434343434343	0.12579035780267867	0.6213499571705837	0.1358535891255127	0.8409084664605824		0
2646	6250	0.09570957095709576	1.3518116397255175	0.0684172861730617	0.34843434343434343	0.1245711774348978	0.6205949125023504	0.13409179473533794	0.8424293752643088		0
2709	6500	0.09471947194719477	1.3514744500716032	0.07019156915691566	0.6428282828282827	0.12442112838032825	0.6217245243129006	0.13465713588896502	0.8422674636087034		0
2795	6750	0.09515951595159511	1.355335747959867	0.0685116289406718	0.6428282828282827	0.12406139991973894	0.6261168126670605	0.13595607379307734	0.841402897250709		0
2862	7000	0.09548954895489548	1.3561355225874896	0.06770578724539116	0.6603030303030303	0.12336430927946049	0.6262283700062876	0.13665277575933618	0.8407048518011216		0
2936	7250	0.09570957095709576	1.3581169910270936	0.06880928092809276	0.669040404040404	0.12356317505478755	0.6258765215638706	0.13753502126566622	0.8398211990051474		0
3020	7500	0.09680968096809683	1.359421809981841	0.06894054961051654	0.6515656565656566	0.12380351587000894	0.6251612609114321	0.138558220016195	0.8385675383134322		0
3093	7750	0.09757975797579754	1.3619039397202544	0.07241531375359754	0.6515656565656566	0.1240714080804749	0.623470599800692	0.137973278491869	0.8387484728882743		0
3164	8000	0.09878987898789882	1.3609038204221955	0.0710121456590103	0.34843434343434343	0.12445402625339246	0.6206163025667719	0.13936336091922913	0.8369250590819182		0
3244	8250	0.09845984598459845	1.3629621609670282	0.07213497460857192	0.6428282828282827	0.12454035721064798	0.6222500770739734	0.14096344310592682	0.8357225965597509		0
3332	8500	0.09812981298129808	1.366351832136691	0.07151811847851444	0.6428282828282827	0.12357437760366986	0.6224503588781104	0.14082519169446325	0.8359450823551225		0
3403	8750	0.09757975797579754	1.3655287614027205	0.07218842439799529	0.32222222222222224	0.12236793393080685	0.6231002925836729	0.14112932257614583	0.8358642603332888		0
3483	9000	0.09669966996699675	1.3639559473362999	0.07098758764765359	0.3269696969696969	0.122145691201009	0.6248273264119698	0.14053868042529494	0.83677228987283		0
3563	9250	0.09768976897689774	1.362691648794371	0.07143962729606287	0.4103030303030303	0.12289111544393533	0.6211537095722178	0.14020529695127262	0.8364819195275899		0
3640	9500	0.09713971397139709	1.3644180816046105	0.07070412596815231	0.3571717171717172	0.12287951664232344	0.6197194352057597	0.139771480798388	0.8368655355747321		0
3713	9750	0.09779977997799782	1.3674614175981716	0.07191736951472918	0.36590909090909096	0.12247400190895091	0.6170485239273941	0.13994555167644776	0.836288522384258		0
3795	10000	0.09823982398239828	1.358511439618973	0.07203681479259032	0.36590909090909096	0.12187528554932724	0.6180466014259612	0.13994770629810532	0.8362776970899687		0
3889	10250	0.09845984598459845	1.3564355698642538	0.07231657054594345	0.37464646464646467	0.12055228283687769	0.6192539126393081	0.13858313427474941	0.8375735386612331		0
3966	10500	0.09757975797579754	1.360652706887135	0.075561439477281	0.3571717171717172	0.11977647963579927	0.6188218657391265	0.13848364344524042	0.8378342868789107		0
