,cal_method,classifier,data,time_inf,time_pred
0,GPcalib,random_forest,MNIST,2.79030179977417,0.46187686920166016
1,Platt,random_forest,MNIST,0.03771090507507324,0.022311925888061523
2,Isotonic,random_forest,MNIST,0.00786733627319336,0.0073359012603759766
3,Beta,random_forest,MNIST,0.029422283172607422,0.013693809509277344
4,BBQ,random_forest,MNIST,0.9458403587341309,2.862136125564575
5,Temp,random_forest,MNIST,0.00656890869140625,0.0014662742614746094
6,GPcalib,random_forest,MNIST,3.190906047821045,0.4984598159790039
7,Platt,random_forest,MNIST,0.04057121276855469,0.015949726104736328
8,Isotonic,random_forest,MNIST,0.007858037948608398,0.007512092590332031
9,Beta,random_forest,MNIST,0.029362201690673828,0.01222991943359375
10,BBQ,random_forest,MNIST,0.9595799446105957,2.8842859268188477
11,Temp,random_forest,MNIST,0.0065190792083740234,0.001165151596069336
12,GPcalib,random_forest,MNIST,2.6905930042266846,0.6351189613342285
13,Platt,random_forest,MNIST,0.03991818428039551,0.016592025756835938
14,Isotonic,random_forest,MNIST,0.010055065155029297,0.0073201656341552734
15,Beta,random_forest,MNIST,0.028155088424682617,0.012223243713378906
16,BBQ,random_forest,MNIST,1.0266737937927246,2.9083900451660156
17,Temp,random_forest,MNIST,0.006530046463012695,0.0011909008026123047
18,GPcalib,random_forest,MNIST,2.6517200469970703,0.5473170280456543
19,Platt,random_forest,MNIST,0.04337191581726074,0.017004013061523438
20,Isotonic,random_forest,MNIST,0.008057832717895508,0.0075681209564208984
21,Beta,random_forest,MNIST,0.02993607521057129,0.011947870254516602
22,BBQ,random_forest,MNIST,0.9509272575378418,2.8701870441436768
23,Temp,random_forest,MNIST,0.007042646408081055,0.0012068748474121094
24,GPcalib,random_forest,MNIST,3.197444200515747,0.5902111530303955
25,Platt,random_forest,MNIST,0.039739131927490234,0.016510963439941406
26,Isotonic,random_forest,MNIST,0.009821891784667969,0.008170127868652344
27,Beta,random_forest,MNIST,0.03141307830810547,0.011813879013061523
28,BBQ,random_forest,MNIST,0.9430031776428223,2.8774070739746094
29,Temp,random_forest,MNIST,0.006484031677246094,0.0011630058288574219
30,GPcalib,random_forest,MNIST,3.8416130542755127,0.6247348785400391
31,Platt,random_forest,MNIST,0.035423994064331055,0.015182018280029297
32,Isotonic,random_forest,MNIST,0.008037090301513672,0.0073163509368896484
33,Beta,random_forest,MNIST,0.029531002044677734,0.011719226837158203
34,BBQ,random_forest,MNIST,0.9490017890930176,2.8646438121795654
35,Temp,random_forest,MNIST,0.006946086883544922,0.0011739730834960938
36,GPcalib,random_forest,MNIST,4.6040661334991455,0.7599732875823975
37,Platt,random_forest,MNIST,0.03736281394958496,0.01604294776916504
38,Isotonic,random_forest,MNIST,0.009252071380615234,0.008027791976928711
39,Beta,random_forest,MNIST,0.03095388412475586,0.016229867935180664
40,BBQ,random_forest,MNIST,1.1727678775787354,3.0008256435394287
41,Temp,random_forest,MNIST,0.0074541568756103516,0.0012297630310058594
42,GPcalib,random_forest,MNIST,5.50477409362793,0.6813859939575195
43,Platt,random_forest,MNIST,0.03822612762451172,0.023248910903930664
44,Isotonic,random_forest,MNIST,0.008410930633544922,0.007760286331176758
45,Beta,random_forest,MNIST,0.03032088279724121,0.012015819549560547
46,BBQ,random_forest,MNIST,0.9547920227050781,2.8891477584838867
47,Temp,random_forest,MNIST,0.006502866744995117,0.0011630058288574219
48,GPcalib,random_forest,MNIST,6.0475850105285645,0.7216591835021973
49,Platt,random_forest,MNIST,0.03689098358154297,0.015755891799926758
50,Isotonic,random_forest,MNIST,0.007976055145263672,0.008974075317382812
51,Beta,random_forest,MNIST,0.03197789192199707,0.014407157897949219
52,BBQ,random_forest,MNIST,0.9478988647460938,2.8804092407226562
53,Temp,random_forest,MNIST,0.006529092788696289,0.0011751651763916016
54,GPcalib,random_forest,MNIST,5.671918630599976,0.7865469455718994
55,Platt,random_forest,MNIST,0.035698890686035156,0.016408920288085938
56,Isotonic,random_forest,MNIST,0.009052276611328125,0.0075778961181640625
57,Beta,random_forest,MNIST,0.03042006492614746,0.013045072555541992
58,BBQ,random_forest,MNIST,0.9577929973602295,2.879425048828125
59,Temp,random_forest,MNIST,0.007061958312988281,0.0011749267578125
60,GPcalib,1layer_NN,MNIST,8.39633059501648,0.7948918342590332
61,Platt,1layer_NN,MNIST,0.0340878963470459,0.016498088836669922
